UNITID,LCOLELYN,XLPBOOKS,LPBOOKS,XLEBOOKS,LEBOOKS,XLEDATAB,LEDATAB,XLPMEDIA,LPMEDIA,XLEMEDIA,LEMEDIA,XLPSERIA,LPSERIA,XLESERIA,LESERIA,XLPCOLLC,LPCLLCT,XLECOLLC,LECLLCT,XLTCLLCT,LTCLLCT,XLPCRCLT,LPCRCLT,XLECRCLT,LECRCLT,XLTCRCLT,LTCRCLT,LILLDYN,XLILLDPR,LILLDPR,XLILLDRC,LILLDRC,XLBRANCH,LBRANCH,XSALWAG,LSALWAG,LFRNGBYN,XLFRNGBN,LFRNGBN,XLEXMSBB,LEXMSBB,XLEXMSCS,LEXMSCS,XLEXMSOT,LEXMSOT,XLEXMSTL,LEXMSTL,XLEXOMPS,LEXOMPS,XLEXOMOT,LEXOMOT,XLEXOMTL,LEXOMTL,XLEXPTOT,LEXPTOT,LSWMSOM 
101189,2,"R",107307,"R",223809,"R",130,"R",2877,"R",5393,"R",1563,"R",142578,"R",111747,"R",371910,"R",483657,"R",2803,"R",1003,"R",3806,1,"R",1200,"R",1300,"R",3,"R",320834,2,"Z",0,"R",19628,"R",180061,"R",30351,"R",230040,"R",10300,"R",24195,"R",34495,"R",585369,585369
101240,2,"R",65514,"R",62846,"R",75,"R",3005,"R",1,"R",24,"R",1,"R",68543,"R",62923,"R",131466,"R",3166,"R",1168,"R",4334,1,"R",26,"R",23,"R",4,"R",499690,1,"R",150545,"R",6089,"R",12933,"R",0,"R",19022,"R",0,"R",48696,"R",48696,"R",717953,567408
101286,2,"R",36768,"R",619,"R",13,"R",979,"R",0,"R",66,"R",8,"R",37813,"R",640,"R",38453,"R",3566,"R",4254,"R",7820,1,"R",0,"R",3,"R",1,"R",275189,1,"R",46604,"R",25437,"R",5459,"R",59796,"R",90692,"R",4365,"R",18323,"R",22688,"R",435173,388569
101295,2,"R",50284,"R",136807,"R",63,"R",4173,"R",0,"R",150,"R",19081,"R",54607,"R",155951,"R",210558,"R",88,"R",16529,"R",16617,1,"R",0,"R",2,"R",0,"R",202488,1,"R",49645,"R",84900,"R",54080,"R",5100,"R",144080,"R",2600,"R",17500,"R",20100,"R",416313,366668
101301,2,"R",22084,"R",47,"R",5,"R",705,"R",0,"R",134,"R",5000,"R",22923,"R",5052,"R",27975,"R",1117,"R",25,"R",1142,2,"A",,"A",,"R",0,"R",121156,1,"R",43055,"R",7950,"R",7150,"R",2250,"R",17350,"R",1000,"R",0,"R",1000,"R",182561,139506
101365,2,"R",74,"R",27100,"R",91,"R",2,"R",37866,"R",0,"R",54017,"R",76,"R",119074,"R",119150,"R",0,"R",27179,"R",27179,1,"R",0,"R",1,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
101435,2,"R",85918,"R",122280,"R",110,"R",4569,"R",29,"R",190,"R",38797,"R",90677,"R",161216,"R",251893,"R",3637,"R",97200,"R",100837,1,"R",212,"R",321,"R",0,"R",281916,1,"R",37324,"R",52499,"R",93489,"R",11482,"R",157470,"R",1155,"R",63496,"R",64651,"R",541361,504037
101453,2,"R",28809,"R",3308,"R",25977,"R",0,"R",0,"R",12369,"R",0,"R",41178,"R",29285,"R",70463,"R",1430,"R",991,"R",2421,1,"R",0,"R",0,"R",0,"R",40948,1,"R",9433,"R",41178,"R",30335,"R",7483,"R",78996,"R",0,"R",3000,"R",3000,"R",132377,122944
101462,2,"R",24056,"R",3581,"R",63,"R",603,"R",0,"R",177,"R",54,"R",24836,"R",3698,"R",28534,"R",1120,"R",3018,"R",4138,2,"A",,"A",,"R",0,"R",133444,1,"R",44841,"R",12175,"R",56769,"R",0,"R",68944,"R",0,"R",0,"R",0,"R",247229,202388
101471,2,"R",1738,"R",4,"R",1,"R",0,"Z",0,"R",16,"Z",0,"R",1754,"R",5,"R",1759,"R",0,"R",9,"R",9,1,"R",0,"R",1,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
