UNITID,LCOLELYN,XLPBOOKS,LPBOOKS,XLEBOOKS,LEBOOKS,XLEDATAB,LEDATAB,XLPMEDIA,LPMEDIA,XLEMEDIA,LEMEDIA,XLPSERIA,LPSERIA,XLESERIA,LESERIA,XLPCOLLC,LPCLLCT,XLECOLLC,LECLLCT,XLTCLLCT,LTCLLCT,XLPCRCLT,LPCRCLT,XLECRCLT,LECRCLT,XLTCRCLT,LTCRCLT,LILLDYN,XLILLDPR,LILLDPR,XLILLDRC,LILLDRC,XLBRANCH,LBRANCH,XSALWAG,LSALWAG,LFRNGBYN,XLFRNGBN,LFRNGBN,XLEXMSBB,LEXMSBB,XLEXMSCS,LEXMSCS,XLEXMSOT,LEXMSOT,XLEXMSTL,LEXMSTL,XLEXOMPS,LEXOMPS,XLEXOMOT,LEXOMOT,XLEXOMTL,LEXOMTL,XLEXPTOT,LEXPTOT,LSWMSOM 
110671,2,"R",4360014,"R",900384,"R",1628,"R",78803,"R",63197,"R",2441,"R",111181,"R",4441258,"R",1076390,"R",5517648,"R",65918,"R",47705,"R",113623,1,"R",12465,"R",12133,"R",3,"R",6938989,1,"R",2901155,"R",700350,"R",4077272,"R",289596,"R",5067218,"R",22853,"R",1479360,"R",1502213,"R",16409575,13508420
110680,2,"R",4395656,"R",1196986,"R",1160,"R",2884323,"R",64676,"R",149430,"Z",0,"R",7429409,"R",1262822,"R",8692231,"R",129852,"R",242601,"R",372453,1,"R",16590,"R",15802,"R",1,"R",15510915,2,"Z",0,"R",2550372,"R",7516697,"R",0,"R",10067069,"R",251260,"R",6817090,"R",7068350,"R",32646334,32646334
110699,2,"R",210846,"R",536284,"R",255,"R",744,"R",33296,"R",10882,"R",57893,"R",222472,"R",627728,"R",850200,"R",19530,"R",466325,"R",485855,1,"R",5832,"R",3101,"R",1,"R",4766778,1,"R",1880557,"R",65414,"R",416624,"R",24418,"R",506456,"R",8260,"R",3344390,"R",3352650,"R",10506441,8625884
110705,2,"R",3206594,"R",773673,"R",717,"R",3434818,"R",0,"R",120180,"R",59717,"R",6761592,"R",834107,"R",7595699,"R",100428,"R",3891314,"R",3991742,1,"R",12657,"R",29227,"R",1,"R",8801361,1,"R",1936182,"R",1499214,"R",4312855,"R",0,"R",5812069,"R",29005,"R",5811423,"R",5840428,"R",22390040,20453858
110714,2,"R",1511422,"R",1016180,"R",405,"R",521585,"R",113697,"R",44215,"R",64386,"R",2077222,"R",1194668,"R",3271890,"R",192611,"R",696821,"R",889432,1,"R",10689,"R",11560,"R",0,"R",5013694,1,"R",1998801,"R",907969,"R",2385786,"R",139806,"R",3433561,"R",34264,"R",1191857,"R",1226121,"R",11672177,9673376
110778,2,"R",16376,"R",86625,"R",30,"R",883,"R",499,"R",8450,"R",21394,"R",25709,"R",108548,"R",134257,"R",566,"R",37861,"R",38427,1,"R",772,"R",387,"R",1,"R",70806,2,"Z",0,"R",2500,"R",41400,"R",4000,"R",47900,"R",0,"R",0,"R",0,"R",118706,118706
110918,2,"R",17427,"R",0,"R",0,"R",20,"R",0,"R",12,"R",0,"R",17459,"R",0,"R",17459,"R",1127,"R",0,"R",1127,2,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
111009,2,"R",1921,"R",13506,"R",16,"R",72,"R",0,"R",0,"R",40061,"R",1993,"R",53583,"R",55576,"R",0,"R",2457,"R",2457,2,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
111081,2,"R",141127,"R",195825,"R",48,"R",67513,"R",235574,"R",641,"Z",0,"R",209281,"R",431447,"R",640728,"R",36051,"R",14509,"R",50560,1,"R",1114,"R",1063,"R",0,"R",873596,2,"Z",0,"R",123070,"R",113735,"R",0,"R",236805,"R",2635,"R",135987,"R",138622,"R",1249023,1249023
111188,2,"R",33338,"R",138441,"R",74,"R",1507,"Z",0,"R",130,"Z",0,"R",34975,"R",138515,"R",173490,"R",11632,"R",8424,"R",20056,1,"R",858,"R",1088,"R",1,"R",378089,2,"Z",0,"R",36674,"R",54388,"R",25630,"R",116692,"R",3330,"R",23474,"R",26804,"R",521585,521585
111391,2,"R",55203,"R",61814,"R",95,"R",1411,"R",0,"R",4494,"R",1763,"R",61108,"R",63672,"R",124780,"R",14554,"R",158,"R",14712,1,"R",132,"R",393,"R",1,"R",998904,1,"R",241509,"R",23926,"R",903688,"R",0,"R",927614,"R",0,"R",210850,"R",210850,"R",2378877,2137368
111434,2,"R",37132,"R",8484,"R",39,"R",1336,"R",25997,"R",60,"R",21090,"R",38528,"R",55610,"R",94138,"R",4306,"R",9989,"R",14295,1,"R",3010,"R",1467,"R",0,"R",334705,1,"R",125192,"R",63731,"R",39573,"R",4871,"R",108175,"R",0,"R",53650,"R",53650,"R",621722,496530
111461,2,"R",58899,"R",155012,"R",35,"R",7460,"Z",0,"R",70,"R",1,"R",66429,"R",155048,"R",221477,"R",19580,"R",5559,"R",25139,1,"R",45,"R",17,"R",1,"R",746567,2,"Z",0,"R",125767,"R",70514,"R",4640,"R",200921,"R",0,"R",2397,"R",2397,"R",949885,949885
111638,1,"A",,"R",0,"R",5,"A",,"R",1,"A",,"R",0,"A",,"R",6,"R",6,"A",,"R",3,"R",3,2,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
111887,2,"R",119889,"R",14804,"Z",0,"R",492,"R",10213,"R",149,"R",135423,"R",120530,"R",160440,"R",280970,"R",14447,"R",974787,"R",989234,1,"R",104,"R",36,"R",0,"R",1236736,1,"R",440000,"R",230393,"R",105815,"R",24678,"R",360886,"R",0,"R",434000,"R",434000,"R",2471622,2031622
111896,2,"R",24927,"R",27755,"R",43,"R",910,"R",26115,"R",111,"R",7915,"R",25948,"R",61828,"R",87776,"R",1943,"R",7915,"R",9858,1,"R",73,"R",59,"R",4,"R",213633,1,"R",75843,"R",29852,"R",32086,"R",0,"R",61938,"R",0,"R",35921,"R",35921,"R",387335,311492
111920,2,"R",59000,"R",115250,"Z",0,"R",2130,"R",23767,"R",68,"R",5285,"R",61198,"R",144302,"R",205500,"R",11536,"R",21724,"R",33260,2,"A",,"A",,"R",1,"R",811571,1,"R",304275,"R",72521,"R",16082,"R",34039,"R",122642,"R",0,"R",41242,"R",41242,"R",1279730,975455
111939,2,"R",83532,"R",187916,"R",19,"R",1211,"R",306,"R",101,"Z",0,"R",84844,"R",188241,"R",273085,"R",29286,"R",437008,"R",466294,2,"A",,"A",,"R",2,"R",1019727,1,"R",200000,"R",32008,"R",106930,"R",3392,"R",142330,"R",288,"R",38554,"R",38842,"R",1400899,1200899
111948,2,"R",294175,"R",180094,"R",274,"R",127100,"R",76255,"R",690,"R",67937,"R",421965,"R",324560,"R",746525,"R",10978,"R",49043,"R",60021,1,"R",2177,"R",6361,"R",0,"R",2331058,1,"R",793254,"R",489650,"R",1655939,"R",32935,"R",2178524,"R",21369,"R",347582,"R",368951,"R",5671787,4878533
111966,2,"R",6350,"R",2718,"R",38,"R",1672,"R",3126,"R",596,"R",10492,"R",8618,"R",16374,"R",24992,"R",4141,"R",1205,"R",5346,1,"R",1391,"R",85,"R",0,"R",445972,1,"R",109100,"R",44236,"R",388467,"R",0,"R",432703,"R",500,"R",135000,"R",135500,"R",1123275,1014175
112075,2,"R",78479,"R",131618,"R",35,"R",0,"R",983,"R",96,"R",50953,"R",78575,"R",183589,"R",262164,"R",11575,"R",291,"R",11866,1,"R",417,"R",333,"R",0,"R",350000,2,"Z",0,"R",70000,"R",107980,"R",40000,"R",217980,"R",2000,"R",53437,"R",55437,"R",623417,623417
112084,2,"R",56283,"R",361101,"R",130,"R",1421,"R",746071,"R",258,"R",1584,"R",57962,"R",1108886,"R",1166848,"R",4082,"R",24874,"R",28956,1,"R",553,"R",348,"R",1,"R",302290,2,"Z",0,"R",60187,"R",121737,"R",6957,"R",188881,"R",0,"R",36870,"R",36870,"R",528041,528041
112172,2,"R",46492,"R",24033,"R",33,"R",1667,"R",49448,"R",66,"R",5,"R",48225,"R",73519,"R",121744,"R",47734,"R",105118,"R",152852,1,"R",180,"R",162,"R",0,"R",790952,1,"R",310754,"R",47017,"R",12710,"R",0,"R",59727,"R",0,"R",120123,"R",120123,"R",1281556,970802
112190,2,"R",142075,"R",161262,"R",81,"R",8579,"R",12000,"R",305,"R",0,"R",150959,"R",173343,"R",324302,"R",70135,"R",34000,"R",104135,2,"A",,"A",,"R",9,"R",2611165,1,"R",1328291,"R",133886,"R",105070,"R",0,"R",238956,"R",0,"R",150595,"R",150595,"R",4329007,3000716
112251,2,"R",986527,"R",887834,"R",493,"R",7995,"R",93944,"R",23234,"R",72089,"R",1017756,"R",1054360,"R",2072116,"R",157354,"R",886156,"R",1043510,1,"R",7529,"R",23241,"R",0,"R",3245790,1,"R",1085123,"R",1339716,"R",3164962,"R",141110,"R",4645788,"R",15885,"R",2927663,"R",2943548,"R",11920249,10835126
112385,1,"A",,"R",181566,"R",51,"A",,"R",0,"A",,"R",0,"A",,"R",181617,"R",181617,"A",,"R",75815,"R",75815,2,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
112394,2,"R",5007,"R",0,"R",14,"R",550,"R",0,"R",920,"R",0,"R",6477,"R",14,"R",6491,"R",1149,"R",14,"R",1163,2,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
112446,1,"A",,"R",825000,"R",8,"A",,"R",40,"A",,"Z",0,"A",,"R",825048,"R",825048,"A",,"R",27500,"R",27500,2,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
112525,2,"R",30708,"R",1850,"R",75,"R",1819,"R",1,"R",762,"R",27772,"R",33289,"R",29698,"R",62987,"R",3411,"R",107685,"R",111096,1,"R",1089,"R",4478,"R",0,"R",1337052,1,"R",412412,"R",87144,"R",937634,"R",20711,"R",1045489,"R",4217,"R",80597,"R",84814,"R",2879767,2467355
112561,2,"R",42331,"Z",0,"R",78,"R",4451,"R",0,"R",117,"Z",0,"R",46899,"R",78,"R",46977,"R",9171,"R",20800,"R",29971,1,"R",488,"R",167,"R",0,"R",208972,1,"R",103101,"R",28000,"R",27652,"R",0,"R",55652,"R",800,"R",3000,"R",3800,"R",371525,268424
112570,2,"R",12092,"R",3619,"R",4,"R",4503,"R",0,"R",0,"R",0,"R",16595,"R",3623,"R",20218,"R",3215,"R",5,"R",3220,1,"R",1,"R",1,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
112686,2,"R",43656,"R",173000,"R",42,"R",304,"R",0,"R",116,"Z",0,"R",44076,"R",173042,"R",217118,"R",22571,"R",600,"R",23171,2,"A",,"A",,"R",0,"R",435067,1,"R",152398,"R",90000,"R",59000,"R",5000,"R",154000,"R",0,"R",36709,"R",36709,"R",778174,625776
112826,2,"R",61356,"R",1525,"R",56,"R",2790,"R",286919,"R",64,"R",0,"R",64210,"R",288500,"R",352710,"R",19432,"R",32607,"R",52039,1,"R",35,"R",22,"R",0,"R",435818,2,"Z",0,"R",23400,"R",43479,"R",8804,"R",75683,"R",0,"R",8803,"R",8803,"R",520304,520304
113096,2,"R",52237,"R",180191,"R",65,"R",1498,"R",128711,"R",105,"R",27160,"R",53840,"R",336127,"R",389967,"R",31894,"R",10335,"R",42229,1,"R",1335,"R",1538,"R",1,"R",1059411,2,"Z",0,"R",88857,"R",0,"R",4652,"R",93509,"R",0,"R",8855,"R",8855,"R",1161775,1161775
113111,2,"R",51874,"R",165000,"R",33,"R",143,"R",24968,"R",258,"Z",0,"R",52275,"R",190001,"R",242276,"R",17706,"R",268,"R",17974,1,"R",19,"R",9,"R",0,"R",438626,1,"R",142772,"R",9120,"R",15000,"R",45344,"R",69464,"R",140,"R",1211,"R",1351,"R",652213,509441
113193,2,"R",63500,"R",12990,"R",39,"R",1118,"R",23420,"R",302,"R",302,"R",64920,"R",36751,"R",101671,"R",37425,"R",180,"R",37605,1,"R",65,"R",81,"R",1,"R",735612,1,"R",121413,"R",38715,"R",44765,"R",0,"R",83480,"R",0,"R",61520,"R",61520,"R",1002025,880612
113218,2,"R",44361,"R",30000,"R",10,"R",1636,"Z",0,"R",41,"Z",0,"R",46038,"R",30010,"R",76048,"R",14704,"R",8000,"R",22704,1,"R",238,"R",113,"R",1,"R",716500,1,"R",257357,"R",30399,"R",57976,"R",0,"R",88375,"R",150,"R",2500,"R",2650,"R",1064882,807525
113236,2,"R",55264,"R",8356,"R",14,"R",4262,"R",0,"R",71,"R",8000,"R",59597,"R",16370,"R",75967,"R",29054,"R",895841,"R",924895,1,"R",21,"R",19,"R",1,"R",771007,1,"R",187354,"R",100505,"R",68111,"R",0,"R",168616,"R",1350,"R",92408,"R",93758,"R",1220735,1033381
113333,2,"R",75584,"R",184079,"R",72,"R",5559,"R",23988,"R",33,"Z",0,"R",81176,"R",208139,"R",289315,"R",30709,"R",20852,"R",51561,1,"R",87,"R",63,"R",0,"R",1230630,1,"R",384828,"R",60970,"R",91128,"R",0,"R",152098,"R",234,"R",46286,"R",46520,"R",1814076,1429248
113573,2,"R",25253,"R",25763,"R",44,"R",0,"R",0,"R",89,"R",0,"R",25342,"R",25807,"R",51149,"R",17939,"R",916,"R",18855,1,"R",3101,"R",2305,"R",1,"R",737297,2,"Z",0,"R",0,"R",15471,"R",0,"R",15471,"R",0,"R",317,"R",317,"R",753085,753085
113582,2,"R",5896,"R",0,"R",1,"R",161,"R",0,"R",61,"R",0,"R",6118,"R",1,"R",6119,"R",3694,"R",1764,"R",5458,2,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
113634,2,"R",94021,"R",124527,"R",61,"R",2063,"R",25010,"R",38,"R",0,"R",96122,"R",149598,"R",245720,"R",32220,"R",30309,"R",62529,1,"R",60,"R",46,"R",0,"R",1041726,1,"R",353421,"R",54637,"R",67688,"R",0,"R",122325,"R",0,"R",33377,"R",33377,"R",1550849,1197428
113698,2,"R",116757,"R",400000,"R",90,"R",500,"R",0,"R",100,"R",20000,"R",117357,"R",420090,"R",537447,"R",34252,"R",67821,"R",102073,1,"R",128,"R",616,"R",0,"R",829173,1,"R",236634,"R",65000,"R",336616,"R",64400,"R",466016,"R",0,"R",13000,"R",13000,"R",1544823,1308189
113856,2,"R",85478,"R",28660,"Z",0,"R",2147,"R",27306,"R",88,"R",43385,"R",87713,"R",99351,"R",187064,"R",40643,"R",37585,"R",78228,1,"R",41,"R",35,"R",1,"R",1367748,1,"R",406848,"R",137241,"R",137502,"R",0,"R",274743,"R",0,"R",13912,"R",13912,"R",2063251,1656403
113980,2,"R",108757,"R",13367,"R",46,"R",1874,"R",18008,"R",654,"R",21617,"R",111285,"R",53038,"R",164323,"R",46296,"R",801,"R",47097,1,"R",78,"R",15,"R",1,"R",1311501,1,"R",389868,"R",129547,"R",129045,"R",6889,"R",265481,"R",1000,"R",9459,"R",10459,"R",1977309,1587441
114114,2,"R",2900,"R",0,"R",2,"R",500,"R",0,"R",30,"Z",0,"R",3430,"R",2,"R",3432,"R",2760,"R",2,"R",2762,1,"R",5,"R",213,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
114123,2,"R",10842,"R",790,"R",4,"R",0,"R",0,"R",0,"R",0,"R",10842,"R",794,"R",11636,"R",0,"R",8515,"R",8515,2,"A",,"A",,"R",1,"R",14473,2,"Z",0,"R",72641,"R",11255,"R",40483,"R",124379,"R",0,"R",0,"R",0,"R",138852,138852
114266,2,"R",41585,"R",9159,"R",45,"R",2951,"R",0,"R",47,"R",0,"R",44583,"R",9204,"R",53787,"R",12633,"R",4304,"R",16937,1,"R",0,"R",0,"R",0,"R",673319,1,"R",229929,"R",183906,"R",50896,"R",801,"R",235603,"R",2976,"R",26647,"R",29623,"R",1168474,938545
114354,2,"R",48534,"R",2778,"R",39,"R",16765,"R",0,"R",548,"R",0,"R",65847,"R",2817,"R",68664,"R",34298,"R",5390,"R",39688,2,"A",,"A",,"R",3,"R",1024103,2,"Z",0,"R",181933,"R",276498,"R",22565,"R",480996,"R",4336,"R",48844,"R",53180,"R",1558279,1558279
114433,2,"R",23676,"R",146597,"R",44,"R",2472,"R",25855,"R",98,"R",28376,"R",26246,"R",200872,"R",227118,"R",2712,"R",8726,"R",11438,1,"R",0,"R",2,"R",1,"R",142358,2,"Z",0,"R",16077,"R",60106,"R",0,"R",76183,"R",0,"R",5163,"R",5163,"R",223704,223704
114549,1,"A",,"R",203776,"R",94,"A",,"R",350,"A",,"R",50341,"A",,"R",254561,"R",254561,"A",,"R",206306,"R",206306,1,"R",0,"R",360,"R",0,"R",89653,1,"R",32287,"R",1124,"R",194097,"R",6041,"R",201262,"R",0,"R",65,"R",65,"R",323267,290980
114585,2,"R",5500,"Z",0,"R",200,"R",5500,"R",200,"Z",0,"Z",0,"R",11000,"R",400,"R",11400,"R",200,"R",10,"R",210,2,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
114716,2,"R",73711,"R",157014,"R",46,"R",2314,"R",26154,"R",233,"R",0,"R",76258,"R",183214,"R",259472,"R",24476,"R",38471,"R",62947,1,"R",27,"R",5,"R",0,"R",902554,1,"R",296362,"R",35571,"R",144898,"R",0,"R",180469,"R",0,"R",52978,"R",52978,"R",1432363,1136001
114734,2,"R",15000,"R",14000,"R",0,"R",0,"R",0,"R",0,"R",0,"R",15000,"R",14000,"R",29000,"R",600,"R",600,"R",1200,2,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
114789,2,"R",72595,"R",206809,"R",34,"R",4341,"R",61556,"R",121,"R",0,"R",77057,"R",268399,"R",345456,"R",21399,"R",57660,"R",79059,1,"R",242,"R",26,"R",0,"R",1178499,1,"R",395428,"R",46180,"R",212679,"R",0,"R",258859,"R",0,"R",55675,"R",55675,"R",1888461,1493033
114813,2,"R",123076,"R",161450,"R",35,"R",4680,"Z",0,"R",445,"R",25496,"R",128201,"R",186981,"R",315182,"R",14846,"R",132542,"R",147388,1,"R",3144,"R",4463,"R",1,"R",358073,2,"Z",0,"R",100728,"R",170161,"R",0,"R",270889,"R",0,"R",61489,"R",61489,"R",690451,690451
114840,2,"R",635190,"R",245700,"R",83,"R",1467,"R",281,"R",11116,"R",31889,"R",647773,"R",277953,"R",925726,"R",126000,"R",161000,"R",287000,1,"R",1302,"R",3099,"R",6,"R",923197,2,"Z",0,"R",165220,"R",522575,"R",87000,"R",774795,"R",2000,"R",282533,"R",284533,"R",1982525,1982525
114859,2,"R",82123,"R",176332,"R",47,"R",2422,"R",0,"R",277,"R",0,"R",84822,"R",176379,"R",261201,"R",51863,"R",6389,"R",58252,1,"R",386,"R",38,"R",0,"R",1492401,1,"R",464467,"R",90643,"R",21184,"R",1073,"R",112900,"R",2777,"R",186515,"R",189292,"R",2259060,1794593
114938,2,"R",60740,"R",26261,"R",52,"R",2440,"Z",0,"R",63,"Z",0,"R",63243,"R",26313,"R",89556,"R",5418,"R",11438,"R",16856,1,"R",120,"R",36,"R",0,"R",510965,1,"R",217779,"R",49553,"R",67778,"R",300,"R",117631,"R",0,"R",33369,"R",33369,"R",879744,661965
115001,2,"R",74419,"R",72098,"R",88,"R",669,"Z",0,"R",69,"R",21,"R",75157,"R",72207,"R",147364,"R",65131,"R",108235,"R",173366,1,"R",282,"R",149,"R",1,"R",1594510,2,"Z",0,"R",74626,"R",10153,"R",0,"R",84779,"R",0,"R",251637,"R",251637,"R",1930926,1930926
115083,2,"R",41523,"R",141108,"R",119,"R",510,"R",3537,"R",356,"R",2434,"R",42389,"R",147198,"R",189587,"R",5718,"R",321495,"R",327213,1,"R",387,"R",281,"R",0,"R",544506,1,"R",143899,"R",43000,"R",471000,"R",27000,"R",541000,"R",500,"R",2100,"R",2600,"R",1232005,1088106
115126,2,"R",37200,"R",9576,"R",18,"R",828,"R",24453,"R",0,"R",0,"R",38028,"R",34047,"R",72075,"R",5736,"R",1820906,"R",1826642,1,"R",161,"R",3,"R",1,"R",1543976,1,"R",718319,"R",47941,"R",90314,"R",138255,"R",276510,"R",0,"R",30860,"R",30860,"R",2569665,1851346
115214,2,"R",382326,"R",2329,"R",66,"R",11143,"R",0,"R",5362,"R",30883,"R",398831,"R",33278,"R",432109,"R",44754,"R",70,"R",44824,1,"R",688,"R",286,"R",1,"R",711705,1,"R",167663,"R",281904,"R",166563,"R",3076,"R",451543,"R",11683,"R",1677881,"R",1689564,"R",3020475,2852812
115296,2,"R",54777,"R",70909,"R",57,"R",1866,"R",51576,"R",108,"R",3,"R",56751,"R",122545,"R",179296,"R",32215,"R",5988,"R",38203,1,"R",121,"R",626,"R",1,"R",1111689,1,"R",272571,"R",70594,"R",96153,"R",2891,"R",169638,"R",2152,"R",50934,"R",53086,"R",1606984,1334413
115393,2,"R",49652,"R",182277,"R",42,"R",1878,"R",25947,"R",116,"R",0,"R",51646,"R",208266,"R",259912,"R",16902,"R",13991,"R",30893,1,"R",67,"R",5,"R",0,"R",572191,1,"R",263314,"R",36776,"R",89371,"R",15045,"R",141192,"R",0,"R",28248,"R",28248,"R",1004945,741631
115728,2,"R",36501,"R",138491,"R",49,"R",375,"R",0,"R",0,"R",48021,"R",36876,"R",186561,"R",223437,"R",3609,"R",293,"R",3902,1,"R",258,"R",491,"R",0,"R",292348,2,"Z",0,"R",18041,"R",132430,"R",1716,"R",152187,"R",0,"R",75743,"R",75743,"R",520278,520278
115746,2,"R",28634,"R",338,"R",47,"R",2060,"R",200,"R",15,"R",57,"R",30709,"R",642,"R",31351,"R",6535,"R",19203,"R",25738,1,"R",253,"R",368,"R",1,"R",385280,2,"R",0,"R",6110,"R",143102,"R",0,"R",149212,"R",610,"R",32745,"R",33355,"R",567847,567847
115755,2,"R",487338,"R",165816,"R",89,"R",18974,"Z",0,"R",34235,"R",190,"R",540547,"R",166095,"R",706642,"R",27553,"R",54983,"R",82536,1,"R",5063,"R",7835,"R",1,"R",1622207,1,"R",759495,"R",72256,"R",751254,"R",49206,"R",872716,"R",0,"R",553925,"R",553925,"R",3808343,3048848
115773,2,"R",36045,"Z",0,"R",13,"R",671,"Z",0,"Z",0,"Z",0,"R",36716,"R",13,"R",36729,"R",465,"R",13,"R",478,2,"A",,"A",,"R",0,"R",105975,1,"R",12072,"R",227216,"R",0,"R",0,"R",227216,"R",0,"R",15825,"R",15825,"R",361088,349016
115861,2,"R",67868,"R",22787,"R",27,"R",1205,"R",300,"R",195,"R",54499,"R",69268,"R",77613,"R",146881,"R",79137,"R",77285,"R",156422,1,"R",9,"R",0,"R",0,"R",427131,1,"R",140899,"R",20769,"R",60597,"R",0,"R",81366,"R",813,"R",15708,"R",16521,"R",665917,525018
115931,2,"R",226,"R",0,"R",61,"R",0,"R",0,"R",0,"R",0,"R",226,"R",61,"R",287,"R",40,"R",150,"R",190,2,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
116226,2,"R",3134,"R",0,"R",0,"R",180,"R",0,"R",75,"R",0,"R",3389,"R",0,"R",3389,"R",966,"R",0,"R",966,1,"R",0,"R",0,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
116439,2,"R",40009,"R",28843,"R",50,"R",4101,"R",11169,"R",49,"R",12842,"R",44159,"R",52904,"R",97063,"R",3869,"R",7688,"R",11557,1,"R",0,"R",27,"R",0,"R",627447,1,"R",246440,"R",29499,"R",6485,"R",0,"R",35984,"R",0,"R",0,"R",0,"R",909871,663431
116712,2,"R",44882,"R",212227,"R",174,"R",2302,"R",2142,"R",612,"R",68071,"R",47796,"R",282614,"R",330410,"R",14592,"R",87117,"R",101709,1,"R",2485,"R",620,"R",3,"R",484512,2,"Z",0,"R",130786,"R",219542,"R",0,"R",350328,"R",0,"R",45702,"R",45702,"R",880542,880542
116846,2,"R",117124,"R",140551,"R",28,"R",1418,"Z",0,"R",1466,"R",25434,"R",120008,"R",166013,"R",286021,"R",3284,"R",11027,"R",14311,1,"R",5,"R",171,"R",0,"R",212548,1,"R",54174,"R",12966,"R",35142,"R",6369,"R",54477,"R",0,"R",35774,"R",35774,"R",356973,302799
117052,2,"R",67736,"R",38000,"R",28,"R",628,"R",0,"R",517,"R",0,"R",68881,"R",38028,"R",106909,"R",43225,"R",160000,"R",203225,1,"R",125,"R",92,"R",1,"R",574215,1,"R",203205,"R",48000,"R",122050,"R",13300,"R",183350,"R",8500,"R",0,"R",8500,"R",969270,766065
117104,2,"R",40127,"R",163774,"R",24,"R",652,"R",1198,"R",80,"R",21926,"R",40859,"R",186922,"R",227781,"R",10992,"R",4078,"R",15070,1,"R",45,"R",63,"R",0,"R",127365,1,"R",35464,"R",26891,"R",30524,"R",33160,"R",90575,"R",0,"R",6133,"R",6133,"R",259537,224073
117113,2,"R",9702,"R",218559,"R",77,"R",1548,"R",36369,"R",243,"R",243800,"R",11493,"R",498805,"R",510298,"R",1508,"R",437298,"R",438806,1,"R",0,"R",0,"R",0,"R",73463,1,"R",16822,"R",18795,"R",44462,"R",0,"R",63257,"R",0,"R",0,"R",0,"R",153542,136720
117140,2,"R",149439,"R",14776,"R",142,"R",1606,"R",52011,"R",1320,"R",164825,"R",152365,"R",231754,"R",384119,"R",23119,"R",81820,"R",104939,1,"R",3180,"R",2639,"R",1,"R",1949187,1,"R",475634,"R",540510,"R",663381,"R",21891,"R",1225782,"R",0,"R",271569,"R",271569,"R",3922172,3446538
117168,2,"R",20643,"R",150000,"R",10,"R",2240,"R",0,"R",9694,"R",1883,"R",32577,"R",151893,"R",184470,"R",6892,"R",11526,"R",18418,1,"R",0,"R",9,"R",0,"R",130441,1,"R",27110,"R",22554,"R",27154,"R",7647,"R",57355,"R",0,"R",11789,"R",11789,"R",226695,199585
117195,2,"R",39246,"R",212000,"R",4,"R",5648,"R",10,"R",12201,"Z",0,"R",57095,"R",212014,"R",269109,"R",17789,"R",156,"R",17945,1,"R",0,"R",17,"R",1,"R",174534,1,"R",70769,"R",12161,"R",16891,"R",2520,"R",31572,"R",2329,"R",16537,"R",18866,"R",295741,224972
117247,2,"R",28119,"R",0,"R",80232,"R",702,"R",0,"R",10784,"R",0,"R",39605,"R",80232,"R",119837,"R",34329,"R",1526,"R",35855,2,"A",,"A",,"R",1,"R",425772,1,"R",284228,"R",28821,"R",91016,"R",25000,"R",144837,"R",0,"R",0,"R",0,"R",854837,570609
117274,2,"R",12000,"R",175000,"R",35,"R",650,"R",0,"R",0,"R",0,"R",12650,"R",175035,"R",187685,"R",500,"R",12000,"R",12500,1,"R",0,"R",1,"R",0,"R",121309,1,"R",45114,"R",9172,"R",36851,"R",0,"R",46023,"R",0,"R",2391,"R",2391,"R",214837,169723
117520,2,"R",8340,"R",114,"R",5,"R",3237,"R",2,"R",462,"R",140,"R",12039,"R",261,"R",12300,"R",11971,"R",3624,"R",15595,1,"R",286,"R",332,"R",0,"R",418500,1,"R",94300,"R",11220,"R",101640,"R",420,"R",113280,"R",1840,"R",27810,"R",29650,"R",655730,561430
117557,2,"R",14000,"R",134000,"R",29,"R",394,"R",5708,"R",32,"Z",0,"R",14426,"R",139737,"R",154163,"R",2439,"R",507,"R",2946,1,"R",0,"R",7,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
