UNITID,PRGMOFR,CIPCODE1,XCIPTUI1,CIPTUIT1,XCIPSUP1,CIPSUPP1,XCIPLGT1,CIPLGTH1,PRGMSR1,XMTHCMP1,MTHCMP1,XWKCMP1,WKCMP1,XLNAYHR1,LNAYHR1,XLNAYWK1,LNAYWK1,XCHG1PY0,CHG1PY0,XCHG1PY1,CHG1PY1,XCHG1PY2,CHG1PY2,XCHG1PY3,CHG1PY3,XCHG4PY0,CHG4PY0,XCHG4PY1,CHG4PY1,XCHG4PY2,CHG4PY2,XCHG4PY3,CHG4PY3,XCHG5PY0,CHG5PY0,XCHG5PY1,CHG5PY1,XCHG5PY2,CHG5PY2,XCHG5PY3,CHG5PY3,XCHG6PY0,CHG6PY0,XCHG6PY1,CHG6PY1,XCHG6PY2,CHG6PY2,XCHG6PY3,CHG6PY3,XCHG7PY0,CHG7PY0,XCHG7PY1,CHG7PY1,XCHG7PY2,CHG7PY2,XCHG7PY3,CHG7PY3,XCHG8PY0,CHG8PY0,XCHG8PY1,CHG8PY1,XCHG8PY2,CHG8PY2,XCHG8PY3,CHG8PY3,XCHG9PY0,CHG9PY0,XCHG9PY1,CHG9PY1,XCHG9PY2,CHG9PY2,XCHG9PY3,CHG9PY3,CIPCODE2,XCIPTUI2,CIPTUIT2,XCIPSUP2,CIPSUPP2,XCIPLGT2,CIPLGTH2,PRGMSR2,XMTHCMP2,MTHCMP2,CIPCODE3,XCIPTUI3,CIPTUIT3,XCIPSUP3,CIPSUPP3,XCIPLGT3,CIPLGTH3,PRGMSR3,XMTHCMP3,MTHCMP3,CIPCODE4,XCIPTUI4,CIPTUIT4,XCIPSUP4,CIPSUPP4,XCIPLGT4,CIPLGTH4,PRGMSR4,XMTHCMP4,MTHCMP4,CIPCODE5,XCIPTUI5,CIPTUIT5,XCIPSUP5,CIPSUPP5,XCIPLGT5,CIPLGTH5,PRGMSR5,XMTHCMP5,MTHCMP5,CIPCODE6,XCIPTUI6,CIPTUIT6,XCIPSUP6,CIPSUPP6,XCIPLGT6,CIPLGTH6,PRGMSR6,XMTHCMP6,MTHCMP6 
194259,1,"51.3901","A",.,"A",.,"R",1204,1,"R",10,"R",40,"R",900,"R",40,"R",9725,"R",9725,"R",9840,"R",10075,"R",1025,"R",1025,"R",1025,"R",925,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",6620,"R",6620,"R",5080,"R",5080,"R",11080,"R",11080,"R",14030,"R",14030,"R",3910,"R",3910,"R",7370,"R",7370,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
194435,1,"12.0401","A",.,"A",.,"R",1000,1,"R",8,"R",31,"R",900,"R",28,"R",11900,"R",11900,"R",12440,"R",12590,"R",1625,"R",1625,"R",1625,"R",1625,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",9130,"R",8176,"R",8091,"R",7169,"R",4402,"R",4162,"R",5410,"R",11920,"R",1775,"R",4743,"R",4867,"R",4216,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
194879,4,"12.0401","A",.,"A",.,"R",1000,1,"R",8,"R",30,"R",1000,"R",30,"R",13000,"R",13000,"R",13000,"R",13000,"R",1500,"R",1500,"R",2100,"R",2100,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",5250,"R",5250,"R",6000,"R",6000,"R",1500,"R",1500,"R",1500,"R",1500,"R",1500,"R",1500,"R",1500,"R",1500,"51.0801","R",14750,"R",2800,"R",1260,1,"R",12,"51.0710","R",10750,"R",2100,"R",960,1,"R",9,"51.0710","R",8300,"R",1680,"R",720,1,"R",11,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
195067,1,"12.0401","A",.,"A",.,"R",1000,1,"R",7,"R",29,"R",900,"R",26,"R",14290,"R",12000,"R",12000,"R",12750,"R",1550,"R",1500,"R",1550,"R",2100,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",4974,"R",5633,"R",5583,"R",5648,"R",5387,"R",4611,"R",4756,"R",4814,"R",5387,"R",4611,"R",4756,"R",4814,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
195623,2,"52.0407","A",.,"A",.,"R",1600,1,"R",16,"R",64,"R",900,"R",36,"R",9600,"R",9600,"R",9600,"R",9600,"R",1500,"R",1600,"R",1700,"R",1500,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",2656,"R",2816,"R",3008,"R",8672,"R",2832,"R",2992,"R",3136,"R",8384,"R",4336,"R",4512,"R",4688,"R",2880,"23.0101","R",2880,"R",480,"R",960,1,"R",12,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
195933,3,"51.0801","A",.,"A",.,"R",960,1,"R",8,"R",32,"R",960,"R",36,"R",11250,"R",11250,"R",11390,"R",11390,"R",1224,"R",1224,"R",1220,"R",1220,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7440,"R",7440,"R",7440,"R",7440,"R",8392,"R",8392,"R",8392,"R",8392,"R",5840,"R",5840,"R",5840,"R",5840,"47.0201","R",17090,"R",1650,"R",1200,1,"R",10,"51.0714","R",11180,"R",1340,"R",960,1,"R",8,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
197337,1,"12.0401","A",.,"A",.,"R",1040,1,"R",9,"R",35,"R",900,"R",30,"R",9481,"R",10434,"R",10346,"R",12550,"R",1018,"R",1065,"R",1154,"R",1950,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",6011,"R",6011,"R",5609,"R",6580,"R",4664,"R",4664,"R",3623,"R",3719,"R",2345,"R",2319,"R",1820,"R",1969,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
198190,1,"09.0799","A",.,"A",.,"R",898,1,"R",13,"R",50,"R",898,"R",52,"R",15750,"R",15750,"R",16500,"R",16500,"R",0,"R",0,"R",0,"R",0,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",5000,"R",13413,"R",13413,"R",5438,"R",4638,"R",8738,"R",8738,"R",3088,"R",3125,"R",6088,"R",6088,"R",2500,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
198844,6,"12.0401","A",.,"A",.,"R",900,1,"R",8,"R",30,"R",900,"R",30,"R",6700,"R",6700,"R",7200,"R",7200,"R",725,"R",725,"R",725,"R",800,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",9000,"R",2250,"R",2250,"R",8640,"R",1170,"R",1170,"R",1170,"R",1020,"R",1170,"R",1170,"R",1170,"R",810,"12.0409","R",3800,"R",500,"R",600,1,"R",5,"12.0410","R",1800,"R",300,"R",300,1,"R",3,"12.0413","R",4900,"R",150,"R",800,1,"R",7,"12.0413","R",4900,"R",150,"R",650,1,"R",6,"12.0413","R",2400,"R",150,"R",320,1,"R",3,
199005,1,"12.0401","A",.,"A",.,"R",1500,1,"R",12,"R",48,"R",900,"R",30,"R",9950,"R",10750,"R",10125,"R",10125,"A",.,"A",.,"R",825,"R",825,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",9900,"R",10200,"R",10500,"R",10800,"R",3600,"R",4200,"R",4800,"R",5400,"R",3600,"R",4200,"R",4800,"R",5400,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
199078,4,"12.0401","A",.,"A",.,"R",1500,1,"R",11,"R",43,"R",900,"R",26,"R",14088,"R",14063,"R",14590,"R",14743,"R",1357,"R",1309,"R",1618,"R",1465,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7256,"R",6450,"R",11363,"R",11363,"R",1881,"R",2150,"R",5880,"R",5891,"R",1881,"R",2150,"R",5880,"R",5891,"51.0713","R",11116,"R",1152,"R",730,1,"R",7,"51.3501","R",11500,"R",1385,"R",740,1,"R",7,"12.0413","R",10749,"R",261,"R",800,1,"R",7,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
199670,4,"12.0401","A",.,"A",.,"R",1500,1,"R",13,"R",52,"R",900,"R",32,"R",6000,"R",12750,"R",16500,"R",16500,"R",1700,"R",1700,"R",2700,"R",2700,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",13949,"R",13949,"R",21853,"R",21853,"R",3250,"R",3250,"R",5967,"R",9230,"R",3159,"R",3159,"R",3198,"R",6435,"12.0402","R",16808,"R",2700,"R",1528,1,"R",13,"12.0413","R",8800,"R",3425,"R",800,1,"R",7,"12.0499","R",7700,"R",1000,"R",700,1,"R",6,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
199689,2,"12.0401","A",.,"A",.,"R",1500,1,"R",12,"R",48,"R",900,"R",26,"R",10900,"R",12900,"R",12900,"R",13900,"R",3000,"R",3000,"R",3000,"R",2500,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",13812,"R",15156,"R",15012,"R",16284,"R",7644,"R",8388,"R",8388,"R",7248,"R",5040,"R",5532,"R",7344,"R",4320,"12.0413","R",4900,"R",135,"R",900,1,"R",7,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
199980,1,"12.0402","A",.,"A",.,"R",1528,1,"R",13,"R",50,"R",1040,"R",26,"R",7675,"R",7675,"R",7845,"R",7845,"R",800,"R",800,"R",800,"R",800,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7875,"R",7875,"R",7875,"R",7875,"R",1850,"R",1850,"R",1850,"R",1850,"R",1850,"R",1850,"R",1850,"R",1850,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
200110,5,"12.0401","A",.,"A",.,"R",1800,1,"R",13,"R",52,"R",900,"R",30,"R",13100,"R",17000,"R",17000,"R",17000,"R",1185,"R",1710,"R",1710,"R",1800,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8424,"R",8424,"R",8424,"R",8424,"R",6214,"R",6214,"R",6214,"R",6214,"R",6214,"R",6214,"R",6214,"R",6214,"12.0413","R",8000,"R",250,"R",900,1,"R",7,"51.3501","R",13500,"R",670,"R",750,1,"R",5,"12.0409","R",8000,"R",770,"R",600,1,"R",4,"12.0410","R",1995,"R",350,"R",350,1,"R",3,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
200129,1,"12.0401","A",.,"A",.,"R",1800,1,"R",22,"R",87,"R",900,"R",26,"R",12000,"R",12000,"R",13800,"R",13800,"R",380,"R",407,"R",431,"R",416,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",21228,"R",21228,"R",21228,"R",21228,"R",14529,"R",14529,"R",14529,"R",14529,"R",14529,"R",14529,"R",14529,"R",14964,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
200165,2,"12.0401","A",.,"A",.,"R",1800,1,"R",13,"R",52,"R",900,"R",30,"R",13100,"R",16500,"R",16500,"R",16500,"R",1185,"R",1710,"R",1710,"R",1800,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8333,"R",8333,"R",8333,"R",8333,"R",6214,"R",6214,"R",6214,"R",6214,"R",6214,"R",6214,"R",6214,"R",6214,"12.0413","R",8000,"R",250,"R",900,1,"R",7,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
200262,1,"12.0402","A",.,"A",.,"R",1550,1,"R",10,"R",40,"R",1200,"R",30,"R",5380,"R",6337,"R",6337,"R",6337,"R",855,"R",855,"R",855,"R",855,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",4250,"R",4250,"R",4250,"R",4250,"R",4050,"R",4050,"R",4050,"R",4050,"R",2370,"R",2370,"R",2370,"R",2370,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
200387,3,"12.0401","A",.,"A",.,"R",1800,1,"R",12,"R",48,"R",1040,"R",26,"R",14395,"R",14395,"R",14395,"R",14395,"R",1800,"R",2000,"R",2000,"R",2000,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",13524,"R",14628,"R",15828,"R",12456,"R",7500,"R",8388,"R",8388,"R",3828,"R",5148,"R",6036,"R",7344,"R",8100,"12.0401","R",17895,"R",2200,"R",2100,1,"R",13,"12.0410","R",3900,"R",1000,"R",350,1,"R",3,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
200828,3,"51.3901","A",.,"A",.,"R",1032,1,"R",10,"R",40,"R",1032,"R",40,"R",11035,"R",12035,"R",12035,"R",11000,"R",1915,"R",1915,"R",1915,"R",3950,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7910,"R",8180,"R",8180,"R",8310,"R",3900,"R",4140,"R",4040,"R",4100,"R",3900,"R",4140,"R",4040,"R",4100,"51.3902","R",650,"A",.,"R",84,1,"R",2,"51.1009","R",700,"A",.,"R",60,1,"R",2,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
201034,11,"51.3901","A",.,"A",.,"R",1376,1,"R",11,"R",45,"R",900,"R",30,"R",10260,"R",10750,"R",10750,"R",9608,"R",985,"R",985,"R",985,"R",1142,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7538,"R",9371,"R",9371,"R",9518,"R",1913,"R",1913,"R",1913,"R",2284,"R",1575,"R",1665,"R",1665,"R",1991,"51.3902","R",630,"R",165,"R",76,1,"R",1,"49.0205","R",4435,"R",65,"R",200,1,"R",2,"51.0899","R",9300,"R",1066,"R",900,1,"R",10,"19.0708","R",3200,"R",150,"R",600,1,"R",9,"47.0303","R",11400,"R",1800,"R",900,1,"R",14,
201098,9,"51.0601","A",.,"A",.,"R",600,1,"R",7,"R",28,"R",900,"R",26,"R",4810,"R",4767,"R",5028,"R",4941,"R",165,"R",181,"R",191,"R",183,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",6265,"R",6265,"R",6265,"R",6265,"R",1967,"R",1981,"R",1981,"R",1974,"R",1960,"R",1974,"R",1974,"R",1974,"51.0801","R",6813,"R",632,"R",900,1,"R",9,"47.0303","R",7460,"R",655,"R",750,1,"R",7,"51.0716","R",5908,"R",1559,"R",900,1,"R",9,"51.0710","R",4506,"R",1223,"R",600,1,"R",6,"47.0201","R",7330,"R",386,"R",850,1,"R",10,
201131,12,"51.3901","A",.,"A",.,"R",1500,1,"R",11,"R",43,"R",1000,"R",28,"R",9275,"R",9750,"R",10000,"R",10750,"R",1125,"R",1190,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",9428,"R",3225,"R",9922,"R",10266,"R",2956,"R",2956,"R",3107,"R",3171,"R",2956,"R",2956,"R",3107,"R",2612,"47.0201","R",3800,"A",.,"R",300,1,"R",8,"51.2699","R",4800,"A",.,"R",600,1,"R",8,"52.0401","R",4350,"A",.,"R",600,1,"R",8,"51.0710","R",4700,"A",.,"R",600,1,"R",8,"12.0401","R",9600,"A",.,"R",1500,1,"R",16,
201159,12,"51.3901","A",.,"A",.,"R",1200,1,"R",11,"R",44,"R",900,"R",36,"R",12950,"R",11745,"R",13450,"R",13950,"R",1986,"R",1205,"R",1205,"R",1205,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",5115,"R",9845,"R",10153,"R",10505,"R",1320,"R",9130,"R",3179,"R",3289,"R",1320,"R",9130,"R",3179,"R",3289,"47.0201","R",6300,"R",2325,"R",600,1,"R",10,"43.9999","R",1650,"R",575,"R",260,1,"R",6,"48.0508","R",6500,"R",1092,"R",620,1,"R",11,"51.0904","R",1084,"R",290,"R",220,1,"R",7,"51.0904","R",6000,"R",865,"R",1010,1,"R",13,
201478,11,"51.3901","A",.,"A",.,"R",1382,1,"R",10,"R",40,"R",1000,"R",40,"R",7800,"R",7800,"R",8500,"R",8500,"R",1930,"R",1930,"R",2000,"R",2050,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",4860,"R",4860,"R",4860,"R",4860,"R",2500,"R",2500,"R",2500,"R",2500,"R",2500,"R",2500,"R",2500,"R",2500,"51.3902","R",640,"R",175,"R",80,1,"R",1,"51.1009","R",1350,"R",400,"R",150,1,"R",2,"12.0401","R",8750,"R",700,"R",1500,1,"R",12,"51.0909","R",8250,"R",1500,"R",1342,1,"R",12,"43.0107","R",5200,"R",750,"R",681,1,"R",10,
201496,11,"43.0107","A",.,"A",.,"R",736,1,"R",9,"R",36,"R",900,"R",26,"R",5807,"R",6193,"R",6185,"R",6592,"R",430,"R",80,"R",80,"R",80,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8370,"R",9621,"R",10773,"R",11304,"R",9963,"R",10422,"R",11664,"R",11790,"R",9063,"R",9522,"R",10656,"R",10890,"51.3901","R",13615,"R",1625,"R",1400,1,"R",11,"47.0201","R",7731,"R",1819,"R",648,1,"R",9,"48.0508","R",8280,"R",750,"R",624,1,"R",9,"43.0203","R",5905,"R",1038,"R",626,1,"R",6,"51.0801","R",9915,"R",1360,"R",900,1,"R",9,
201539,5,"51.3901","A",.,"A",.,"R",1290,1,"R",11,"R",45,"R",900,"R",45,"R",11200,"R",11520,"R",11320,"R",12054,"R",1105,"R",1000,"R",800,"R",1000,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",4770,"R",11363,"R",11363,"R",11363,"R",3465,"R",5558,"R",5558,"R",5558,"R",3465,"R",5558,"R",5558,"R",5558,"47.0604","R",8250,"R",0,"R",1020,1,"R",9,"51.0801","R",8000,"R",0,"R",1020,1,"R",9,"51.0714","R",8475,"R",0,"R",1020,1,"R",9,"51.3902","R",6700,"R",0,"R",700,1,"R",5,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
201681,1,"51.3901","A",.,"A",.,"R",1240,1,"R",12,"R",46,"R",900,"R",37,"R",13805,"R",14805,"R",15790,"R",15810,"R",1075,"R",1075,"R",1075,"R",1075,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",9465,"R",9488,"R",9488,"R",9545,"R",3634,"R",3818,"R",4140,"R",4313,"R",3634,"R",3818,"R",4140,"R",4255,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
201982,6,"12.0401","A",.,"A",.,"R",1800,1,"R",14,"R",56,"R",900,"R",28,"R",13752,"R",13752,"R",14608,"R",14508,"R",2000,"R",2000,"R",2000,"R",1788,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7518,"R",7630,"R",7630,"R",7630,"R",3318,"R",3402,"R",3402,"R",3402,"R",3318,"R",3402,"R",3402,"R",3402,"12.0401","R",12090,"R",1788,"R",1500,1,"R",12,"12.0409","R",8100,"R",1000,"R",750,1,"R",6,"12.0409","R",6480,"R",1000,"R",600,1,"R",5,"12.0410","R",3296,"R",650,"R",400,1,"R",3,"12.0410","R",1648,"R",650,"R",200,1,"R",2,
202055,4,"51.0801","A",.,"A",.,"R",900,1,"R",8,"R",32,"R",900,"R",32,"R",10800,"R",10800,"R",10800,"R",10800,"R",950,"R",950,"R",950,"R",950,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",5336,"R",6000,"R",6000,"R",6000,"R",3048,"R",4000,"R",4000,"R",4000,"R",3048,"R",4000,"R",4000,"R",4000,"51.0601","R",10800,"R",950,"R",900,1,"R",8,"51.0716","R",10800,"R",950,"R",900,1,"R",8,"51.0805","R",10800,"R",950,"R",900,1,"R",8,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
202152,6,"48.0508","A",.,"A",.,"R",900,1,"R",8,"R",32,"R",900,"R",32,"R",6000,"R",6000,"R",6000,"R",6600,"R",700,"R",800,"R",860,"R",1237,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",2800,"R",2800,"R",2800,"R",2800,"R",304,"R",304,"R",304,"R",304,"R",304,"R",304,"R",304,"R",304,"51.3901","R",10500,"R",2672,"R",1230,1,"R",12,"51.0801","R",6000,"R",1086,"R",900,1,"R",9,"51.0714","R",6000,"R",1110,"R",900,1,"R",9,"51.0805","R",3762,"R",448,"R",600,1,"R",9,"48.0501","R",7000,"R",2052,"R",900,1,"R",9,
202453,1,"12.0402","A",.,"A",.,"R",1800,1,"R",14,"R",55,"R",900,"R",26,"R",10860,"R",10860,"R",10860,"R",10860,"R",575,"R",575,"R",600,"R",600,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",12155,"R",12403,"R",12609,"R",7095,"R",5431,"R",5541,"R",5638,"R",8993,"R",5431,"R",5541,"R",5638,"R",9336,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
202657,17,"51.3901","A",.,"A",.,"R",1268,1,"R",13,"R",52,"R",900,"R",52,"R",8900,"R",10060,"R",10375,"R",10590,"R",740,"R",930,"R",1205,"R",1275,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8099,"R",9178,"R",9100,"R",9204,"R",6071,"R",7280,"R",7722,"R",7839,"R",4771,"R",5980,"R",7722,"R",7839,"51.3902","R",625,"R",72,"R",88,1,"R",1,"51.0810","R",950,"R",328,"R",232,1,"R",5,"51.0801","R",6430,"R",1140,"R",900,1,"R",9,"43.0107","R",6750,"R",250,"R",645,1,"R",5,"46.0302","R",4950,"R",1036,"R",600,1,"R",10,
202888,3,"12.0401","A",.,"A",.,"R",1500,1,"R",13,"R",52,"R",900,"R",32,"R",8780,"R",9135,"R",9335,"R",9520,"R",530,"R",540,"R",680,"R",735,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",7475,"R",7800,"R",8125,"R",8450,"R",3250,"R",3250,"R",3250,"R",3250,"R",2860,"R",3120,"R",3315,"R",3315,"12.0409","R",4820,"R",600,"R",750,1,"R",9,"12.0410","R",1660,"R",700,"R",200,1,"R",2,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
202949,13,"47.0201","A",.,"A",.,"R",900,1,"R",11,"R",45,"R",900,"R",45,"R",7095,"R",7195,"R",7280,"R",7250,"R",2200,"R",2570,"R",2321,"R",2700,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8696,"R",8280,"R",8280,"R",8280,"R",5625,"R",5625,"R",5670,"R",5670,"R",3825,"R",3825,"R",3870,"R",3870,"48.0508","R",7250,"R",2545,"R",900,1,"R",11,"47.0604","R",7250,"R",2550,"R",900,1,"R",11,"47.0605","R",7250,"R",2950,"R",900,1,"R",11,"51.0601","R",7250,"R",1365,"R",900,1,"R",11,"46.0000","R",7250,"R",2525,"R",900,1,"R",11,
202985,1,"51.3901","A",.,"A",.,"R",1400,1,"R",11,"R",44,"R",900,"R",28,"R",10500,"R",10675,"R",10675,"R",12499,"R",2600,"R",2965,"R",3000,"R",1500,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",9845,"R",9955,"R",9955,"R",10153,"R",3091,"R",7227,"R",6545,"R",7128,"R",3091,"R",7227,"R",6545,"R",7128,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
203030,2,"51.3901","A",.,"A",.,"R",1440,1,"R",12,"R",48,"R",960,"R",32,"R",13500,"R",14400,"R",15000,"R",15000,"R",1200,"R",1240,"R",1240,"R",1240,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"R",8664,"R",8832,"R",8832,"R",8832,"R",2892,"R",2796,"R",2796,"R",2796,"R",3000,"R",2796,"R",2796,"R",2796,"49.0205","R",9575,"R",500,"R",600,1,"R",6,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,"-2     ","A",.,"A",.,"A",.,-2,"A",.,
