UNITID,EFTEUG,EFTEGD
122366,187,
122375,13430,
122384,6213,
122409,27163,3552
122436,5714,1510
122454,386,225
122506,217,342
122597,23090,2299
122603,,56
122612,7077,2674
122649,,
122658,12624,
122685,8011,
122728,1160,75
122746,4784,
122755,21734,3659
122791,5194,
122834,577,
122852,179,
122889,12752,
122931,6223,1882
122977,21581,
123013,12955,
123095,,421
123165,974,29
123217,7549,
123280,34,4
123299,5343,
123341,11865,
123350,158,
123396,88,
123448,,
123457,878,164
123484,1653,
123493,525,
123509,5692,
123527,8414,
123554,2974,1117
123563,6247,
123572,7975,319
123633,90,576
123642,395,
123651,1740,231
123679,699,
123800,12216,
123855,,117
123916,,71
123943,,8
123952,291,391
123961,19759,16045
123970,,32
124113,2189,
124283,,216
124292,452,
124487,107,20
124681,872,
124706,659,
124779,11,
124937,687,
125028,8098,
125037,,0
125082,119,
125091,7989,
125170,3902,
125231,7386,31485
125310,34,
125462,1656,
125471,6599,
125499,5505,
125532,1308,
125718,,152
125727,1478,
125763,1615,103
125897,1236,230
126012,,467
126030,,
126049,,23
126076,234,
126119,4628,
126164,123,
126182,1921,914
126207,3356,
126289,5100,
126359,450,
126401,257,
126562,10372,4963
126580,8801,1191
126605,208,
126614,26512,3241
126669,3904,431
126678,2347,45
126687,643,
126702,1067,
126711,3419,
126748,753,
126775,4800,1050
126784,186,
126818,22080,4176
126827,22281,2930
126863,4082,
126872,325,
126915,255,
126942,5627,
126951,1251,
126979,,585
127060,5697,4303
127158,3117,
127185,3472,8
127200,12751,
127219,44,
127228,116,
127273,,238
127316,158,
127389,600,
127556,7686,102
127565,15421,388
127617,860,
127653,387,465
127680,180,
127714,359,
127732,1243,
127741,8475,1902
127778,1022,
127787,298,
127820,9092,
127839,573,
127884,4152,
127909,5909,
127918,3553,2297
127945,903,18
127954,14,21
128106,3941,2678
128151,589,
128179,1378,
128188,1253,
128258,1148,
128328,5062,
128337,94,
128391,1994,244
128498,1361,390
128540,124,
128577,987,
128586,67,
128674,299,
128683,402,
128726,192,
128744,2502,1989
128771,8455,1463
128780,950,
128896,366,
128902,1942,3
129002,353,
129020,19060,4912
129154,2432,
129181,967,
129215,4647,146
129242,4043,755
129349,129,
129367,1990,
129428,,46
129482,457,
129491,,67
129525,5109,1121
129534,97,224
129543,3043,
129695,4176,
129729,4133,
129756,1829,
129774,608,
129808,2475,
129923,496,
129932,405,
129941,4954,1425
129969,277,
130004,3759,
130040,812,
130110,69,
130174,2729,
130183,5554,479
130217,906,
130226,7232,2066
130253,5083,2385
130314,860,890
130396,4483,
130448,455,
130493,7082,1609
130509,643,
130581,,205
130590,2290,63
130606,2493,
130624,477,
130697,3194,168
130776,4586,265
130785,,12
130794,7050,7015
130837,35,
130873,630,
130907,9336,
130934,3894,229
130943,19119,1969
130989,574,939
131061,154,
131098,1468,54
131113,6654,5047
131159,7783,2792
131283,3588,1654
131399,3181,278
131405,,106
131450,970,401
131469,10770,8584
131496,7105,6159
131520,6509,1309
131803,641,230
131830,48,
131876,1543,357
131973,,329
132268,409,
132338,1142,
132374,1404,
132408,361,7
132471,3473,2678
132602,3624,161
132657,2119,712
132675,136,
132693,10647,
132709,30311,
132806,15,
132842,325,501
132851,5340,
132879,186,
132903,47280,5535
132976,191,
133021,1457,
133155,567,
133386,10682,
133465,893,146
133492,2203,
133508,10476,
133526,1260,
133553,5134,301
133650,7793,668
133669,21512,3178
133702,18931,
133711,2535,
133809,523,
133845,479,
133854,455,
133863,383,
133872,1355,265
133881,3573,1823
133942,153,
133951,36512,7570
133960,709,
133979,1384,50
133997,386,
134024,126,
134079,2584,277
134097,31592,6561
134112,7247,
134130,32301,11326
134149,417,102
134228,34,
134237,24555,2569
134291,413,
134307,575,
134343,3806,
134422,83,
134495,18952,
134510,130,
134529,293,
134574,250,
134608,12506,
134680,271,
134714,167,
134811,2519,53
134945,2796,775
135063,174,
135081,20262,744
135124,978,
135142,209,
135160,1986,
135179,553,
135188,2896,
135267,628,
135276,608,
135294,535,
135337,123,
135364,207,443
135391,7475,
135407,1089,
135522,393,
135559,46,
135610,109,60
135647,543,
135717,48705,
135726,10939,3221
135735,967,
135771,586,
135939,46,
136066,595,
136109,167,
136145,818,
136172,11992,1280
136215,4098,10263
136233,4419,
136288,163,16
136303,508,
136330,2647,433
136358,19729,0
136400,7770,
136473,6667,
136491,771,
136516,7287,
136659,272,
136701,,153
136765,278,
136774,1147,
136783,66,
136826,576,
136950,2956,525
137023,500,
137032,11498,2944
137078,20474,
137087,638,
137096,10686,
137120,754,
137148,102,226
137209,11583,
137245,1520,
137272,63,32
137281,4479,
137315,1799,
137351,28874,7724
137476,888,1085
137546,3263,273
137564,3465,479
137591,290,
137713,115,
137759,9324,
137777,42,12
137801,376,18
137810,286,8
137847,7515,898
137856,154,
137865,365,
137953,338,11
137962,173,
138132,105,
138187,30388,
138275,975,87
138284,299,
138293,668,38
138309,7351,
138354,8528,1648
138372,668,
138479,941,
138488,494,
138497,277,
138558,2817,
138600,912,
138655,727,
138664,84,
138682,3059,
138691,4178,
138716,2696,347
138761,304,
138789,5524,652
138813,2299,
138822,656,
138840,3357,
138868,1344,
138901,2242,
138929,,
138938,187,
138947,2753,716
138956,3321,
139010,1699,
139144,2144,111
139153,276,142
139199,1351,1094
139205,462,
139214,178,
139250,2493,
139278,4435,
139287,55,
139311,5087,307
139348,,159
139357,2478,
139366,5988,1093
139384,4094,
139393,1029,36
139463,3945,
139506,236,
139579,728,656
139621,2375,
139630,768,
139658,7479,5310
139700,4139,
139719,2162,298
139746,72,
139755,14530,11086
139764,2076,300
139861,6001,722
139931,17169,1840
139940,22345,8638
139959,26327,8283
139968,3152,
139986,3275,
139995,171,
140003,367,
140012,4632,
140146,,119
140234,884,114
140243,2434,
140252,724,175
140331,6488,
140340,591,142
140447,4270,2152
140553,2187,
140562,,145
140678,1916,
140696,1212,
140720,545,
140818,1239,874
140827,77,
140872,1218,94
140942,3114,
140951,9229,1776
140960,4276,149
140988,1329,76
141006,1433,
141015,237,
141060,2235,
141167,355,120
141185,832,
141237,1124,15
141255,2470,
141264,8003,1837
141325,626,47
141334,9734,1480
141361,1146,
141486,1776,519
141565,2798,132
141574,12888,2524
141608,128,
141644,3150,547
141680,2365,
141796,4656,
141802,719,
141811,4380,
141839,1965,
141848,72,
141936,,37
141945,120,
141981,1901,
141990,1348,
142054,441,
142090,136,
142115,14180,2023
142179,499,
142276,8534,1521
142285,8337,1118
142294,975,34
142328,2751,
142407,115,
142416,20,
142443,3520,
142461,1668,528
142489,34,
142522,41019,
142559,3945,
142832,,808
142869,42,
142878,27,
142887,260,
142957,18,9
143048,2612,810
143084,2491,
143118,3440,1591
143181,30,
143215,7645,
143233,,31
143279,4063,
143288,576,
143297,201,13
143303,11,
143358,4309,701
143376,279,
143464,114,
143473,43,
143482,58,
143491,91,
143516,37,
143543,94,
143552,60,
143613,1381,
143659,,202
143695,11,
143853,,1167
143978,,814
144005,2522,682
144014,,104
144050,4590,7053
144157,3025,
144166,4381,
144175,2492,
144184,7094,
144193,6219,
144209,6944,
144218,7789,
144281,7917,282
144351,1387,2304
144467,1372,
144485,730,
144564,1946,
144573,37,
144740,15449,4566
144795,313,
144865,18691,
144883,502,
144892,6452,1107
144944,7112,
144962,3021,340
144971,654,
145099,277,
145239,456,
145275,,219
145309,32,
145336,2642,1738
145354,26,
145372,1140,159
145406,205,
145424,60,
145433,69,
145460,11,74
145497,518,3
145521,1425,
145558,,815
145600,16652,7772
145619,3243,2399
145628,,
145637,35476,13889
145646,2096,
145682,6031,
145691,1008,1
145707,1102,
145725,2451,3492
145770,179,220
145813,17205,1652
145831,2242,
145886,,45
146010,99,
146205,3464,
146241,,76
146278,1429,
146296,9270,
146339,1048,182
146348,2275,
146366,3058,
146393,1177,
146418,2560,
146427,1378,
146454,34,
146472,9366,
146481,1595,15
146490,,281
146506,6378,
146533,187,
146603,3728,
146612,4439,1438
146667,396,207
146676,983,
146685,4605,
146700,774,
146719,10973,2580
146728,,75
146755,212,3
146807,51,
146816,159,
146825,559,
146977,,99
147004,4280,
147013,2097,436
147031,,97
147129,558,2
147165,351,
147244,2088,71
147341,1238,
147369,2847,499
147378,10602,
147396,102,
147411,2996,
147439,69,
147536,1036,2369
147590,133,209
147642,64,
147660,2617,146
147679,1954,586
147697,,67
147703,13262,3592
147749,200,
147767,8677,9418
147776,5807,1105
147800,6596,
147819,44,
147828,3406,1345
147916,6230,
148007,3620,
148016,476,
148098,52,
148131,1222,160
148140,196,
148177,1309,
148256,2187,
148292,2122,
148335,2981,321
148380,5572,
148399,597,
148405,970,244
148487,2652,1370
148496,2195,986
148511,148,1762
148575,362,134
148584,1460,1617
148593,112,
148627,2782,607
148654,2372,1997
148672,1421,
