UNITID,EFDEEXC,XEFDESOM,EFDESOM,EFDENON
102614,1033,R,1519,2600
102614,743,R,80,1187
102614,575,R,325,221
102632,1436,R,404,723
102632,1200,R,344,706
102632,688,R,294,335
102632,512,R,50,371
102632,236,R,60,17
102669,58,R,68,415
102669,57,R,58,183
102669,55,R,55,152
102669,2,R,3,31
102669,1,R,10,232
102711,0,A,0,1209
102711,0,A,0,1209
102711,0,A,0,1209
102845,463,R,2078,135
102845,455,R,2077,135
102845,455,R,2051,135
102845,0,R,26,0
102845,8,R,1,0
103501,0,A,0,424
103501,0,A,0,424
103501,0,A,0,424
103741,0,A,0,104
103741,0,A,0,104
103778,26,R,1,270
103778,26,R,1,270
103811,0,A,0,274
103811,0,A,0,274
103893,41,R,256,356
103893,41,R,256,356
103893,41,R,256,356
103909,1,R,148,450
103909,1,R,148,450
103909,1,R,148,450
103927,0,R,110,198
103927,0,R,110,198
103945,0,A,0,101
103945,0,A,0,101
103945,0,A,0,101
103954,0,A,0,90
103954,0,A,0,90
103963,0,A,0,739
103963,0,A,0,739
104090,576,R,0,642
104090,459,R,0,642
104090,459,R,0,642
104090,117,R,0,0
104151,1031,R,29958,20880
104151,0,R,22069,20408
104151,0,R,21999,20225
104151,0,R,70,183
104151,1031,R,7889,472
104160,1263,R,2459,3847
104160,1263,R,2459,3847
104160,1063,R,2177,3271
104160,200,R,282,576
104179,2579,R,10418,30164
104179,807,R,9845,23042
104179,788,R,9832,22782
104179,19,R,13,260
104179,1772,R,573,7122
104188,0,A,0,136
104188,0,A,0,132
104188,0,A,0,132
104188,0,A,0,4
104346,1151,R,2710,1724
104346,1151,R,2710,1724
104346,1073,R,2516,1276
104346,78,R,194,448
104364,0,A,0,171
104364,0,A,0,171
104364,0,A,0,171
104391,0,A,0,60
104391,0,A,0,60
104425,972,R,992,2249
104425,972,R,992,2249
104425,884,R,963,1917
104425,88,R,29,332
104434,0,A,0,35
104434,0,A,0,35
104443,0,A,0,62
104443,0,A,0,62
104504,0,A,0,89
104504,0,A,0,89
104568,0,A,0,286
104568,0,A,0,286
104577,263,R,785,5375
104577,263,R,785,5375
