UNITID,F3A01,F3B04,F3B06,F3B08,F3C03,F3C03A,F3C03B,F3C04,F3C06,F3D01,F3D02,F3D02A,F3D02B,F3D03,F3D03A,F3D03B,F3D03C,F3D04,F3D12,F3E02A1,F3E02A2
179229,,,,,0,0,0,0,0,16800,124247,124247,0,0,0,0,0,0,,0,0
179511,6446968,94274,2159842,2254116,0,0,0,0,0,9655649,0,0,0,0,0,0,0,0,,0,0
179991,,,,,0,0,0,0,0,91496,0,0,0,0,0,0,0,0,,0,0
180063,,,,,0,0,0,0,0,323619,0,0,0,0,0,0,0,0,,0,0
180090,,,,,15100,10600,4500,0,0,494655,0,0,0,14100,0,9600,0,0,,0,0
180771,,,,,51162,51162,0,18726,0,259552,0,0,0,0,0,0,0,0,,0,0
180957,,,,,82093,77516,4577,0,0,1280341,0,0,0,0,0,0,0,0,,0,0
181190,,,,,129921,129921,0,283125,0,2769172,0,0,0,0,0,0,0,0,,0,0
181242,35681234,2011570,28043972,30055544,754246,754246,0,8984,274566,7559108,0,0,0,0,0,0,0,0,0,0,0
181400,56563977,1537471,44029822,45567294,792082,792082,0,4273,270084,9306269,0,0,0,0,0,0,0,0,0,0,0
181880,,,,,0,0,0,68799,0,2654197,0,0,0,0,0,0,0,0,,0,0
181941,4526312,-182317,1198290,1655973,406071,406071,0,84928,0,5629566,2204613,0,2204613,0,0,0,0,0,,0,0
182111,6318867,-2214747,5452919,3602407,0,0,0,3051089,8080761,9748558,5029672,0,5029672,0,0,0,0,0,0,0,0
182652,,,,,0,0,0,1000,0,818934,0,0,0,0,0,0,0,0,,8612,0
182704,,,,,0,0,0,0,0,2413751,0,0,0,0,0,0,0,0,,0,0
182722,,,,,0,0,0,0,0,1579168,0,0,0,0,0,0,0,0,,0,0
182892,,,,,0,0,0,0,0,650960,0,0,0,0,0,0,0,0,,0,0
182953,,,,,4050,4050,0,38700,7186,1753579,0,0,0,0,0,0,0,0,,0,0
182999,,,,,28526,28526,0,0,0,360759,0,0,0,0,0,0,0,0,,0,0
183035,,,,,0,0,0,0,0,400000,0,0,0,0,0,0,0,0,,0,0
183202,,,,,0,0,0,0,0,630361,0,0,0,0,0,0,0,0,,0,0
183488,3381028,1122022,1567043,1519309,287892,287892,0,0,0,8212905,0,0,0,0,0,0,0,0,,0,0
183725,,,,,55893,0,55893,108503,108503,7971958,0,0,0,0,0,0,0,0,,0,0
183789,46716787,2356957,25717707,26180764,15946903,15946903,0,26035366,26030366,72672608,0,0,0,0,0,0,0,0,0,0,0
184047,,,,,0,0,0,0,0,1241665,0,0,0,0,0,0,0,0,,0,0
184056,,,,,0,0,0,0,0,5029796,1808564,0,1808564,0,0,0,0,0,,0,0
184278,,,,,0,0,0,0,0,3329288,0,0,0,0,0,0,0,0,,0,0
184427,,,,,0,0,0,0,0,4478907,1086581,0,1086581,0,0,0,0,0,,0,0
184506,,,,,5200,5200,0,36532,0,1087307,0,0,0,0,0,0,0,0,,0,0
184746,,,,,28800,28800,0,2500,0,4086020,0,0,0,0,0,0,0,0,,759629,708683
184816,,,,,71165,71165,0,27050,0,927257,0,0,0,0,0,0,0,0,,0,0
184870,,,,,522226,522226,0,0,0,20663202,0,0,0,0,0,0,0,0,,0,0
184959,8350481,3623092,5070658,5631735,425050,425050,0,0,0,13184081,0,0,0,0,0,0,0,0,0,0,0
185174,,,,,0,0,0,0,0,1682972,176685,0,176685,0,0,0,0,7850,,0,0
185332,,,,,103536,103536,0,0,0,10245152,0,0,0,0,0,0,0,0,,0,0
185396,,,,,0,0,0,0,0,16014821,3774916,3690301,84615,0,0,0,0,0,,0,0
185466,,,,,0,0,0,176658,176658,3114150,0,0,0,0,0,0,0,0,,0,0
185721,2158397,914243,1407857,1298340,96060,96060,0,0,0,5953605,0,0,0,0,0,0,0,0,,0,0
185767,,,,,0,0,0,0,978413,1833897,0,0,0,0,0,0,0,0,,0,0
185970,,,,,9282,9282,0,154690,0,2210319,0,0,0,0,0,0,0,0,,0,0
186016,,,,,123632,123632,0,600,0,3828303,0,0,0,0,0,0,0,0,,0,0
186052,,,,,0,0,0,12517,582272,11573342,0,0,0,0,0,0,0,0,,0,0
186274,,,,,0,0,0,0,523587,1255089,0,0,0,0,0,0,0,0,,0,0
186335,,,,,0,0,0,0,0,234706,107636,0,107636,0,0,0,0,0,,0,0
186593,,,,,27526,27526,0,1000,0,1843552,0,0,0,0,0,0,0,0,,0,0
187000,,,,,16002,16002,0,6500,0,2520350,0,0,0,0,0,0,0,0,,0,0
187505,,,,,0,0,0,0,0,9743621,0,0,0,0,0,0,0,0,,0,0
187602,,,,,0,0,0,0,0,396726,0,0,0,0,0,0,0,0,,0,0
188146,35611000,-7555000,11389000,10834000,0,0,0,2069000,4141000,10748000,0,0,0,0,0,0,0,3858000,0,0,0
188289,,,,,0,0,0,0,0,303533,0,0,0,0,0,0,0,0,,0,0
188517,39079472,-162114,39097993,38935879,853793,853793,0,684618,684618,6600002,0,0,0,0,0,0,0,0,0,0,0
188650,,,,,0,0,0,0,0,7596685,0,0,0,0,0,0,0,0,,0,0
188696,,,,,0,0,0,1619738,0,2701485,0,0,0,0,0,0,0,0,,0,0
188890,,,,,0,0,0,0,2733182,20637136,0,0,0,0,0,0,0,0,,0,0
188988,,,,,70631,70631,0,15920,0,1730686,672874,0,672874,70631,0,70631,0,0,,0,0
189219,,,,,191405,191405,0,0,0,2805435,665271,650271,15000,191405,191405,0,0,0,,0,0
189228,63231454,5659416,33323006,35266922,8488500,8488500,0,29894773,29894773,96758753,0,0,0,0,0,0,0,0,0,0,0
189404,,,,,9570,9570,0,0,0,2398509,0,0,0,0,0,0,0,0,,0,0
189459,52584226,-3169021,52728036,49559415,2961907,2961907,0,417510,1340954,26905873,0,0,0,0,0,0,0,0,0,0,0
189468,,,,,63607,63607,0,0,0,1536511,0,0,0,0,0,0,0,0,,0,0
189477,,,,,0,0,0,0,0,1338183,0,0,0,0,0,0,0,0,,0,0
189556,26855576,-367263,22282367,21915103,552615,552615,0,402041,402041,4876434,0,0,0,0,0,0,0,0,0,0,0
189565,31250616,-332907,31229395,30896487,673578,673578,0,1007145,1007145,5349220,0,0,0,0,0,0,0,0,0,0,0
189574,43170051,-468718,43484896,43016178,1122494,1122494,0,1763979,1763979,7295726,0,0,0,0,0,0,0,0,,0,0
189583,67365083,1186167,65933403,67119570,1343593,1343593,0,1149537,1149537,8217524,0,0,0,0,0,0,0,0,0,0,0
189592,10975457,473100,10290103,10763203,895596,895596,0,647641,647641,5898027,0,0,0,0,0,0,0,0,0,0,0
189714,,,,,0,0,0,0,0,2636127,0,0,0,0,0,0,0,0,,0,0
189811,,,,,0,0,0,1112,1112,10396448,0,0,0,0,0,0,0,0,,0,0
189954,,,,,64803,64803,0,0,0,360698,0,0,0,0,0,0,0,0,,0,0
189990,,,,,0,0,0,0,0,3511897,0,0,0,0,0,0,0,0,,0,0
190239,,,,,6325,6325,0,4800,0,1252789,0,0,0,0,0,0,0,0,,0,0
190293,,,,,23359,23359,0,0,0,1029125,0,0,0,0,0,0,0,0,,0,0
190309,,,,,13380,13380,0,0,0,1081168,0,0,0,0,0,0,0,0,,0,0
190318,,,,,56810,56810,0,0,0,2716895,0,0,0,0,0,0,0,0,,0,0
190974,2935262,35711,2045558,1696738,1199270,1199270,0,0,0,6396530,0,0,0,0,0,0,0,0,,0,0
191205,20184424,759013,12574021,14882239,1205160,1205160,0,0,2669215,8416611,2669215,1464055,1205160,0,0,0,0,0,0,0,0
191287,,,,,0,0,0,483477,0,18365950,0,0,0,0,0,0,0,0,,0,0
191409,,,,,0,0,0,0,0,624604,0,0,0,0,0,0,0,0,,0,0
191728,,,,,2342566,0,2342566,0,0,5141468,3379820,0,3379820,0,0,0,0,0,,0,0
191834,,,,,15863,15863,0,492275,571722,4577312,555860,555860,0,15863,15863,0,0,0,,0,0
191959,1469667,52558,1197945,1250503,275387,275387,0,21000,0,1847810,0,0,0,0,0,0,0,0,,0,0
192004,1335783,310112,1021493,937386,979087,979087,0,0,0,3802410,0,0,0,0,0,0,0,0,0,0,0
192271,21233320,1335352,6684440,5219042,398453,398453,0,4508795,5034612,47804233,127364,0,127364,398453,0,398453,0,0,0,0,0
192484,,,,,0,0,0,0,0,1395642,0,0,0,0,0,0,0,0,,0,0
192509,6627854,-237866,2229309,1991442,2989120,2989120,0,0,0,12564376,0,0,0,0,0,0,0,0,,0,0
192688,3400177,527930,2738715,2926645,1720691,1720691,0,0,0,5155893,0,0,0,0,0,0,0,0,,0,0
193186,,,,,0,0,0,0,0,1087468,0,0,0,0,0,0,0,0,,0,0
193201,17820885,4863371,10928499,14935449,3129858,3129858,0,446937,0,16830010,9795319,0,9795319,3129858,0,3129858,0,106052,,0,0
193265,,,,,0,0,0,0,178395,1625239,0,0,0,0,0,0,0,0,,0,0
193308,124444783,3032725,53158839,56923432,13753909,13753909,0,0,16627518,112643696,0,0,0,0,0,0,0,0,0,0,0
193672,,,,,0,0,0,0,0,1096517,0,0,0,0,0,0,0,0,,0,0
193858,,,,,0,0,0,0,0,5195527,0,0,0,0,0,0,0,0,,0,0
193991,,,,,11850,11850,0,1800,0,506357,0,0,0,0,0,0,0,0,,0,0
194435,,,,,24852,24852,0,0,0,1106836,0,0,0,0,0,0,0,0,,0,0
194499,5192000,337000,4839000,5190000,2581000,2581000,0,354000,0,1560000,5554000,0,5554000,2581000,0,2581000,0,0,0,0,0
194879,,,,,0,0,0,0,0,777516,0,0,0,0,0,0,0,0,,0,0
195067,,,,,88605,88605,0,20800,0,5833966,0,0,0,0,0,0,0,0,,0,0
195784,,,,,0,0,0,3276,3276,9878374,0,0,0,0,0,0,0,0,,0,0
195845,1629397,-645848,1040525,394677,351053,351053,0,0,0,4339111,0,0,0,0,0,0,0,0,,0,0
196389,10621643,-278794,3962148,4083221,1768039,1740822,27217,17635,0,8063566,3633746,0,3633746,1768039,0,1740822,0,0,,0,0
196477,6841930,-13718377,14908948,1190571,7500020,7500020,0,825000,0,36302199,0,0,0,0,0,0,0,0,,0,0
197151,231547420,5086428,36188698,40681781,1350196,1350196,0,18992679,18992679,149514547,0,0,0,0,0,0,0,0,0,0,0
197285,7612553,704724,4558816,4993184,2596559,2596559,0,4405149,0,19535498,0,0,0,0,0,0,0,0,0,0,0
197337,,,,,0,0,0,0,0,596842,0,0,0,0,0,0,0,0,,0,0
197522,4386443,-607470,1913699,2985688,718144,718144,0,21500,0,5552724,0,0,0,0,0,0,0,0,,0,0
197832,5275250,-2292618,5642671,2854887,50703,50703,0,2540707,7021651,9811156,4430241,0,4430241,50703,0,50703,0,0,0,0,0
198190,,,,,0,0,0,0,0,342315,138015,0,138015,0,0,0,0,1000,,0,0
198844,,,,,0,0,0,0,0,225291,507266,507266,0,0,0,0,0,0,,0,0
198978,31662781,5808442,35802204,30138643,0,0,0,0,0,38308675,0,0,0,0,0,0,0,0,0,0,0
199005,,,,,0,0,0,0,0,226087,0,0,0,0,0,0,0,0,,0,0
199078,,,,,0,0,0,0,0,2416304,0,0,0,0,0,0,0,0,,0,0
199670,,,,,0,0,0,0,32049,992516,0,0,0,0,0,0,0,0,,0,0
199689,,,,,0,0,0,0,0,1934504,0,0,0,0,0,0,0,0,,0,0
199980,,,,,0,0,0,0,0,40315,0,0,0,0,0,0,0,0,,0,0
200013,1374574,-106105,923921,1202211,168009,168009,0,120448,0,9200996,0,0,0,0,0,0,0,0,0,0,0
200110,,,,,0,0,0,0,0,737323,0,0,0,0,0,0,0,0,,0,0
200129,,,,,0,0,0,0,67640,228390,0,0,0,0,0,0,0,0,,0,0
200165,,,,,0,0,0,0,0,543913,0,0,0,0,0,0,0,0,,0,0
200262,,,,,0,0,0,0,0,45701,0,0,0,0,0,0,0,0,,0,0
200387,,,,,0,0,0,0,0,470021,0,0,0,0,0,0,0,0,,0,0
200590,1767703,20770,751500,791140,58791,58791,0,0,0,1217776,837753,778962,58791,0,0,0,0,20625,,0,0
200624,100044,71874,0,0,13464,13464,0,0,0,559381,0,0,0,0,0,0,0,0,0,0,0
200633,1370915,-1309591,-3735270,-5044863,0,0,0,0,0,2305594,0,0,0,0,0,0,0,0,,0,0
200785,2882589,1068381,0,1068383,524932,524932,0,196463,196463,5980082,0,0,0,0,0,0,0,0,0,0,0
201016,13313975,-98419,2746273,2647856,77714,77714,0,124025,0,15292165,0,0,0,0,0,0,0,0,,0,0
201399,2121807,-1049552,2744820,1695268,75972,42713,33259,15869,15869,2397730,0,0,0,0,0,0,0,0,,0,0
201469,37952945,694724,37160924,37855647,306155,306155,0,643743,643743,7638553,0,0,0,0,0,0,0,0,0,0,0
201982,,,,,0,0,0,0,0,510077,0,0,0,0,0,0,0,0,,0,0
202055,,,,,57600,57600,0,0,0,1941465,1697236,0,1697236,36000,0,36000,0,43200,,0,0
202161,1456315,-194695,695300,695688,195314,195314,0,202229,0,7726254,0,0,0,0,0,0,0,0,,0,0
202435,1813173,-228898,1005775,726805,64938,64938,0,0,0,1810728,0,0,0,0,0,0,0,0,,0,0
