UNITID,F2A01,F2B04,F2B06,F2C03,F2C04,F2C06,F2D01,F2D02,F2D03,F2D04,F2E011,F2E012
217493,303435588,-17147053,-3,20025,0,19225607,97060783,0,0,0,58823247,33833310
217518,63462056,-2979086,0,0,0,45426242,88739141,0,0,0,74221419,41094471
217536,53836000,8350000,0,83000,0,33262000,44166000,0,0,0,21396000,13764000
217606,496375,21223,-526622,0,0,0,3449202,0,0,0,1805015,1008348
217624,5305000,930328,1486675,961469,0,0,6950144,0,0,0,3341162,2348732
217633,24202515,8902181,0,3798835,0,22816360,41031093,0,0,0,16630003,10988935
217688,18356324,7459666,101048,0,0,28269773,41639939,0,0,0,20638872,12667965
217721,25605847,795104,0,2973654,0,283863,26120909,0,0,0,9280660,6015998
217776,2162379,689775,0,2828304,284934,7531427,18665428,0,0,0,9130147,4873651
217873,24597296,-1120922,0,5703159,0,6477045,21621752,0,0,0,16845589,9845343
217891,777960,-210749,77,0,0,0,887568,0,0,0,761514,464371
217907,26595069,-1955577,0,0,0,9306920,13097191,0,0,0,6917616,4572417
217925,38524586,-1037335,0,541104,0,1543948,9051094,0,0,0,6151652,3801898
217934,17157889,-4159894,0,3054179,0,8084163,17229161,0,0,0,12031932,6118179
217961,81045287,-2379128,0,3192830,0,461937,12236751,0,0,0,9684590,6131575
217998,39970562,-2824786,0,2385790,0,13347797,6883673,0,0,0,4043840,2497604
218070,684780318,15106697,0,7000346,0,47285966,65332077,0,0,0,58712525,26264843
218238,79477,1072775,0,1908611,0,11870934,32529042,0,0,0,14129111,7899676
218399,11371531,30519,0,0,0,0,9527530,0,0,0,6698253,3551617
218414,16602742,-2889155,0,3534128,0,13196571,11975220,0,0,0,7348772,4636079
218441,28680596,-3437382,0,8148675,0,18350577,19077919,0,0,0,13189392,9661197
218539,90809023,-5939453,0,3984169,0,19056524,22899207,0,0,0,14975849,8515593
218751,1674636,1981208,0,0,0,470755,10213006,0,0,0,4629324,2752793
218821,20149552,-664835,0,4195259,0,4355316,7094734,0,0,0,3037163,1857407
218919,6391625,567937,-1135874,602180,0,488114,4073332,0,0,0,3050523,1642670
218973,171540827,64603420,0,6201548,0,24767400,29077118,0,0,0,19301497,11807202
219000,70735725,2271285,0,0,0,21990766,23001898,0,0,0,21316809,11385284
219091,25912908,30091,0,219093,0,7265307,8182737,0,0,0,4112079,2731519
219170,,,,1000,0,0,39000,0,0,0,182559,157903
219198,19825802,-193600,0,128439,4488506,0,8091413,0,0,0,6780911,4180100
219240,1178570,743695,0,0,0,230589,1170924,0,0,0,682127,434813
219295,13449163,-687832,0,198658,0,1822070,9565229,0,0,0,4428549,2864065
219338,,,,0,0,0,17050,0,0,0,150602,120775
219374,2922017,-351653,0,22650,0,104276,1360271,4738321,0,0,2413616,1723898
219383,19059588,-1816892,0,1000,0,12604453,14767649,0,0,0,8636935,5406840
219392,,,,1000,0,0,40250,0,0,0,197134,122685
219505,646192,198455,0,71779,0,0,1552445,0,0,0,356061,165458
219578,5421472,-2539527,0,284325,0,1507427,4234978,0,0,0,3750282,2490820
219639,0,3141126,0,1531145,0,0,13150325,0,0,0,8448591,6437988
219709,115501946,90126898,0,66500,0,40406670,175918497,0,0,0,72360299,45337755
219718,7109275,10368546,0,8141728,0,13071993,45920558,0,0,0,27466606,12096626
219790,5771929,4961619,0,1939825,0,7731626,10700447,0,0,0,4988080,3589062
219806,50747550,243940,0,5131372,0,20569448,25868681,0,0,0,13403218,8193012
