UNITID,TUITION1,TUITION2
122746,1288,1288
122755,5472,5472
122791,1344,1344
122834,14335,14335
122852,14405,14405
122889,1380,1380
122931,47112,47112
122977,1104,1104
123013,1280,1280
123095,.,.
123165,50766,50766
123217,1288,1288
123280,11200,11200
123299,1104,1104
123341,1104,1104
123396,11000,11000
123448,.,.
123457,25950,25950
123484,1104,1104
123509,1380,1380
123527,0,0
123554,44210,44210
123563,1104,1104
123572,5472,5472
123633,7650,7650
123651,30980,30980
123800,1288,1288
123855,.,.
123916,.,.
123943,.,.
123952,41800,41800
123961,51442,51442
123970,.,.
124113,1134,1134
124283,.,.
124292,24500,24500
124487,8964,8964
125028,1338,1338
125037,.,.
125091,1104,1104
125170,1104,1104
125231,11700,11700
125462,1380,1380
125471,1220,1220
125499,1104,1104
125718,.,.
125727,41850,41850
125763,44184,44184
125897,36882,36882
126012,.,.
126030,.,.
126049,.,.
126076,13200,13200
126119,1124,1124
126182,5736,5736
126207,1617,2538
126289,3288,3288
126359,11963,11963
126401,11865,11865
126562,7536,7536
126580,6624,6624
126605,15480,15480
126614,9768,9768
126669,22360,22360
126678,50472,50472
126702,17532,17532
126711,1932,4068
126748,3286,3286
126775,15690,15690
126818,8716,8716
126827,10967,10967
126863,3286,3286
126872,18021,18021
126942,3285,3285
126979,.,.
127060,45288,45288
127185,6360,6360
127200,3288,3288
127273,.,.
127389,3288,3288
127556,7067,7067
127565,5693,5693
127617,3286,3286
127653,31000,31000
127680,12960,12960
127714,10800,10800
127732,4107,4107
127741,6906,6906
127778,3285,3285
127787,12360,12360
127820,3286,3286
127884,6216,6216
127909,3336,3336
127918,34100,34100
127945,15870,15870
128106,7269,7269
128151,2280,2280
128258,3286,3286
128328,.,.
128391,6312,6312
128498,30036,30036
128577,3720,3720
128586,7100,7100
128683,18780,18780
128726,12018,12018
128744,29550,29550
128771,5216,5216
128780,6888,6888
128902,50620,50620
129002,17220,17220
129020,11224,11224
129154,19500,19500
129215,5216,5216
129242,45350,45350
129367,3720,3720
129428,.,.
129491,.,.
129525,35036,35036
129534,7680,7680
129543,3720,3720
129695,3720,3720
129729,3720,3720
129756,3720,3720
129774,29890,29890
129808,3720,3720
129941,35700,35700
130004,3720,3720
130040,3720,3720
130110,15000,15000
130174,17220,17220
130183,15258,15258
130217,3720,3720
130226,41990,41990
130253,38050,38050
130314,35220,35220
130396,3720,3720
130448,15506,15506
130493,5216,5216
130581,.,.
130590,50350,50350
130606,3720,3720
130624,0,0
130697,50312,50312
130776,5216,5216
130785,.,.
130794,49480,49480
130837,5400,5400
130907,3360,3360
130934,6702,6702
130943,11540,11540
130989,23400,23400
131098,25646,25646
131113,10620,10620
131159,44046,44046
131283,41800,41800
131399,4752,4752
131405,.,.
131450,15552,15552
131469,49718,49718
131496,49968,49968
131520,23419,23419
131803,14040,14040
131830,9600,9600
131876,22840,22840
131973,.,.
132338,17604,17604
132408,9900,9900
132471,28800,28800
132602,13440,13440
132657,34400,34400
132693,1892,1892
132709,1944,1944
132842,11628,11628
132851,1910,1910
132879,13200,13200
132903,4478,4478
132976,2809,2809
133021,2365,2365
133386,3071,3071
133465,17210,17210
133492,41192,41192
133508,2436,2436
133526,13325,13325
133553,32592,32592
133650,3152,3152
133669,2522,2522
133702,2203,2203
133711,17500,17500
133809,15670,15670
133872,12900,12900
133881,39696,39696
133951,4721,4721
133960,2483,2483
133979,12576,12576
134079,32450,32450
134097,4640,4640
134130,4477,4477
134149,12297,12297
134237,19153,19153
134343,1750,1750
134422,10785,10785
134495,1931,1931
134510,5600,5600
134608,2496,2496
134680,12430,12430
134811,17604,17604
134945,33930,33930
135063,7560,7560
135081,17488,17488
135160,2369,2369
135188,3172,3172
135364,6120,6120
135391,2365,2365
135522,2851,2851
135610,11760,11760
135717,1983,1983
135726,45600,45600
135939,15446,15446
136066,12800,12800
136145,2280,2280
136172,3853,3853
136215,27986,27986
136233,2486,2486
136288,10980,10980
136330,28100,28100
136358,2424,2424
136400,2297,2297
136473,2051,2051
136516,2483,2483
136701,.,.
136765,3888,3888
136774,39510,39510
136950,46520,46520
137032,20760,20760
137078,2428,2428
137096,1872,1872
137148,13056,13056
137209,2393,2393
137272,21000,21000
137281,2067,2067
137315,3135,3135
137351,4559,4559
137476,28800,28800
137546,42890,42890
137564,23160,23160
137759,2002,2002
137777,13000,13000
137801,12729,12729
137810,12729,12729
137847,25858,25858
137953,9990,9990
137962,14850,14850
138187,1984,1984
138275,20112,20112
138293,22770,22770
138309,9360,9360
138354,3735,3735
138558,2451,2451
138600,38232,38232
138655,9408,9408
138664,9240,9240
138682,2140,2140
138691,2184,2184
138716,3888,3888
138761,15770,15770
138789,3886,3886
138813,17496,17496
138840,2136,2136
138868,18100,18100
138901,2320,2320
138929,.,.
138947,19880,19880
138956,2136,2136
139010,2181,2181
139144,33330,33330
139153,9090,9090
139199,26760,26760
139205,15660,15660
139214,12450,12450
139250,2451,2451
139278,2136,2136
139287,9960,9960
139311,3886,3886
139348,.,.
139357,2136,2136
139366,4181,4181
139384,2136,2136
139393,31320,31320
139463,2452,2452
139579,16920,16920
139621,2181,2181
139630,18990,18990
139658,47300,47300
139700,2181,2181
139719,3886,3886
139746,6705,6705
139755,9812,9812
139764,3886,3886
139861,7180,7180
139931,4181,4181
139940,6846,6846
139959,9364,9364
139968,2451,2451
139986,2136,2136
139995,11700,11700
140003,9750,9750
140012,2136,2136
140146,.,.
140234,28160,28160
140243,2670,2670
140252,10170,10170
140331,2136,2136
140340,13000,13000
140447,34830,34830
140553,24565,24565
140562,.,.
140678,2136,2136
140696,35000,35000
140720,12705,12705
140818,23112,23112
140827,19400,19400
140872,20744,20744
140942,2136,2136
140951,35190,35190
140960,3886,3886
140988,21300,21300
141006,2136,2136
141015,16740,16740
141060,23626,23626
141167,15940,15940
141185,20714,20714
141237,17850,17850
141255,2136,2136
141264,4181,4181
141325,20750,20750
141334,4181,4181
141361,28012,28012
141486,23180,23180
141565,7200,7200
141574,10872,10872
141644,23160,23160
141680,3024,3024
141796,3024,3024
141802,3024,3024
141811,3024,3024
141839,3024,3204
141936,.,.
141981,7200,7200
141990,3024,3204
142090,11250,11250
142115,4872,4872
142179,2404,2404
142276,5243,5243
142285,5162,5162
142294,26670,26670
142328,6120,6120
142443,2328,3664
142461,28150,28150
142522,3920,3920
142559,3120,4120
142832,.,.
142887,31800,31800
142957,7500,7500
143048,44910,44910
143084,39621,39621
143118,22580,22580
143215,3270,11970
143233,.,.
143279,4410,7500
143288,20752,20752
143297,22900,22900
143358,31740,31740
143613,4340,6608
143659,.,.
143853,.,.
143978,.,.
144005,7056,7056
144014,.,.
144050,50997,50997
144157,3506,8126
144166,3506,8126
144175,3506,8126
144184,3506,8126
144193,3506,8126
144209,3506,8126
144218,3506,8126
144281,24590,24590
144351,29760,29760
144467,13596,13596
144564,3750,6825
144740,37020,37020
144865,3064,8674
144883,19500,19500
144892,8543,8543
144944,3000,10428
144962,35250,35250
144971,20880,20880
145239,15120,15120
145275,.,.
145336,8160,8160
145354,10205,10205
145372,25488,25488
145460,.,.
145497,16500,16500
145521,3096,5088
145558,.,.
145600,11696,11696
145619,30108,30108
145628,.,.
145637,14162,14162
145646,43940,43940
145682,4200,9000
145691,31110,31110
145707,2656,8589
145725,42989,42989
145770,13344,13344
145813,9827,9827
145831,3498,10286
145886,.,.
146010,14400,14400
146205,3360,4950
146241,.,.
146278,4170,7470
146296,2820,9578
146339,27850,27850
146348,3870,8902
146366,3990,7050
146393,18793,18793
146418,3870,7740
146427,42532,42532
146472,3136,8092
146481,43392,43392
146490,.,.
146506,3075,6899
146533,15050,15050
146603,2712,8136
146612,29950,29950
146667,13020,13020
146676,16700,16700
146685,2760,5520
146719,40052,40052
146728,.,.
146755,24302,24302
146816,12000,12000
146825,24390,24390
146977,.,.
147004,3120,10417
147013,27740,27740
147031,.,.
147129,19200,19200
147165,16230,16230
147244,31032,31032
147341,35300,35300
147369,9728,9728
147378,3570,8610
147396,14390,14390
147411,2816,6912
147536,12456,12456
147590,17472,17472
147660,36474,36474
147679,26840,26840
147697,.,.
147703,9314,9314
147749,17280,17280
147767,50424,50424
147776,7450,7450
147800,3451,9576
147828,32950,32950
147916,4095,10485
148007,3192,7992
148016,27480,27480
148131,25998,25998
148140,11699,11699
148177,17388,17388
148256,3300,5250
148292,3870,6060
148335,25800,25800
148380,3000,8310
148399,10776,10776
148405,29050,29050
148487,28119,28119
148496,31200,31200
148511,32142,32142
148575,18850,18850
148584,30520,30520
148593,18624,18624
148627,31220,31220
148654,9493,9493
148672,3108,8960
148821,3270,5100
148849,31000,31000
148876,9840,9840
148885,.,.
148937,2970,4920
148982,.,.
148991,3750,8640
149028,23492,23492
149222,8691,8691
149231,7218,7218
149310,14175,14175
149329,13500,13500
149365,4050,10253
149505,27200,27200
149514,29660,29660
149532,3390,8880
149639,25440,25440
149727,2832,7038
149763,25052,25052
149772,8596,8596
149781,34050,34050
149842,2862,9030
150048,14700,14700
150066,28500,28500
150136,8992,8992
150145,27040,27040
150163,37400,37400
150172,17300,17300
150215,.,.
150251,6300,12600
150288,.,.
150400,45660,45660
150455,44370,44370
150534,31782,31782
150604,29840,29840
150668,33200,33200
150677,22913,22913
150756,34744,34744
150774,27810,27810
150941,24554,24554
150987,4055,4055
151102,7169,7169
151111,8141,8141
151166,14400,14400
151263,26920,26920
151290,25940,25940
151306,7104,7104
151324,8546,8546
151333,6478,6478
151342,6478,6478
151351,9087,9087
151360,6478,6478
151379,6478,6478
151388,6478,6478
151458,13960,13960
151467,13920,13920
151616,11592,11592
151777,29650,29650
151786,31500,31500
151801,25346,25346
151810,12216,12216
151865,.,.
151944,11592,11592
151962,11100,11100
152080,49178,49178
152099,23400,23400
152248,6341,6341
152266,6251,6251
