UNITID,EFTEUG,EFTEGD
120254,2213,1
120272,64,0
120290,6307,0
120342,14348,0
120403,1146,94
120421,4186,0
120537,797,336
120661,685,0
120698,168,964
120768,348,509
120795,0,113
120838,17,135
120865,1436,6
120883,4036,1002
120953,1740,0
120971,14820,0
121044,18897,0
121150,3831,3380
121257,1091,0
121275,275,0
121309,2800,825
121345,1681,0
121363,2570,0
121433,86,0
121619,11751,0
121628,0,46
121637,73,0
121691,3458,1582
121707,4079,0
121859,164,0
121868,109,0
121886,9486,0
121901,11998,0
121983,104,94
121992,161,0
122117,44,121
122126,12,73
122180,14331,0
122205,12658,0
122296,720,1052
122339,8843,0
122366,187,0
122375,13430,0
122384,6213,0
122409,27163,3552
122436,5714,1510
122454,386,225
122506,217,342
122597,23090,2299
122603,0,56
122612,7077,2674
122649,0,0
122658,12624,0
122685,8011,0
122728,1160,75
122746,4784,0
122755,21734,3659
122791,5194,0
122834,577,0
122852,179,0
122889,12752,0
122931,6223,1882
122977,21581,0
123013,12955,0
123095,0,421
123165,974,29
123217,7549,0
123280,34,4
123299,5343,0
123341,11865,0
123350,158,0
123396,88,0
123448,0,0
123457,878,164
123484,1653,0
123493,525,0
123509,5692,0
123527,8414,0
123554,2974,1117
123563,6247,0
123572,7975,319
123633,90,576
123642,395,0
123651,1740,231
123679,699,0
123800,12216,0
123855,0,117
123916,0,71
123943,0,8
123952,291,391
123961,19759,16045
123970,0,32
124113,2189,0
124283,0,216
124292,452,0
124487,107,20
124681,872,0
124706,659,0
124779,11,0
124937,687,0
125028,8098,0
125037,0,0
125082,119,0
125091,7989,0
125170,3902,0
125231,6669,32238
125310,34,0
125462,1656,0
125471,6599,0
125499,5505,0
125532,1308,0
125718,0,152
125727,1478,0
125763,1615,103
125897,1236,230
126012,0,467
126030,0,0
126049,0,23
126076,234,0
126119,4628,0
126164,123,0
126182,1921,914
126207,3356,0
126289,5100,0
126359,450,0
126401,257,0
126562,10372,4963
126580,8801,1191
126605,208,0
126614,26512,3241
126669,3904,431
126678,2347,45
126687,643,0
126702,1067,0
126711,3419,0
126748,753,0
126775,4800,1050
126784,186,0
126818,22080,4176
126827,22281,2930
126863,4082,0
126872,325,0
126915,255,0
126942,5627,0
126951,1251,0
126979,0,585
127060,5697,4303
127158,3117,0
127185,3472,8
127200,12751,0
127219,44,0
127228,116,0
127273,0,238
127316,158,0
127389,600,0
127556,7686,102
127565,15421,388
127617,860,0
127653,387,465
127680,180,0
127714,359,0
127732,1243,0
127741,8475,1902
127778,1022,0
127787,298,0
127820,9092,0
127839,573,0
127884,4152,0
127909,5909,0
127918,3553,2297
127945,903,18
127954,14,21
128106,3941,2678
128151,589,0
128179,1378,0
128188,1253,0
128258,1148,0
128328,5062,0
128337,94,0
128391,1999,244
128498,1361,390
128540,124,0
128577,987,0
128586,67,0
128674,299,0
128683,402,0
128726,192,0
128744,2502,1989
128771,8455,1463
128780,950,0
128896,366,0
128902,1942,3
129002,353,0
129020,19060,4912
129154,2432,0
129181,967,0
129215,4647,146
129242,4043,755
129349,129,0
129367,1990,0
129428,0,46
129482,457,0
129491,0,67
129525,5109,1121
129534,97,224
129543,3043,0
129695,4176,0
129729,4133,0
129756,1829,0
129774,608,0
129808,2475,0
129923,496,0
129932,405,0
129941,4954,1425
129969,277,0
130004,3759,0
130040,812,0
130110,69,0
130174,2729,0
130183,5554,479
130217,906,0
130226,7232,2066
130253,5083,2385
130314,860,890
130396,4483,0
130448,455,0
130493,7082,1609
130509,643,0
130581,0,205
130590,2290,63
130606,2493,0
130624,477,0
130697,3194,168
130776,4586,265
130785,0,12
130794,7050,7015
130837,35,0
130873,630,0
130907,9336,0
130934,3894,229
130943,19119,1969
130989,574,939
131061,154,0
131098,1468,54
131113,6654,5047
131159,7783,2792
131283,3588,1654
131399,3181,278
131405,0,106
131450,970,401
131469,10770,8584
131496,7105,6159
131520,6509,1309
131803,641,230
131830,48,0
131876,1543,357
131973,0,329
132268,409,0
132338,1142,0
132374,1404,0
132408,361,7
132471,3473,2678
132602,3624,161
132657,2119,712
132675,136,0
132693,10647,0
132709,30311,0
132806,15,0
132842,325,501
132851,5340,0
132879,186,0
132903,47280,5535
132976,191,0
133021,1457,0
133155,567,0
133386,10682,0
133465,893,146
133492,2203,0
133508,10476,0
133526,1260,0
133553,5134,301
133650,7793,668
133669,21512,3178
133702,18931,0
133711,2535,0
133809,523,0
133845,479,0
133854,455,0
133863,383,0
133872,1355,265
133881,3573,1823
133942,153,0
133951,36512,7570
133960,709,0
133979,1384,50
133997,386,0
134024,126,0
134079,2584,277
134097,31592,6561
134112,7247,0
134130,32301,11326
134149,417,102
134228,34,0
134237,24555,2569
134291,413,0
134307,575,0
134343,3806,0
134422,83,0
134495,18952,0
134510,130,0
134529,293,0
134574,250,0
134608,12506,0
134680,271,0
134714,167,0
134811,2519,53
134945,2796,775
135063,174,0
135081,20262,744
135124,978,0
135142,209,0
135160,1986,0
135179,553,0
135188,2896,0
135267,628,0
135276,608,0
135294,535,0
135337,123,0
135364,207,443
135391,7475,0
135407,1089,0
135522,393,0
135559,46,0
135610,109,60
135647,543,0
135717,48705,0
135726,10939,3221
135735,967,0
135771,586,0
135939,46,0
136066,595,0
136109,167,0
136145,818,0
136172,11992,1280
136215,4098,10263
136233,4419,0
136288,163,16
136303,508,0
136330,2647,433
136358,19729,0
136400,7770,0
136473,6667,0
136491,771,0
136516,7287,0
136659,272,0
136701,0,153
136765,278,0
136774,1147,0
136783,66,0
136826,576,0
136950,2956,525
137023,500,0
137032,11498,2944
137078,20474,0
137087,638,0
137096,10686,0
137120,754,0
137148,102,226
137209,11583,0
137245,1520,0
137272,63,32
137281,4479,0
137315,1799,0
137351,28874,7724
137476,888,1085
137546,3263,273
137564,3465,479
137591,290,0
137713,115,0
137759,9324,0
137777,42,12
137801,376,18
137810,286,8
137847,7515,898
137856,154,0
137865,365,0
137953,338,11
137962,173,0
138132,105,0
138187,30388,0
138275,975,87
138284,299,0
138293,668,38
138309,7351,0
138354,8528,1648
138372,668,0
138479,941,0
138488,494,0
138497,277,0
138558,2817,0
138600,912,0
138655,727,0
138664,84,0
138682,3059,0
138691,4178,0
138716,2696,347
138761,304,0
138789,5524,652
138813,2299,0
138822,656,0
138840,3357,0
138868,1344,0
138901,2242,0
138929,0,0
138938,187,0
138947,2753,716
138956,3321,0
139010,1699,0
139144,2144,111
139153,276,142
139199,1351,1094
139205,462,0
139214,178,0
139250,2493,0
139278,4435,0
139287,55,0
139311,5087,307
139348,0,159
139357,2478,0
139366,5988,1093
139384,4094,0
139393,1029,36
139463,3945,0
139506,236,0
139579,728,656
139621,2375,0
139630,768,0
139658,7479,5310
139700,4139,0
139719,2162,298
139746,72,0
139755,14530,11086
139764,2076,300
139861,6001,722
139931,17169,1840
139940,22345,7661
139959,26327,8283
139968,3152,0
139986,3275,0
139995,171,0
140003,367,0
140012,4632,0
140146,0,119
140234,884,114
140243,2434,0
140252,724,175
140331,6488,0
140340,591,142
140447,4270,2152
140553,2187,0
140562,0,145
140678,1916,0
140696,1212,0
140720,545,0
140818,1239,874
140827,77,0
140872,1218,94
140942,3114,0
140951,9229,1776
140960,4276,149
140988,1329,76
141006,1433,0
141015,237,0
141060,2235,0
141167,671,276
141185,832,0
141237,1124,15
141255,2470,0
141264,8003,1837
141325,626,47
141334,9734,1480
141361,1146,0
141486,1776,519
141565,2798,132
141574,12888,2528
141608,128,0
141644,3150,547
141680,2365,0
141796,4656,0
141802,719,0
141811,4380,0
141839,1965,0
141848,72,0
141936,0,37
141945,120,0
141981,1901,0
141990,1348,0
142054,441,0
142090,136,0
142115,14180,2023
142179,499,0
142276,8534,1521
142285,8337,1118
142294,975,34
142328,2751,0
142407,115,0
142416,20,0
142443,3520,0
142461,1668,528
142489,34,0
142522,41019,0
142559,3945,0
142832,0,808
142869,42,0
142878,27,0
142887,260,0
142957,18,9
143048,2612,810
143084,2491,0
143118,3440,1591
143181,30,0
143215,7645,0
143233,0,31
143279,4063,0
143288,576,0
143297,201,13
143303,11,0
143358,4309,701
143376,279,0
143464,114,0
143473,43,0
143482,58,0
143491,91,0
143516,37,0
143543,94,0
143552,60,0
143613,1381,0
143659,0,202
143695,11,0
143853,0,1167
143978,0,814
144005,2522,682
144014,0,104
144050,4590,7053
144157,3025,0
144166,4381,0
144175,2492,0
144184,7094,0
144193,6219,0
144209,6944,0
144218,7789,0
144281,7917,282
144351,1387,2304
144467,1372,0
144485,730,0
144564,1946,0
144573,37,0
144740,15449,4566
144795,313,0
144865,18691,0
144883,502,0
144892,6452,1107
144944,7112,0
144962,3021,340
144971,654,0
145099,277,0
145239,456,0
145275,0,219
145309,32,0
145336,2642,1738
145354,26,0
145372,1140,159
145406,205,0
145424,60,0
145433,69,0
145460,11,74
145497,518,3
145521,1425,0
145558,0,815
145600,16652,7772
145619,3243,2399
145628,0,0
145637,35476,13889
145646,2096,0
145682,6031,0
145691,1008,1
145707,1102,0
145725,2451,3492
145770,179,220
145813,17205,1652
145831,2242,0
145886,0,45
146010,99,0
146205,3464,0
146241,0,76
146278,1429,0
146296,9270,0
146339,1048,182
146348,2275,0
146366,3058,0
146393,1177,0
146418,2560,0
146427,1378,0
146454,34,0
146472,9366,0
146481,1595,15
146490,0,281
146506,6378,0
146533,187,0
146603,3728,0
146612,4439,1438
146667,396,207
146676,983,0
146685,4605,0
146700,774,0
146719,10973,2580
146728,0,75
146755,212,3
146807,51,0
146816,159,0
146825,559,0
146977,0,99
147004,4280,0
147013,2097,436
147031,0,97
147129,558,2
147165,351,0
147244,2088,71
147341,1238,0
147369,2847,499
147378,10602,0
147396,102,0
147411,2996,0
147439,69,0
147536,1036,2369
147590,133,209
147642,64,0
147660,2617,146
147679,1954,586
147697,0,67
147703,13262,3592
147749,200,0
147767,8677,9418
147776,5807,1105
147800,6596,0
147819,44,0
147828,3406,1345
147916,6230,0
148007,3620,0
148016,476,0
148098,52,0
148131,1222,160
148140,196,0
148177,1309,0
148256,2187,0
148292,2122,0
148335,2981,321
148380,5572,0
148399,597,0
148405,970,244
148487,2652,1370
148496,2195,986
148511,148,1762
148575,362,134
148584,1460,1617
148593,112,0
148627,2782,607
148654,2372,1997
148672,1421,0
148821,1379,0
148849,70,0
148876,1153,0
148885,0,126
148937,1226,0
148955,99,0
148982,0,52
148991,973,0
149028,213,53
149204,63,0
149222,11963,2609
149231,10737,1418
149310,588,0
149329,75,13
149365,3341,0
149499,18,0
149505,1199,85
149514,785,680
149532,6790,0
149550,252,0
149639,118,235
149727,6841,0
149763,534,35
149772,8460,1256
149781,2546,305
149842,9951,0
150048,308,0
150066,1836,285
150075,4,0
150136,16029,3349
150145,1355,161
150163,4271,474
150172,646,126
150215,0,126
150251,190,0
150288,0,238
150303,211,0
150400,2272,0
150428,34,0
150437,44,0
150455,1007,67
150534,2331,54
150604,1130,0
150668,748,45
150677,1798,321
150695,42,0
150710,57,0
150756,1302,0
150765,77,0
150774,518,0
150853,167,0
150941,975,149
150987,58393,0
151102,7925,355
151111,19442,4096
151166,2349,0
151263,4182,897
151290,4965,441
151306,7935,586
151324,10574,1627
151333,2638,102
151342,4688,377
151351,33939,7221
151360,3724,244
151379,4363,255
151388,2997,128
151458,334,0
151467,295,0
151564,42,0
151607,129,0
151616,355,0
151652,231,0
151661,1211,0
151777,1297,21
151786,2178,266
151801,2795,230
151810,233,54
151865,0,60
151874,1,0
151944,259,0
151962,216,0
152044,58,0
152080,9404,3134
152099,700,204
152150,45,0
152248,6298,637
152266,3628,44
152275,165,0
152309,119,0
152318,2197,56
152327,27,0
152336,1622,401
152363,1060,27
152381,520,142
152390,1685,33
152415,464,0
152451,0,182
152497,206,0
152530,2171,37
152567,2101,218
152600,3283,768
152628,58,0
152637,9774,0
152673,946,0
152798,354,151
152992,898,68
153001,2038,238
153074,242,0
153083,222,0
153108,1233,0
153126,834,65
153144,1505,0
153162,1108,0
153171,28,0
153214,14632,0
153241,81,0
153250,1438,45
153269,2983,607
153278,1817,271
153296,729,0
153302,256,0
153311,4959,0
153320,238,28
153339,22,0
153366,1358,508
153375,1761,50
153384,1722,0
153409,310,33
153418,733,62
153427,281,0
153445,3751,0
153463,35,0
153472,4105,0
153524,3879,0
153533,1689,0
153542,17,0
153588,37,0
153597,153,0
153603,29418,3549
153621,411,0
153630,4831,0
153658,21298,4008
153737,9622,0
153746,46,0
153764,97,0
153773,127,0
153782,41,0
153825,1507,57
153834,2521,0
153861,373,1311
153922,1197,0
153977,807,0
154004,1280,788
154013,1312,264
154022,34755,5207
154059,1962,0
154095,9126,1095
154101,1074,75
154110,2857,0
154129,1109,0
154156,0,410
154165,65,0
154174,37,2
154208,195,0
154235,2396,741
154262,200,0
154332,76,0
154341,49,0
154350,1681,48
154378,1823,0
154396,1153,0
154448,220,0
154457,46,0
154466,74,0
154493,4739,535
154518,1560,191
154527,1580,0
154536,0,122
154545,30,0
154572,3611,0
154590,1435,54
154642,1630,0
154688,1446,827
154697,4271,0
154712,1987,37
154721,620,0
154749,496,0
154767,306,0
154776,297,0
154794,107,0
154800,6050,0
154837,43,123
154855,926,0
154907,1344,0
154925,1265,0
154934,974,0
154952,2366,0
154998,1337,0
155007,297,0
155025,3675,1484
155052,562,0
155061,8031,1524
155070,218,28
155089,1184,413
155098,1311,0
155104,1867,0
155140,755,0
155159,86,0
155177,375,0
155186,2158,0
155195,3751,0
155201,824,0
155210,11172,0
155283,502,0
155292,3611,0
155308,34,0
155317,18799,4454
155335,1643,576
155353,64,0
155399,18038,2341
155414,655,48
155423,1180,0
155441,41,0
155450,1104,0
155487,596,0
155496,248,0
155511,629,16
155520,1356,558
155566,1289,0
155593,689,0
155618,620,0
155627,594,28
155636,363,107
155681,5882,814
155715,881,0
155812,775,347
155830,355,0
155858,1306,0
155900,1042,255
155937,642,0
155973,623,36
156082,4258,342
156107,2223,0
156125,9569,1760
156134,1287,0
156189,543,0
156213,1446,169
156222,0,1035
156231,2023,0
156277,62,0
156286,2720,542
156295,1714,0
156310,316,0
156338,2512,0
156356,809,9
156365,2400,416
156392,6635,0
156408,1319,0
156417,93,0
156426,262,0
156471,1235,0
156541,2090,2908
156620,12109,1723
156648,3434,0
156727,0,1034
156745,887,316
156754,65,0
156790,1843,0
156842,248,0
156851,926,0
156860,1894,0
156921,6821,0
156967,223,0
157021,867,0
157030,62,0
157058,1236,96
157076,611,0
157085,21818,3108
157100,448,35
157207,0,39
157216,1996,593
157270,403,0
157289,13865,2977
157298,0,105
157304,1802,0
157331,2189,0
157377,722,83
157386,6931,678
157401,7764,1137
157438,2315,0
157447,10521,895
157465,117,0
157483,3483,0
157535,1400,69
157553,2432,0
157599,662,0
157614,102,0
157650,176,0
157669,115,0
157678,118,0
157696,62,0
157711,4061,0
157739,1869,0
157748,762,1860
157757,962,815
157766,456,0
157793,2726,581
157809,1523,183
157818,1229,0
157827,81,0
157863,796,194
157951,14270,1710
158088,1453,0
158246,268,0
158325,70,0
158334,24,0
158343,60,0
158352,701,0
158431,4967,0
158440,46,0
158477,580,41
158538,44,0
158617,883,0
158644,42,0
158662,10832,0
158723,220,0
158778,49,0
158787,87,0
158802,1192,0
158884,1526,0
159009,3445,719
159027,22,0
159197,823,0
159319,30,0
159328,87,0
159373,811,664
159382,2260,0
159391,24242,4018
159407,1735,0
159416,2118,1104
159513,197,0
159522,183,0
159531,49,0
159568,835,138
159601,17,0
159647,5714,729
159656,2782,458
159717,6466,469
159939,5542,1142
159948,638,962
159966,5090,542
159993,5968,699
160010,1704,0
160029,6,154
160038,6818,700
160065,600,173
160074,1022,222
160117,85,0
160126,38,0
160135,69,0
160199,87,0
160320,2836,0
160409,147,0
160445,150,0
160472,23,0
160481,1236,0
160524,409,0
160579,2415,0
160597,49,0
160612,10771,613
160621,5214,789
160630,1660,480
160649,2277,0
160658,14187,1217
160667,1693,0
160755,8177,2395
160904,2173,113
160913,1307,0
160940,1196,88
160959,329,11
160977,511,0
160995,340,0
161004,1798,0
161022,141,0
161077,1802,0
161086,2067,0
161138,1684,0
161192,1349,0
161208,89,0
161217,2902,0
161226,1764,97
161235,970,0
161244,506,0
161253,8454,882
161299,1046,28
161341,824,0
161457,3240,2317
161484,584,0
161493,247,0
161509,403,44
161518,1401,594
161527,171,0
161545,3995,0
161554,4526,948
161563,947,116
161572,635,0
161581,323,0
161615,17,0
161651,70,0
161688,2022,0
161767,8603,0
161776,405,0
161800,213,0
161855,60,0
161864,2755,0
161873,2487,1156
162007,3895,693
162061,371,232
162104,1597,0
162122,5034,0
162168,1300,0
162210,778,125
162283,2202,247
162335,63,0
162371,528,0
162557,3747,0
162584,4549,531
162609,595,0
162654,1463,415
162681,858,81
162690,2724,0
162706,4046,0
162760,1219,458
162779,6386,0
162830,74,0
162928,6928,15609
162982,176,0
163028,726,0
163046,3995,1389
163107,26,0
