UNITID,LEXPTOT
132602,1336753
132657,1090912
132693,2033711
132709,2438913
132842,352862
132851,719926
132879,154522
132903,16620327
133021,203316
133386,1185243
133465,247386
133492,1486886
133508,1505397
133526,400880
133553,4266786
133650,5727995
133669,9114142
133702,2419096
133711,981034
133809,236461
133845,
133854,
133863,
133872,1006618
133881,3123835
133951,19496078
133960,226037
133979,855817
133997,
134079,1096609
134097,24592196
134112,
134130,36493816
134149,
134237,472575
134343,587325
134422,
134495,2273652
134510,
134608,1134397
134680,113156
134811,314481
134945,1036417
135063,
135081,2951156
135160,325850
135188,827438
135364,346962
135391,1283951
135610,127022
135717,5653204
135726,29505684
136066,
136145,274362
136172,4597265
136215,15545114
136233,171241
136288,
136330,1220941
136358,4463660
136400,1422634
136473,1310598
136516,1269303
136701,138376
136774,709666
136950,2510470
137032,2465541
137078,4049921
137096,1417944
137148,
137209,1694869
137272,171830
137281,1123526
137315,298853
137351,15427434
137476,2495500
137546,3943861
137564,1572818
137759,1466630
137777,
137801,
137847,2404898
137953,110023
137962,
138187,4257947
138275,384682
138293,
138354,3800912
138558,343417
138600,829141
138655,
138664,
138682,249237
138691,530156
138716,1100450
138761,
138789,1618543
138813,208872
138840,421192
138868,182549
138901,355284
138929,839976
138947,11257539
138956,443384
139010,100007
139144,1936989
139153,152856
139199,613021
139205,
139214,
139250,797162
139278,1044500
139287,
139311,1528115
139348,1209356
139357,408547
139366,1947277
139384,594415
139393,697117
139463,626267
139579,337629
139621,264052
139630,162267
139658,49730711
139700,1086699
139719,676073
139755,15534054
139764,634255
139861,2159515
139931,5944580
139940,13354482
139959,30332249
139968,549044
139986,388596
139995,
140003,
140012,493100
140234,630180
140243,346668
140252,1096613
140331,729421
140340,
140447,8252445
140562,2151105
140678,320981
140696,405727
140720,426317
140818,603753
140872,436679
140942,459208
140951,1845939
140960,1199740
140988,461941
141006,187090
141167,244927
141185,284554
141237,241240
141255,252786
141264,3611018
141325,350842
141334,3430978
141361,395012
141486,635250
141565,2121501
141574,20921950
141644,1648391
141680,694337
141796,1259439
141802,403646
141811,889658
141839,464375
141936,
141981,592280
141990,630805
142090,
142115,7703503
142179,
142276,5982045
142285,6254678
142294,572783
142328,1398892
142443,969771
142461,504684
142522,2858348
142559,739208
142832,1057900
142887,
142957,
143048,1849310
143084,1340157
143118,834184
143215,689147
143279,532273
143288,210779
143297,231936
143358,2540199
143613,283573
143659,534689
143853,2574595
143978,451200
144005,2151813
144014,186922
144050,40070223
144157,511894
144166,484924
144175,434969
144184,650171
144193,677201
144209,849776
144218,554904
144281,2526337
144351,630949
144467,148049
144485,
144564,433593
144740,11550977
144865,5237245
144883,194519
144892,4198717
144944,1496337
144962,1396077
144971,386337
145239,
145275,548213
145336,1802819
145372,366606
