UNITID,CNTLAFFI,PUBPRIME,PUBSECON,RELAFFIL,ATHASSOC,ASSOC1,ASSOC2,ASSOC3,ASSOC4,ASSOC5,ASSOC6,SPORT1,CONFNO1,SPORT2,CONFNO2,SPORT3,CONFNO3,SPORT4,CONFNO4 
102711,1,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
102845,2,-2,-2,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
103501,2,-2,-2,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
103529,1,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
103741,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
103778,1,2,0,-2,1,1,0,0,0,0,0,1,127,1,127,1,127,1,127
103811,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
103893,2,-2,-2,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
103909,2,-2,-2,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
103927,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
103945,3,-2,-2,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
103954,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
103963,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
104090,2,-2,-2,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
104151,1,2,0,-2,1,1,0,0,0,0,0,1,127,1,127,1,127,1,127
104160,1,2,0,-2,1,0,0,1,0,0,1,2,-2,2,-2,2,-2,2,-2
104179,1,2,0,-2,1,1,0,0,0,0,0,1,127,1,127,1,127,1,127
104188,2,-2,-2,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
104346,1,9,2,-2,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
104364,2,-2,-2,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
104391,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
104425,1,2,0,-2,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
104434,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
104443,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
104504,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
104568,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
104577,1,2,5,-2,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
104586,3,-2,-2,-2,1,1,1,0,0,0,0,2,-2,1,301,2,-2,1,301
104665,3,-2,-2,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
104708,1,2,5,-2,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
104717,2,-2,-2,-2,1,1,0,0,0,0,0,2,-2,1,137,1,137,1,137
104911,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
105136,1,2,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
105145,1,2,5,-2,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
105154,1,2,5,-2,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
105206,1,2,0,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
105215,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,2,-2,2,-2
105297,1,1,9,-2,1,0,0,0,0,0,1,2,-2,2,-2,2,-2,2,-2
105330,1,2,0,-2,1,1,0,0,0,0,0,1,105,1,105,2,-2,1,105
105349,1,5,0,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
105367,4,-2,-2,52,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
105428,1,2,5,-2,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
105482,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
105525,1,8,2,-2,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
105534,2,-2,-2,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
105543,2,-2,-2,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
105589,3,-2,-2,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
105659,2,-2,-2,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
105668,1,2,5,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
105677,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
105701,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
105747,1,2,5,-2,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
105792,1,2,5,-2,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
105899,4,-2,-2,88,1,0,1,0,0,0,0,1,355,1,302,1,302,1,302
105987,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
106041,2,-2,-2,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
106102,2,-2,-2,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
106111,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
106148,1,4,0,-2,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
106245,1,2,0,-2,1,1,0,0,0,0,0,2,-2,1,134,1,134,1,134
106263,1,2,0,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
106281,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
106306,4,-2,-2,54,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
106315,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
106324,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
106342,4,-2,-2,66,1,0,1,0,0,0,0,1,355,1,319,1,319,2,-2
106351,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
106360,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
106397,1,2,0,-2,1,1,0,0,0,0,0,1,130,1,130,1,130,1,130
106412,1,2,0,-2,1,1,0,0,0,0,0,1,133,1,133,1,133,1,133
106449,1,2,0,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
106458,1,2,0,-2,1,1,0,0,0,0,0,1,134,1,134,1,134,1,134
106467,1,2,0,-2,1,1,0,0,0,0,0,1,367,1,367,1,367,1,367
106485,1,2,0,-2,1,1,0,0,0,0,0,1,367,1,367,1,367,1,367
106494,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
106546,4,-2,-2,54,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
106625,1,2,0,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
106704,1,2,0,-2,1,1,0,0,0,0,0,1,132,1,132,1,132,1,132
106713,4,-2,-2,54,1,0,1,0,0,1,0,2,-2,1,319,1,319,1,319
106795,1,2,9,-2,1,0,0,0,0,0,1,2,-2,2,-2,2,-2,2,-2
106810,4,-2,-2,74,1,0,1,0,0,1,0,2,-2,2,-2,2,-2,2,-2
106829,1,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
106883,1,2,0,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
106892,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
106908,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
106980,1,2,0,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
106999,1,2,9,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
107044,4,-2,-2,74,1,1,0,0,0,0,0,1,367,1,367,1,367,1,367
107071,1,2,0,-2,1,1,0,0,0,0,0,1,367,1,367,1,367,1,367
107080,4,-2,-2,71,1,1,0,0,0,0,0,1,368,1,368,1,368,1,368
107099,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
107123,3,-2,-2,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
107141,3,-2,-2,-2,1,0,1,0,0,0,0,2,-2,1,340,2,-2,1,340
107211,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
107220,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
107293,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
107318,1,2,0,-2,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
107327,1,2,0,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
107363,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
107442,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
107460,1,2,0,-2,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2
107488,1,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
107512,4,-2,-2,75,1,1,0,0,0,0,0,1,367,1,367,1,367,1,367
107521,1,2,0,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
107549,1,2,0,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
107558,4,-2,-2,66,1,1,0,0,0,0,0,2,-2,1,204,1,204,1,204
107585,1,2,0,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
107600,4,-2,-2,71,1,0,1,0,0,0,0,2,-2,1,337,2,-2,1,337
107619,1,2,0,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
107637,1,2,0,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
107655,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
107664,1,2,9,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
107725,1,2,0,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
107743,1,2,0,-2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2
