UNITID,EFFYLEV,EFYTOTLT,XEYTOTLM,EFYTOTLM,EFYTOTLW
145637,1,49094,R,26933,22161
145637,2,34687,R,19525,15162
145637,4,14407,R,7408,6999
145646,1,1857,R,820,1037
145646,2,1857,R,820,1037
145682,1,14122,R,6442,7680
145682,2,14122,R,6442,7680
145691,1,982,R,472,510
145691,2,978,R,472,506
145691,4,4,R,0,4
145707,1,2159,R,881,1278
145707,2,2159,R,881,1278
145725,1,9201,R,6106,3095
145725,2,3858,R,2732,1126
145725,4,5343,R,3374,1969
145770,1,985,R,287,698
145770,2,351,R,95,256
145770,4,634,R,192,442
145813,1,22987,R,10123,12864
145813,2,19898,R,9036,10862
145813,4,3089,R,1087,2002
145831,1,5535,R,2370,3165
145831,2,5535,R,2370,3165
145886,1,116,R,18,98
145886,4,116,R,18,98
146010,1,139,R,55,84
146010,2,139,R,55,84
146205,1,21549,R,9898,11651
146205,2,21549,R,9898,11651
146241,1,1425,R,722,703
146241,4,1425,R,722,703
146278,1,3092,R,1249,1843
146278,2,3092,R,1249,1843
146296,1,21901,R,9821,12080
146296,2,21901,R,9821,12080
146339,1,1499,R,587,912
146339,2,1270,R,501,769
146339,4,229,R,86,143
146348,1,8373,R,2892,5481
146348,2,8373,R,2892,5481
146366,1,8319,R,3767,4552
146366,2,8319,R,3767,4552
146393,1,1843,R,505,1338
146393,2,1843,R,505,1338
146418,1,5644,R,2568,3076
146418,2,5644,R,2568,3076
146427,1,1398,R,574,824
146427,2,1398,R,574,824
146454,1,50,R,2,48
146454,2,50,R,2,48
146472,1,24952,R,11523,13429
146472,2,24952,R,11523,13429
146481,1,1628,R,706,922
146481,2,1595,R,694,901
146481,4,33,R,12,21
146490,1,600,R,313,287
146490,4,600,R,313,287
146506,1,22278,R,15619,6659
146506,2,22278,R,15619,6659
146533,1,373,R,59,314
146533,2,373,R,59,314
146603,1,11003,R,5153,5850
146603,2,11003,R,5153,5850
146612,1,8258,R,3500,4758
146612,2,5482,R,2544,2938
146612,4,2776,R,956,1820
146667,1,979,R,557,422
146667,2,563,R,302,261
146667,4,416,R,255,161
146676,1,1395,R,544,851
146676,2,1395,R,544,851
146685,1,11649,R,4897,6752
146685,2,11649,R,4897,6752
146700,1,1020,R,726,294
146700,2,1020,R,726,294
146719,1,18390,R,6503,11887
146719,2,12324,R,4365,7959
146719,4,6066,R,2138,3928
146728,1,215,R,119,96
146728,4,215,R,119,96
146755,1,361,R,34,327
146755,2,354,R,34,320
146755,4,7,R,0,7
146807,1,90,R,9,81
146807,2,90,R,9,81
146816,1,325,R,63,262
146816,2,325,R,63,262
146825,1,603,R,291,312
146825,2,603,R,291,312
146977,1,205,R,114,91
146977,4,205,R,114,91
147004,1,10431,R,4802,5629
147004,2,10431,R,4802,5629
147013,1,3578,R,1505,2073
147013,2,2695,R,1224,1471
147013,4,883,R,281,602
147031,1,120,R,41,79
147031,4,120,R,41,79
147129,1,713,R,88,625
147129,2,708,R,88,620
147129,4,5,R,0,5
147165,1,649,R,143,506
147165,2,649,R,143,506
147244,1,2357,R,978,1379
147244,2,2220,R,926,1294
147244,4,137,R,52,85
147341,1,1231,R,588,643
147341,2,1231,R,588,643
147369,1,4636,R,2684,1952
147369,2,3654,R,2044,1610
147369,4,982,R,640,342
147378,1,26598,R,13541,13057
147378,2,26598,R,13541,13057
147396,1,100,R,91,9
147396,2,100,R,91,9
147411,1,6942,R,2873,4069
147411,2,6942,R,2873,4069
147439,1,110,R,3,107
147439,2,110,R,3,107
147536,1,7110,R,1464,5646
147536,2,1982,R,414,1568
147536,4,5128,R,1050,4078
147590,1,923,R,356,567
147590,2,174,R,51,123
147590,4,749,R,305,444
147642,1,76,R,5,71
147642,2,76,R,5,71
147660,1,3217,R,1480,1737
147660,2,2921,R,1350,1571
147660,4,296,R,130,166
147679,1,3940,R,1391,2549
147679,2,2544,R,931,1613
147679,4,1396,R,460,936
147697,1,205,R,146,59
147697,4,205,R,146,59
147703,1,22903,R,11304,11599
147703,2,16344,R,8275,8069
147703,4,6559,R,3029,3530
147749,1,486,R,100,386
147749,2,486,R,100,386
147767,1,25359,R,13268,12091
147767,2,10611,R,5149,5462
147767,4,14748,R,8119,6629
147776,1,12140,R,5222,6918
147776,2,9669,R,4289,5380
147776,4,2471,R,933,1538
147800,1,20091,R,9624,10467
147800,2,20091,R,9624,10467
147819,1,78,R,1,77
147819,2,78,R,1,77
147828,1,6224,R,1911,4313
147828,2,3709,R,1427,2282
147828,4,2515,R,484,2031
147916,1,19047,R,11667,7380
147916,2,19047,R,11667,7380
148007,1,9818,R,4127,5691
148007,2,9818,R,4127,5691
148016,1,489,R,242,247
148016,2,489,R,242,247
148098,1,64,R,2,62
148098,2,64,R,2,62
148131,1,1834,R,704,1130
148131,2,1163,R,551,612
148131,4,671,R,153,518
148140,1,198,R,139,59
148140,2,198,R,139,59
148177,1,1865,R,869,996
148177,2,1865,R,869,996
148256,1,10595,R,5089,5506
148256,2,10595,R,5089,5506
148292,1,5978,R,2511,3467
148292,2,5978,R,2511,3467
148335,1,3691,R,1762,1929
148335,2,3123,R,1517,1606
148335,4,568,R,245,323
148380,1,12084,R,5324,6760
148380,2,12084,R,5324,6760
148399,1,1044,R,163,881
148399,2,1044,R,163,881
148405,1,1967,R,713,1254
148405,2,1179,R,479,700
148405,4,788,R,234,554
148487,1,6020,R,2108,3912
148487,2,3576,R,1336,2240
148487,4,2444,R,772,1672
148496,1,4253,R,1206,3047
148496,2,2438,R,823,1615
148496,4,1815,R,383,1432
148511,1,3053,R,741,2312
148511,2,159,R,55,104
148511,4,2894,R,686,2208
148575,1,823,R,94,729
148575,2,508,R,55,453
148575,4,315,R,39,276
148584,1,5692,R,1355,4337
148584,2,1834,R,594,1240
148584,4,3858,R,761,3097
148593,1,124,R,19,105
148593,2,124,R,19,105
148627,1,4580,R,1442,3138
148627,2,3376,R,1097,2279
148627,4,1204,R,345,859
148654,1,6816,R,3603,3213
148654,2,3445,R,1721,1724
148654,4,3371,R,1882,1489
148672,1,3275,R,1292,1983
148672,2,3275,R,1292,1983
148821,1,5796,R,2627,3169
148821,2,5796,R,2627,3169
148849,1,83,R,38,45
148849,2,83,R,38,45
148876,1,2052,R,438,1614
148876,2,2052,R,438,1614
148885,1,278,R,260,18
148885,4,278,R,260,18
148937,1,4816,R,2143,2673
148937,2,4816,R,2143,2673
148955,1,107,R,5,102
148955,2,107,R,5,102
148982,1,208,R,84,124
148982,4,208,R,84,124
148991,1,2562,R,1013,1549
148991,2,2562,R,1013,1549
149028,1,423,R,42,381
149028,2,322,R,35,287
149028,4,101,R,7,94
149204,1,72,R,2,70
149204,2,72,R,2,70
149222,1,19411,R,10492,8919
149222,2,14593,R,8106,6487
149222,4,4818,R,2386,2432
149231,1,16467,R,7402,9065
149231,2,13163,R,6126,7037
149231,4,3304,R,1276,2028
149310,1,398,R,250,148
149310,2,398,R,250,148
149329,1,88,R,88,0
149329,2,75,R,75,0
149329,4,13,R,13,0
149365,1,9770,R,3640,6130
149365,2,9770,R,3640,6130
149499,1,27,R,0,27
149499,2,27,R,0,27
149505,1,1522,R,463,1059
149505,2,1423,R,451,972
149505,4,99,R,12,87
149514,1,2921,R,1816,1105
149514,2,1095,R,546,549
149514,4,1826,R,1270,556
149532,1,17832,R,8124,9708
149532,2,17832,R,8124,9708
149550,1,282,R,33,249
149550,2,282,R,33,249
149639,1,1318,R,526,792
149639,2,177,R,103,74
149639,4,1141,R,423,718
149727,1,18931,R,8407,10524
149727,2,18931,R,8407,10524
149763,1,726,R,140,586
149763,2,656,R,132,524
149763,4,70,R,8,62
149772,1,12738,R,6167,6571
149772,2,10355,R,5203,5152
149772,4,2383,R,964,1419
149781,1,3173,R,1464,1709
149781,2,2545,R,1193,1352
149781,4,628,R,271,357
149842,1,25409,R,11493,13916
149842,2,25409,R,11493,13916
150048,1,588,R,246,342
150048,2,588,R,246,342
150066,1,2644,R,1115,1529
150066,2,2068,R,809,1259
150066,4,576,R,306,270
150075,1,11,R,1,10
150075,2,11,R,1,10
150136,1,25500,R,9602,15898
150136,2,18583,R,7683,10900
150136,4,6917,R,1919,4998
150145,1,2009,R,720,1289
150145,2,1649,R,566,1083
150145,4,360,R,154,206
150163,1,5056,R,2058,2998
150163,2,4058,R,1655,2403
150163,4,998,R,403,595
150172,1,1227,R,685,542
150172,2,955,R,524,431
150172,4,272,R,161,111
150215,1,165,R,66,99
150215,4,165,R,66,99
150251,1,279,R,15,264
150251,2,279,R,15,264
150288,1,430,R,387,43
150288,4,430,R,387,43
150303,1,292,R,6,286
150303,2,292,R,6,286
150400,1,2285,R,1047,1238
150400,2,2285,R,1047,1238
150428,1,71,R,1,70
150428,2,71,R,1,70
150437,1,48,R,1,47
150437,2,48,R,1,47
150455,1,1108,R,477,631
150455,2,1004,R,432,572
150455,4,104,R,45,59
150534,1,2729,R,1208,1521
150534,2,2525,R,1155,1370
150534,4,204,R,53,151
150604,1,1138,R,535,603
150604,2,1138,R,535,603
150668,1,908,R,353,555
150668,2,835,R,344,491
150668,4,73,R,9,64
150677,1,2707,R,1288,1419
150677,2,2179,R,979,1200
150677,4,528,R,309,219
150695,1,96,R,0,96
150695,2,96,R,0,96
150710,1,116,R,63,53
150710,2,116,R,63,53
150756,1,1142,R,471,671
150756,2,1142,R,471,671
150765,1,97,R,2,95
150765,2,97,R,2,95
150774,1,607,R,342,265
150774,2,607,R,342,265
150853,1,216,R,5,211
150853,2,216,R,5,211
150941,1,1498,R,587,911
150941,2,1184,R,486,698
150941,4,314,R,101,213
150987,1,165959,R,73751,92208
150987,2,165959,R,73751,92208
151102,1,14783,R,6625,8158
151102,2,14092,R,6328,7764
151102,4,691,R,297,394
151111,1,35441,R,15516,19925
151111,2,25859,R,11324,14535
151111,4,9582,R,4192,5390
151166,1,5219,R,948,4271
151166,2,5219,R,948,4271
151263,1,6484,R,2135,4349
151263,2,4763,R,1715,3048
151263,4,1721,R,420,1301
151290,1,9668,R,3749,5919
151290,2,8685,R,3279,5406
151290,4,983,R,470,513
151306,1,12204,R,4597,7607
151306,2,11110,R,4335,6775
151306,4,1094,R,262,832
151324,1,17447,R,7997,9450
151324,2,14331,R,6784,7547
151324,4,3116,R,1213,1903
151333,1,4895,R,1698,3197
151333,2,4691,R,1611,3080
151333,4,204,R,87,117
151342,1,8793,R,3458,5335
151342,2,8059,R,3210,4849
151342,4,734,R,248,486
151351,1,52694,R,26348,26346
151351,2,40945,R,19887,21058
151351,4,11749,R,6461,5288
151360,1,7154,R,2411,4743
151360,2,6692,R,2255,4437
151360,4,462,R,156,306
151379,1,7570,R,3050,4520
151379,2,6944,R,2821,4123
151379,4,626,R,229,397
151388,1,6641,R,2498,4143
151388,2,6342,R,2434,3908
151388,4,299,R,64,235
151458,1,470,R,121,349
151458,2,470,R,121,349
151467,1,417,R,65,352
151467,2,417,R,65,352
151564,1,53,R,1,52
151564,2,53,R,1,52
151607,1,171,R,8,163
151607,2,171,R,8,163
151616,1,642,R,127,515
151616,2,642,R,127,515
151652,1,358,R,21,337
151652,2,358,R,21,337
151661,1,1479,R,1426,53
151661,2,1479,R,1426,53
151777,1,1588,R,738,850
151777,2,1287,R,622,665
151777,4,301,R,116,185
151786,1,3808,R,1367,2441
151786,2,2677,R,946,1731
151786,4,1131,R,421,710
151801,1,3301,R,1103,2198
151801,2,3007,R,1035,1972
151801,4,294,R,68,226
151810,1,458,R,159,299
151810,2,373,R,130,243
151810,4,85,R,29,56
151865,1,129,R,60,69
151865,4,129,R,60,69
151874,1,3,R,3,0
151874,2,3,R,3,0
151944,1,469,R,73,396
151944,2,469,R,73,396
151962,1,121,R,49,72
151962,2,121,R,49,72
152044,1,116,R,34,82
152044,2,116,R,34,82
152080,1,12851,R,7066,5785
152080,2,8626,R,4512,4114
152080,4,4225,R,2554,1671
152099,1,2151,R,921,1230
152099,2,1567,R,683,884
152099,4,584,R,238,346
152150,1,58,R,2,56
152150,2,58,R,2,56
152248,1,11498,R,4771,6727
152248,2,10317,R,4260,6057
152248,4,1181,R,511,670
152266,1,7430,R,2921,4509
152266,2,7274,R,2865,4409
152266,4,156,R,56,100
152275,1,265,R,72,193
152275,2,265,R,72,193
152309,1,119,R,34,85
152309,2,119,R,34,85
152318,1,2444,R,1887,557
152318,2,2339,R,1805,534
152318,4,105,R,82,23
152327,1,34,R,0,34
152327,2,34,R,0,34
152336,1,2796,R,810,1986
152336,2,2091,R,584,1507
152336,4,705,R,226,479
152363,1,1294,R,545,749
152363,2,1225,R,514,711
152363,4,69,R,31,38
152381,1,1059,R,66,993
152381,2,816,R,54,762
152381,4,243,R,12,231
152390,1,1724,R,27,1697
152390,2,1686,R,23,1663
152390,4,38,R,4,34
152415,1,583,R,44,539
152415,2,583,R,44,539
152451,1,290,R,223,67
152451,4,290,R,223,67
152497,1,242,R,7,235
152497,2,242,R,7,235
152530,1,2533,R,1109,1424
152530,2,2482,R,1089,1393
152530,4,51,R,20,31
152567,1,3863,R,2339,1524
152567,2,3483,R,2021,1462
152567,4,380,R,318,62
152600,1,5102,R,2487,2615
152600,2,3426,R,1618,1808
152600,4,1676,R,869,807
152628,1,64,R,0,64
152628,2,64,R,0,64
152637,1,22888,R,12611,10277
152637,2,22888,R,12611,10277
152673,1,873,R,873,0
152673,2,873,R,873,0
152798,1,833,R,90,743
152798,2,532,R,58,474
152798,4,301,R,32,269
152992,1,1282,R,541,741
152992,2,1138,R,486,652
152992,4,144,R,55,89
153001,1,3311,R,965,2346
153001,2,2715,R,889,1826
153001,4,596,R,76,520
153074,1,301,R,6,295
153074,2,301,R,6,295
153083,1,231,R,5,226
153083,2,231,R,5,226
153108,1,1521,R,694,827
153108,2,1521,R,694,827
153126,1,1218,R,361,857
153126,2,967,R,314,653
153126,4,251,R,47,204
153144,1,1498,R,640,858
153144,2,1498,R,640,858
153162,1,1041,R,515,526
153162,2,1041,R,515,526
153171,1,28,R,4,24
153171,2,28,R,4,24
153214,1,36861,R,17572,19289
153214,2,36861,R,17572,19289
153241,1,86,R,54,32
153241,2,86,R,54,32
153250,1,1632,R,836,796
153250,2,1529,R,782,747
153250,4,103,R,54,49
153269,1,6153,R,2476,3677
153269,2,3609,R,1562,2047
153269,4,2544,R,914,1630
153278,1,2446,R,1375,1071
153278,2,1975,R,1152,823
153278,4,471,R,223,248
153296,1,1081,R,530,551
153296,2,1081,R,530,551
153302,1,260,R,114,146
153302,2,260,R,114,146
153311,1,13174,R,5787,7387
153311,2,13174,R,5787,7387
153320,1,344,R,179,165
153320,2,293,R,134,159
153320,4,51,R,45,6
153339,1,30,R,0,30
153339,2,30,R,0,30
153366,1,2927,R,962,1965
153366,2,1829,R,797,1032
153366,4,1098,R,165,933
153375,1,2340,R,1028,1312
153375,2,2239,R,1000,1239
153375,4,101,R,28,73
153384,1,1774,R,806,968
153384,2,1774,R,806,968
153409,1,357,R,62,295
153409,2,312,R,54,258
153409,4,45,R,8,37
153418,1,748,R,149,599
153418,2,673,R,129,544
153418,4,75,R,20,55
153427,1,281,R,133,148
153427,2,281,R,133,148
153445,1,8618,R,3839,4779
153445,2,8618,R,3839,4779
153463,1,38,R,3,35
153463,2,38,R,3,35
153472,1,7053,R,3127,3926
153472,2,7053,R,3127,3926
153524,1,7969,R,3839,4130
153524,2,7969,R,3839,4130
153533,1,3238,R,1509,1729
153533,2,3238,R,1509,1729
153542,1,16,R,5,11
153542,2,16,R,5,11
153588,1,35,R,30,5
153588,2,35,R,30,5
153597,1,187,R,11,176
153597,2,187,R,11,176
153603,1,38988,R,21774,17214
153603,2,32246,R,18287,13959
153603,4,6742,R,3487,3255
153621,1,531,R,215,316
153621,2,530,R,215,315
153621,4,1,Z,0,1
153630,1,9661,R,4490,5171
153630,2,9661,R,4490,5171
153658,1,34337,R,16513,17824
153658,2,25883,R,12366,13517
153658,4,8454,R,4147,4307
153737,1,20409,R,9922,10487
153737,2,20409,R,9922,10487
153746,1,71,R,4,67
153746,2,71,R,4,67
153764,1,153,R,8,145
153764,2,153,R,8,145
153773,1,142,R,7,135
153773,2,142,R,7,135
153782,1,70,R,3,67
153782,2,70,R,3,67
153825,1,1706,R,883,823
153825,2,1569,R,820,749
153825,4,137,R,63,74
153834,1,2380,R,1074,1306
153834,2,2380,R,1074,1306
153861,1,2043,R,1394,649
153861,2,486,R,224,262
153861,4,1557,R,1170,387
153922,1,2676,R,1155,1521
153922,2,2676,R,1155,1521
153977,1,997,R,131,866
153977,2,997,R,131,866
154004,1,3820,R,1093,2727
154004,2,1380,R,638,742
154004,4,2440,R,455,1985
154013,1,2306,R,675,1631
154013,2,1852,R,539,1313
154013,4,454,R,136,318
154022,1,99698,R,32574,67124
154022,2,87705,R,29488,58217
154022,4,11993,R,3086,8907
154059,1,3907,R,1716,2191
154059,2,3907,R,1716,2191
154095,1,14444,R,5649,8795
154095,2,11284,R,4785,6499
154095,4,3160,R,864,2296
154101,1,1340,R,501,839
154101,2,1151,R,486,665
154101,4,189,R,15,174
154110,1,6606,R,2858,3748
154110,2,6606,R,2858,3748
154129,1,2700,R,1118,1582
154129,2,2700,R,1118,1582
154156,1,1792,R,868,924
154156,4,1792,R,868,924
154165,1,75,R,3,72
154165,2,75,R,3,72
154174,1,2412,R,1450,962
154174,2,26,R,10,16
154174,4,2386,R,1440,946
154208,1,186,R,0,186
154208,2,186,R,0,186
154235,1,3666,R,1497,2169
154235,2,2681,R,1131,1550
154235,4,985,R,366,619
154262,1,272,R,28,244
154262,2,272,R,28,244
154332,1,125,R,7,118
154332,2,125,R,7,118
154341,1,77,R,11,66
154341,2,77,R,11,66
154350,1,1850,R,847,1003
154350,2,1779,R,820,959
154350,4,71,R,27,44
154378,1,3717,R,1538,2179
154378,2,3717,R,1538,2179
154396,1,2163,R,895,1268
154396,2,2163,R,895,1268
154448,1,241,R,9,232
154448,2,241,R,9,232
154457,1,47,R,1,46
154457,2,47,R,1,46
154466,1,74,R,3,71
154466,2,74,R,3,71
154493,1,8347,R,3023,5324
154493,2,6629,R,2553,4076
154493,4,1718,R,470,1248
154518,1,3044,R,1984,1060
154518,2,2657,R,1714,943
154518,4,387,R,270,117
154527,1,1599,R,767,832
154527,2,1599,R,767,832
154536,1,120,R,52,68
154536,4,120,R,52,68
154545,1,52,R,15,37
154545,2,52,R,15,37
154572,1,8129,R,3461,4668
154572,2,8129,R,3461,4668
154590,1,2034,R,1031,1003
154590,2,1931,R,978,953
154590,4,103,R,53,50
154642,1,4012,R,1492,2520
154642,2,4012,R,1492,2520
154688,1,3593,R,1480,2113
154688,2,2124,R,931,1193
154688,4,1469,R,549,920
154697,1,16321,R,10283,6038
154697,2,16321,R,10283,6038
154712,1,2271,R,1027,1244
154712,2,2203,R,995,1208
154712,4,68,R,32,36
154721,1,753,R,458,295
154721,2,753,R,458,295
154749,1,598,R,288,310
154749,2,598,R,288,310
154767,1,546,R,76,470
154767,2,546,R,76,470
154776,1,513,R,146,367
154776,2,513,R,146,367
154794,1,151,R,50,101
154794,2,151,R,50,101
154800,1,13038,R,5408,7630
154800,2,13038,R,5408,7630
154837,1,434,R,207,227
154837,2,144,R,56,88
154837,4,290,R,151,139
154855,1,1604,R,789,815
154855,2,1604,R,789,815
154907,1,3437,R,1241,2196
154907,2,3437,R,1241,2196
154925,1,2393,R,1260,1133
154925,2,2393,R,1260,1133
154934,1,2240,R,859,1381
154934,2,2240,R,859,1381
154952,1,4869,R,1962,2907
154952,2,4869,R,1962,2907
154998,1,2635,R,1385,1250
154998,2,2635,R,1385,1250
155007,1,482,R,170,312
155007,2,482,R,170,312
155025,1,7399,R,2710,4689
155025,2,4276,R,1716,2560
155025,4,3123,R,994,2129
155052,1,1331,R,670,661
155052,2,1331,R,670,661
155061,1,17280,R,6830,10450
155061,2,13964,R,5600,8364
155061,4,3316,R,1230,2086
155070,1,349,R,189,160
155070,2,299,R,153,146
155070,4,50,R,36,14
155089,1,2955,R,1219,1736
155089,2,2206,R,942,1264
155089,4,749,R,277,472
155098,1,2742,R,1401,1341
155098,2,2742,R,1401,1341
155104,1,3418,R,1696,1722
155104,2,3418,R,1696,1722
155140,1,915,R,446,469
155140,2,915,R,446,469
155159,1,107,R,1,106
155159,2,107,R,1,106
155177,1,436,R,172,264
155177,2,436,R,172,264
155186,1,5342,R,2236,3106
155186,2,5342,R,2236,3106
155195,1,8740,R,3817,4923
155195,2,8740,R,3817,4923
155201,1,1459,R,733,726
155201,2,1459,R,733,726
155210,1,29400,R,14252,15148
155210,2,29400,R,14252,15148
155283,1,994,R,86,908
155283,2,994,R,86,908
155292,1,8460,R,3403,5057
155292,2,8460,R,3403,5057
155308,1,90,R,55,35
155308,2,90,R,55,35
155317,1,30913,R,14698,16215
155317,2,20943,R,10468,10475
155317,4,9970,R,4230,5740
155335,1,5181,R,1745,3436
155335,2,3846,R,1424,2422
155335,4,1335,R,321,1014
155353,1,75,R,67,8
155353,2,75,R,67,8
155399,1,26939,R,13568,13371
155399,2,21725,R,11270,10455
155399,4,5214,R,2298,2916
155414,1,894,R,427,467
155414,2,736,R,383,353
155414,4,158,R,44,114
155423,1,2000,R,1055,945
155423,2,2000,R,1055,945
155441,1,76,R,4,72
155441,2,76,R,4,72
155450,1,3114,R,1094,2020
155450,2,3114,R,1094,2020
155487,1,1292,R,630,662
155487,2,1292,R,630,662
155496,1,347,R,193,154
155496,2,347,R,193,154
155511,1,693,R,423,270
155511,2,659,R,408,251
155511,4,34,R,15,19
155520,1,4046,R,1147,2899
155520,2,1782,R,739,1043
155520,4,2264,R,408,1856
155566,1,2886,R,1029,1857
155566,2,2886,R,1029,1857
155593,1,1259,R,698,561
155593,2,1259,R,698,561
155618,1,870,R,588,282
155618,2,870,R,588,282
155627,1,703,R,427,276
155627,2,664,R,407,257
155627,4,39,R,20,19
155636,1,1056,R,299,757
155636,2,572,R,184,388
155636,4,484,R,115,369
155681,1,8606,R,4180,4426
155681,2,6784,R,3557,3227
155681,4,1822,R,623,1199
155715,1,1640,R,734,906
155715,2,1640,R,734,906
155812,1,2042,R,700,1342
155812,2,998,R,382,616
155812,4,1044,R,318,726
155830,1,933,R,397,536
155830,2,933,R,397,536
155858,1,2692,R,1159,1533
155858,2,2692,R,1159,1533
155900,1,2860,R,1681,1179
155900,2,2219,R,1405,814
155900,4,641,R,276,365
155937,1,720,R,378,342
155937,2,720,R,378,342
155973,1,807,R,405,402
155973,2,743,R,372,371
155973,4,64,R,33,31
156082,1,7803,R,3159,4644
156082,2,6711,R,2712,3999
156082,4,1092,R,447,645
156107,1,5473,R,2562,2911
156107,2,5473,R,2562,2911
156125,1,16021,R,7590,8431
156125,2,12788,R,6048,6740
156125,4,3233,R,1542,1691
156134,1,1287,R,699,588
156134,2,1287,R,699,588
156189,1,617,R,281,336
156189,2,617,R,281,336
156213,1,2064,R,801,1263
156213,2,1779,R,714,1065
156213,4,285,R,87,198
156222,1,1893,R,1195,698
156222,4,1893,R,1195,698
156231,1,3775,R,1581,2194
156231,2,3775,R,1581,2194
156277,1,97,R,4,93
156277,2,97,R,4,93
156286,1,4239,R,1338,2901
156286,2,2810,R,993,1817
156286,4,1429,R,345,1084
156295,1,1717,R,733,984
156295,2,1717,R,733,984
156310,1,471,R,29,442
156310,2,471,R,29,442
156338,1,5352,R,2167,3185
156338,2,5352,R,2167,3185
156356,1,1187,R,276,911
156356,2,1168,R,266,902
156356,4,19,R,10,9
156365,1,4721,R,1966,2755
156365,2,3930,R,1630,2300
156365,4,791,R,336,455
156392,1,14174,R,6153,8021
156392,2,14174,R,6153,8021
156408,1,1382,R,693,689
156408,2,1382,R,693,689
156417,1,176,R,139,37
156417,2,176,R,139,37
156426,1,332,R,19,313
156426,2,332,R,19,313
156471,1,1905,R,203,1702
156471,2,1905,R,203,1702
156541,1,8610,R,3370,5240
156541,2,3175,R,1385,1790
156541,4,5435,R,1985,3450
156620,1,19611,R,8231,11380
156620,2,16253,R,7113,9140
156620,4,3358,R,1118,2240
156648,1,9112,R,4569,4543
156648,2,9112,R,4569,4543
156727,1,2346,R,111,2235
156727,4,2346,R,111,2235
156745,1,1691,R,638,1053
156745,2,1037,R,493,544
156745,4,654,R,145,509
156754,1,73,R,3,70
156754,2,73,R,3,70
156790,1,4395,R,2327,2068
156790,2,4395,R,2327,2068
156842,1,283,R,14,269
156842,2,283,R,14,269
156851,1,2069,R,752,1317
156851,2,2069,R,752,1317
156860,1,4446,R,1724,2722
156860,2,4446,R,1724,2722
156921,1,16014,R,6737,9277
156921,2,16014,R,6737,9277
156967,1,222,R,14,208
156967,2,222,R,14,208
157021,1,1528,R,293,1235
157021,2,1528,R,293,1235
157030,1,81,R,46,35
157030,2,81,R,46,35
157058,1,2130,R,879,1251
157058,2,1950,R,797,1153
157058,4,180,R,82,98
157076,1,728,R,394,334
157076,2,728,R,394,334
157085,1,31622,R,14599,17023
157085,2,23877,R,11238,12639
157085,4,7745,R,3361,4384
157100,1,598,R,302,296
157100,2,536,R,274,262
157100,4,62,R,28,34
157207,1,110,R,58,52
157207,4,110,R,58,52
157216,1,3028,R,1083,1945
157216,2,2348,R,950,1398
157216,4,680,R,133,547
157270,1,593,R,409,184
157270,2,593,R,409,184
157289,1,25126,R,12372,12754
157289,2,18219,R,9066,9153
157289,4,6907,R,3306,3601
157298,1,192,R,86,106
157298,4,192,R,86,106
157304,1,5850,R,3288,2562
157304,2,5850,R,3288,2562
157331,1,4530,R,1802,2728
157331,2,4530,R,1802,2728
157377,1,1350,R,222,1128
157377,2,1163,R,163,1000
157377,4,187,R,59,128
157386,1,12614,R,5038,7576
157386,2,10959,R,4417,6542
157386,4,1655,R,621,1034
157401,1,12536,R,5175,7361
157401,2,10225,R,4237,5988
157401,4,2311,R,938,1373
157438,1,5922,R,2830,3092
157438,2,5922,R,2830,3092
157447,1,16755,R,7198,9557
157447,2,14417,R,6386,8031
157447,4,2338,R,812,1526
157465,1,230,R,25,205
157465,2,230,R,25,205
157483,1,8089,R,3517,4572
157483,2,8089,R,3517,4572
157535,1,2799,R,1335,1464
157535,2,2128,R,979,1149
157535,4,671,R,356,315
157553,1,6628,R,3370,3258
157553,2,6628,R,3370,3258
157599,1,1273,R,306,967
157599,2,1273,R,306,967
157614,1,161,R,8,153
157614,2,161,R,8,153
157650,1,224,R,10,214
157650,2,224,R,10,214
157669,1,159,R,6,153
157669,2,159,R,6,153
157678,1,166,R,6,160
157678,2,166,R,6,160
157696,1,127,R,29,98
157696,2,127,R,29,98
157711,1,7943,R,3206,4737
157711,2,7943,R,3206,4737
157739,1,4144,R,2001,2143
157739,2,4144,R,2001,2143
157748,1,4693,R,3831,862
157748,2,1118,R,677,441
157748,4,3575,R,3154,421
157757,1,2472,R,609,1863
157757,2,1329,R,388,941
157757,4,1143,R,221,922
157766,1,752,R,85,667
157766,2,752,R,85,667
157793,1,5289,R,2170,3119
157793,2,3933,R,1399,2534
157793,4,1356,R,771,585
157809,1,2412,R,1108,1304
157809,2,2148,R,953,1195
157809,4,264,R,155,109
157818,1,1061,R,445,616
157818,2,1061,R,445,616
157827,1,139,R,10,129
157827,2,139,R,10,129
157863,1,1319,R,611,708
157863,2,976,R,494,482
157863,4,343,R,117,226
157951,1,24381,R,10072,14309
157951,2,20547,R,8699,11848
157951,4,3834,R,1373,2461
158088,1,3123,R,1944,1179
158088,2,3123,R,1944,1179
158246,1,444,R,170,274
158246,2,444,R,170,274
158325,1,105,R,8,97
158325,2,105,R,8,97
158334,1,36,R,7,29
158334,2,36,R,7,29
158343,1,59,R,37,22
158343,2,59,R,37,22
158352,1,2155,R,1497,658
158352,2,2155,R,1497,658
158431,1,10411,R,3953,6458
158431,2,10411,R,3953,6458
158440,1,94,R,7,87
158440,2,94,R,7,87
158477,1,619,R,271,348
158477,2,535,R,236,299
