UNITID,EFFYLEV,EFYTOTLT,XEYTOTLM,EFYTOTLM,EFYTOTLW
104568,2,558,R,25,533
104577,1,8139,R,3792,4347
104577,2,8139,R,3792,4347
104586,1,2425,R,1882,543
104586,2,2356,R,1825,531
104586,4,69,R,57,12
104665,1,21,R,17,4
104665,4,21,R,17,4
104708,1,27947,R,12805,15142
104708,2,27947,R,12805,15142
104717,1,111211,R,29393,81818
104717,2,65668,R,17662,48006
104717,4,45543,R,11731,33812
104911,1,176,R,24,152
104911,2,176,R,24,152
105145,1,8495,R,3580,4915
105145,2,8495,R,3580,4915
105154,1,30770,R,15067,15703
105154,2,30770,R,15067,15703
105206,1,7998,R,2843,5155
105206,2,7998,R,2843,5155
105215,1,1891,R,1820,71
105215,2,1891,R,1820,71
105297,1,1976,R,639,1337
105297,2,1976,R,639,1337
105330,1,33186,R,13260,19926
105330,2,28303,R,11686,16617
105330,4,4883,R,1574,3309
105349,1,6486,R,2559,3927
105349,2,6486,R,2559,3927
105367,1,1115,R,290,825
105367,2,566,R,175,391
105367,4,549,R,115,434
105428,1,17382,R,6508,10874
105428,2,17382,R,6508,10874
105482,1,188,R,55,133
105482,2,188,R,55,133
105525,1,36188,R,17051,19137
105525,2,36188,R,17051,19137
105534,1,3197,R,721,2476
105534,2,3197,R,721,2476
105543,1,1404,R,292,1112
105543,2,1404,R,292,1112
105589,1,927,R,291,636
105589,2,493,R,190,303
105589,4,434,R,101,333
105659,1,1096,R,1078,18
105659,2,1096,R,1078,18
105668,1,45317,R,18373,26944
105668,2,45317,R,18373,26944
105677,1,57,R,55,2
105677,2,57,R,55,2
105701,1,54,R,2,52
105701,2,54,R,2,52
105747,1,14760,R,6836,7924
105747,2,14760,R,6836,7924
105792,1,5772,R,2399,3373
105792,2,5772,R,2399,3373
105899,1,903,R,523,380
105899,2,903,R,523,380
105987,1,547,R,240,307
105987,2,547,R,240,307
106041,1,2910,R,2797,113
106041,2,2910,R,2797,113
106102,1,1970,R,744,1226
106102,2,1397,R,487,910
106102,4,573,R,257,316
106111,1,221,R,21,200
106111,2,221,R,21,200
106148,1,10245,R,4470,5775
106148,2,10245,R,4470,5775
106245,1,14613,R,5713,8900
106245,2,10900,R,4267,6633
106245,4,3713,R,1446,2267
106263,1,3262,R,1058,2204
106263,2,828,R,181,647
106263,4,2434,R,877,1557
106281,1,29,R,8,21
106281,2,29,R,8,21
106306,1,1313,R,941,372
106306,2,1313,R,941,372
106315,1,153,R,12,141
106315,2,153,R,12,141
106324,1,37,R,1,36
106324,2,37,R,1,36
106342,1,747,R,386,361
106342,2,747,R,386,361
106351,1,268,R,146,122
106351,2,268,R,146,122
106360,1,51,R,0,51
106360,2,51,R,0,51
106397,1,29612,R,14496,15116
106397,2,23946,R,11554,12392
106397,4,5666,R,2942,2724
106412,1,2952,R,1286,1666
106412,2,2798,R,1209,1589
106412,4,154,R,77,77
106449,1,5619,R,2477,3142
106449,2,5619,R,2477,3142
106458,1,18105,R,7053,11052
106458,2,11198,R,4758,6440
106458,4,6907,R,2295,4612
106467,1,13900,R,6099,7801
106467,2,12650,R,5678,6972
106467,4,1250,R,421,829
106485,1,4385,R,1801,2584
106485,2,4055,R,1674,2381
106485,4,330,R,127,203
106494,1,94,R,7,87
106494,2,94,R,7,87
106546,1,918,R,106,812
106546,2,918,R,106,812
106625,1,1894,R,671,1223
106625,2,1894,R,671,1223
106704,1,13553,R,5293,8260
106704,2,11158,R,4704,6454
106704,4,2395,R,589,1806
106713,1,1019,R,540,479
106713,2,1019,R,540,479
106795,1,2226,R,781,1445
106795,2,2226,R,781,1445
106810,1,249,R,136,113
106810,2,249,R,136,113
106829,1,320,R,186,134
106829,2,320,R,186,134
106883,1,1860,R,709,1151
106883,2,1860,R,709,1151
106892,1,429,R,24,405
106892,2,429,R,24,405
106908,1,552,R,18,534
106908,2,552,R,18,534
106980,1,3506,R,1353,2153
106980,2,3506,R,1353,2153
106999,1,1796,R,593,1203
106999,2,1796,R,593,1203
107044,1,6796,R,2833,3963
107044,2,4889,R,2189,2700
107044,4,1907,R,644,1263
107071,1,4039,R,1675,2364
107071,2,3427,R,1489,1938
107071,4,612,R,186,426
107080,1,1417,R,672,745
107080,2,1405,R,664,741
107080,4,12,R,8,4
107099,1,45,R,2,43
107099,2,45,R,2,43
107123,1,138,R,18,120
107123,2,138,R,18,120
107141,1,3197,R,1299,1898
107141,2,2331,R,1006,1325
107141,4,866,R,293,573
107211,1,34,R,4,30
107211,2,34,R,4,30
107220,1,370,R,27,343
107220,2,370,R,27,343
107293,1,130,R,6,124
107293,2,130,R,6,124
107318,1,2467,R,940,1527
107318,2,2467,R,940,1527
107327,1,2033,R,761,1272
107327,2,2033,R,761,1272
107363,1,95,R,5,90
107363,2,95,R,5,90
107442,1,90,R,58,32
107442,2,90,R,58,32
107460,1,2290,R,949,1341
107460,2,2290,R,949,1341
107488,1,347,R,217,130
107488,2,347,R,217,130
107512,1,1669,R,823,846
107512,2,1669,R,823,846
107521,1,1787,R,713,1074
107521,2,1787,R,713,1074
107549,1,1565,R,439,1126
107549,2,1565,R,439,1126
107558,1,688,R,334,354
107558,2,688,R,334,354
107585,1,2677,R,1068,1609
