UNITID,EFFYLEV,EFYTOTLT,EFYTOTLM,EFYTOTLW
105428,2,17382,6508,10874
105482,1,188,55,133
105482,2,188,55,133
105525,1,36188,17051,19137
105525,2,36188,17051,19137
105534,1,3197,721,2476
105534,2,3197,721,2476
105543,1,1404,292,1112
105543,2,1404,292,1112
105589,1,927,291,636
105589,2,493,190,303
105589,4,434,101,333
105659,1,1096,1078,18
105659,2,1096,1078,18
105668,1,45317,18373,26944
105668,2,45317,18373,26944
105677,1,57,55,2
105677,2,57,55,2
105701,1,54,2,52
105701,2,54,2,52
105747,1,14760,6836,7924
105747,2,14760,6836,7924
105792,1,5772,2399,3373
105792,2,5772,2399,3373
105899,1,903,523,380
105899,2,903,523,380
105987,1,547,240,307
105987,2,547,240,307
106041,1,2910,2797,113
106041,2,2910,2797,113
106102,1,1970,744,1226
106102,2,1397,487,910
106102,4,573,257,316
106111,1,221,21,200
106111,2,221,21,200
106148,1,10245,4470,5775
106148,2,10245,4470,5775
106245,1,14613,5713,8900
106245,2,10900,4267,6633
106245,4,3713,1446,2267
106263,1,3262,1058,2204
106263,2,828,181,647
106263,4,2434,877,1557
106281,1,29,8,21
106281,2,29,8,21
106306,1,1313,941,372
106306,2,1313,941,372
106315,1,153,12,141
106315,2,153,12,141
106324,1,37,1,36
106324,2,37,1,36
106342,1,747,386,361
106342,2,747,386,361
106351,1,268,146,122
106351,2,268,146,122
106360,1,51,0,51
106360,2,51,0,51
106397,1,29612,14496,15116
106397,2,23946,11554,12392
106397,4,5666,2942,2724
106412,1,2952,1286,1666
106412,2,2798,1209,1589
106412,4,154,77,77
106449,1,5619,2477,3142
106449,2,5619,2477,3142
106458,1,18105,7053,11052
106458,2,11198,4758,6440
106458,4,6907,2295,4612
106467,1,13900,6099,7801
106467,2,12650,5678,6972
106467,4,1250,421,829
106485,1,4385,1801,2584
106485,2,4055,1674,2381
106485,4,330,127,203
106494,1,94,7,87
106494,2,94,7,87
106546,1,918,106,812
106546,2,918,106,812
106625,1,1894,671,1223
106625,2,1894,671,1223
106704,1,13553,5293,8260
106704,2,11158,4704,6454
