UNITID,EFFYLEV,EFYTOTLT,EFYTOTLM,EFYTOTLW
162007,2,4873,1887,2986
162007,4,1313,431,882
162061,1,1095,885,210
162061,2,528,436,92
162061,4,567,449,118
162104,1,3110,1198,1912
162104,2,3110,1198,1912
162122,1,11307,4493,6814
162122,2,11307,4493,6814
162168,1,2889,994,1895
162168,2,2889,994,1895
162210,1,1706,723,983
162210,2,1485,657,828
162210,4,221,66,155
162283,1,3715,956,2759
162283,2,3166,808,2358
162283,4,549,148,401
162335,1,76,1,75
162335,2,76,1,75
162371,1,530,520,10
162371,2,530,520,10
162557,1,8775,3825,4950
162557,2,8775,3825,4950
162584,1,6586,3114,3472
162584,2,5534,2670,2864
162584,4,1052,444,608
162609,1,901,431,470
162609,2,901,431,470
162654,1,3169,931,2238
162654,2,1791,587,1204
162654,4,1378,344,1034
162681,1,1099,223,876
162681,2,989,205,784
162681,4,110,18,92
162690,1,6022,2342,3680
162690,2,6022,2342,3680
162706,1,8899,3672,5227
162706,2,8899,3672,5227
162760,1,2518,901,1617
162760,2,1324,494,830
162760,4,1194,407,787
162779,1,14102,6063,8039
162779,2,14102,6063,8039
162830,1,91,3,88
162830,2,91,3,88
162928,1,28420,13378,15042
162928,2,8152,3689,4463
162928,4,20268,9689,10579
162982,1,184,78,106
162982,2,184,78,106
163028,1,1032,926,106
163028,2,1032,926,106
163046,1,6543,2476,4067
163046,2,4128,1753,2375
163046,4,2415,723,1692
163107,1,26,0,26
163107,2,26,0,26
163204,1,76195,40743,35452
163204,2,57597,31941,25656
163204,4,18598,8802,9796
163259,1,7954,1926,6028
163259,2,1101,163,938
163259,4,6853,1763,5090
163268,1,16091,8622,7469
163268,2,12942,7019,5923
163268,4,3149,1603,1546
163286,1,42801,22739,20062
163286,2,31050,16619,14431
163286,4,11751,6120,5631
163295,1,2540,696,1844
163295,2,2136,565,1571
163295,4,404,131,273
163338,1,4861,2187,2674
163338,2,4073,1878,2195
163338,4,788,309,479
163347,1,861,63,798
163347,2,861,63,798
163408,1,242,56,186
163408,2,242,56,186
163426,1,34403,16023,18380
163426,2,34403,16023,18380
163453,1,8587,3941,4646
163453,2,7041,3319,3722
163453,4,1546,622,924
163462,1,2543,1266,1277
163462,2,1949,915,1034
163462,4,594,351,243
163532,1,583,583,0
163532,2,349,349,0
163532,4,234,234,0
163541,1,754,384,370
163541,2,754,384,370
163578,1,3561,563,2998
163578,2,1391,123,1268
163578,4,2170,440,1730
163657,1,18102,6894,11208
163657,2,18102,6894,11208
163736,1,1047,279,768
163736,2,1047,279,768
163754,1,144,8,136
163754,2,144,8,136
163815,1,162,3,159
163815,2,162,3,159
163851,1,9642,3954,5688
163851,2,8658,3717,4941
163851,4,984,237,747
163912,1,1824,778,1046
163912,2,1797,770,1027
163912,4,27,8,19
163976,1,512,290,222
163976,2,414,233,181
163976,4,98,57,41
164058,1,731,370,361
164058,2,731,370,361
164076,1,25390,9857,15533
164076,2,21337,8705,12632
164076,4,4053,1152,2901
164085,1,1611,171,1440
164085,4,1611,171,1440
164155,1,4535,3497,1038
164155,2,4535,3497,1038
164173,1,4912,1562,3350
164173,2,4147,1363,2784
164173,4,765,199,566
164216,1,1487,659,828
164216,2,1482,658,824
164216,4,5,1,4
164270,1,3872,1263,2609
164270,2,1813,838,975
164270,4,2059,425,1634
164313,1,4277,1524,2753
164313,2,4277,1524,2753
164368,1,2799,1606,1193
164368,2,345,218,127
164368,4,2454,1388,1066
164438,1,1897,510,1387
164438,2,1102,259,843
164438,4,795,251,544
164447,1,4633,1311,3322
164447,2,1539,612,927
164447,4,3094,699,2395
164465,1,1921,953,968
164465,2,1921,953,968
164474,1,276,95,181
164474,4,276,95,181
164492,1,1747,775,972
164492,2,1291,520,771
164492,4,456,255,201
164535,1,50,8,42
164535,2,50,8,42
164562,1,2984,1119,1865
164562,2,2341,910,1431
164562,4,643,209,434
164580,1,3508,1979,1529
164580,2,2211,1154,1057
164580,4,1297,825,472
164599,1,83,11,72
164599,2,83,11,72
164614,1,87,51,36
164614,2,87,51,36
164632,1,3825,266,3559
164632,2,2093,2,2091
164632,4,1732,264,1468
164641,1,1394,464,930
164641,2,1394,464,930
164678,1,131,128,3
164678,2,131,128,3
164720,1,2544,949,1595
164720,2,2534,947,1587
164720,4,10,2,8
164739,1,5854,3299,2555
164739,2,4369,2594,1775
164739,4,1485,705,780
164748,1,7035,4530,2505
164748,2,6607,4300,2307
164748,4,428,230,198
164775,1,2639,1024,1615
164775,2,2639,1024,1615
164845,1,349,20,329
164845,2,349,20,329
164872,1,966,488,478
164872,2,529,288,241
164872,4,437,200,237
164915,1,161,53,108
164915,4,161,53,108
164924,1,15594,7129,8465
164924,2,10297,4855,5442
164924,4,5297,2274,3023
164988,1,40176,16734,23442
164988,2,22685,9051,13634
164988,4,17491,7683,9808
165015,1,6408,2922,3486
165015,2,3852,1669,2183
165015,4,2556,1253,1303
165024,1,12987,5110,7877
165024,2,10873,4495,6378
165024,4,2114,615,1499
165033,1,11324,4335,6989
165033,2,11324,4335,6989
165060,1,284,23,261
165060,2,284,23,261
165112,1,17152,7340,9812
165112,2,17152,7340,9812
165167,1,3775,1152,2623
165167,2,1524,565,959
165167,4,2251,587,1664
165194,1,5201,2032,3169
165194,2,5201,2032,3169
165255,1,220,1,219
165255,2,220,1,219
165264,1,1140,106,1034
165264,2,1140,106,1034
165334,1,3728,1532,2196
165334,2,2508,1010,1498
165334,4,1220,522,698
165495,1,24,13,11
165495,4,24,13,11
165529,1,3470,1328,2142
165529,2,3186,1192,1994
165529,4,284,136,148
165556,1,586,151,435
165556,2,586,151,435
165574,1,1665,833,832
165574,2,1665,833,832
165608,1,91,9,82
165608,2,91,9,82
165635,1,300,288,12
165635,2,300,288,12
165644,1,1115,383,732
165644,2,917,337,580
165644,4,198,46,152
165662,1,4873,1831,3042
165662,2,4144,1663,2481
165662,4,729,168,561
165671,1,2479,639,1840
165671,2,2194,579,1615
165671,4,285,60,225
165699,1,7088,2289,4799
165699,2,3511,1397,2114
165699,4,3577,892,2685
165705,1,57,22,35
165705,4,57,22,35
165750,1,130,60,70
165750,2,130,60,70
165802,1,3107,735,2372
165802,2,3067,722,2345
165802,4,40,13,27
165820,1,11388,3451,7937
165820,2,4844,2221,2623
165820,4,6544,1230,5314
165866,1,10422,3049,7373
165866,2,5350,2025,3325
165866,4,5072,1024,4048
165884,1,930,731,199
165884,2,930,731,199
165936,1,2445,815,1630
165936,2,1798,679,1119
165936,4,647,136,511
165945,1,2676,1831,845
165945,4,2676,1831,845
165981,1,2811,1141,1670
165981,2,2811,1141,1670
166009,1,82,23,59
166009,2,82,23,59
166018,1,1461,568,893
166018,2,1461,568,893
166027,1,38053,19269,18784
166027,2,14128,7042,7086
166027,4,23925,12227,11698
166045,1,248,75,173
166045,2,54,21,33
166045,4,194,54,140
166054,1,202,149,53
166054,2,99,59,40
166054,4,103,90,13
166124,1,2759,1389,1370
166124,2,2759,1389,1370
166133,1,8243,3181,5062
166133,2,8243,3181,5062
166391,1,2399,813,1586
166391,2,1878,660,1218
166391,4,521,153,368
166407,1,341,26,315
166407,2,341,26,315
166452,1,7536,1294,6242
166452,2,2612,593,2019
166452,4,4924,701,4223
166489,1,228,92,136
166489,2,53,26,27
166489,4,175,66,109
166498,1,176,6,170
166498,2,176,6,170
166513,1,21519,12850,8669
166513,2,16166,9908,6258
166513,4,5353,2942,2411
166586,1,44,4,40
166586,2,44,4,40
166595,1,75,3,72
166595,2,75,3,72
166629,1,33767,16884,16883
166629,2,25988,13122,12866
166629,4,7779,3762,4017
166638,1,21391,8994,12397
166638,2,16082,7334,8748
166638,4,5309,1660,3649
166647,1,7952,3509,4443
166647,2,7952,3509,4443
166656,1,7732,2453,5279
166656,2,4116,1224,2892
166656,4,3616,1229,2387
166674,1,2422,712,1710
166674,2,2243,660,1583
166674,4,179,52,127
166683,1,12084,7501,4583
166683,2,4680,2537,2143
166683,4,7404,4964,2440
166692,1,1845,1582,263
166692,2,1742,1500,242
166692,4,103,82,21
166708,1,1132,467,665
166708,4,1132,467,665
166717,1,757,182,575
166717,4,757,182,575
166805,1,122,101,21
166805,2,122,101,21
166823,1,11079,4703,6376
166823,2,11079,4703,6376
166850,1,4250,1933,2317
166850,2,3522,1678,1844
166850,4,728,255,473
166869,1,2310,413,1897
166869,2,999,186,813
166869,4,1311,227,1084
166887,1,12254,5126,7128
166887,2,12254,5126,7128
166911,1,375,108,267
166911,2,375,108,267
166939,1,2497,25,2472
166939,2,2346,9,2337
166939,4,151,16,135
166948,1,1419,469,950
166948,2,1386,457,929
166948,4,33,12,21
166957,1,5553,1962,3591
166957,2,5553,1962,3591
166975,1,187,57,130
166975,2,187,57,130
166984,1,542,146,396
166984,2,384,106,278
166984,4,158,40,118
167039,1,26,0,26
167039,2,26,0,26
167057,1,804,437,367
167057,2,412,232,180
167057,4,392,205,187
167093,1,533,161,372
167093,4,533,161,372
167215,1,880,406,474
167215,4,880,406,474
167224,1,73,28,45
167224,2,73,28,45
167251,1,944,408,536
167251,2,944,408,536
167260,1,1738,998,740
167260,2,1379,821,558
167260,4,359,177,182
167288,1,2236,804,1432
167288,2,1753,652,1101
167288,4,483,152,331
167297,1,164,126,38
167297,2,164,126,38
167312,1,9831,3746,6085
167312,2,9831,3746,6085
167321,1,315,203,112
167321,2,315,203,112
167358,1,26608,13466,13142
167358,2,18648,9239,9409
167358,4,7960,4227,3733
167376,1,8345,3214,5131
167376,2,8345,3214,5131
167394,1,2025,511,1514
167394,2,1478,406,1072
167394,4,547,105,442
167455,1,576,242,334
167455,2,533,230,303
167455,4,43,12,31
167464,1,61,61,0
167464,4,61,61,0
167525,1,7515,2425,5090
167525,2,7515,2425,5090
167534,1,11021,4627,6394
167534,2,11021,4627,6394
167598,1,2597,452,2145
167598,2,1674,326,1348
167598,4,923,126,797
167631,1,3142,970,2172
167631,2,3142,970,2172
167677,1,237,168,69
167677,2,55,55,0
167677,4,182,113,69
167729,1,11497,4228,7269
167729,2,9084,3608,5476
167729,4,2413,620,1793
167738,1,485,94,391
167738,2,485,94,391
167783,1,7332,659,6673
167783,2,1850,14,1836
167783,4,5482,645,4837
167792,1,381,145,236
167792,2,381,145,236
167835,1,3258,101,3157
167835,2,2603,3,2600
167835,4,655,98,557
167871,1,155,22,133
167871,2,155,22,133
167899,1,3438,1460,1978
167899,2,2214,1102,1112
167899,4,1224,358,866
167905,1,8550,3600,4950
167905,2,8550,3600,4950
167987,1,10320,5203,5117
167987,2,8292,4247,4045
167987,4,2028,956,1072
167996,1,2532,1019,1513
167996,2,2532,1019,1513
168005,1,8979,4015,4964
168005,2,6154,2842,3312
168005,4,2825,1173,1652
168032,1,53,3,50
168032,2,53,3,50
168148,1,12451,5529,6922
168148,2,5697,2803,2894
168148,4,6754,2726,4028
168218,1,2644,129,2515
168218,2,2644,129,2515
168227,1,4731,3783,948
168227,2,4459,3587,872
168227,4,272,196,76
168254,1,4362,2436,1926
168254,2,2857,1765,1092
168254,4,1505,671,834
168263,1,10430,3865,6565
168263,2,6536,3039,3497
168263,4,3894,826,3068
168281,1,1635,593,1042
168281,2,1635,593,1042
168290,1,1403,193,1210
168290,2,928,151,777
168290,4,475,42,433
168342,1,2285,1112,1173
168342,2,2233,1087,1146
168342,4,52,25,27
168421,1,6993,4806,2187
168421,2,4362,2905,1457
168421,4,2631,1901,730
168430,1,9774,3332,6442
168430,2,6624,2736,3888
168430,4,3150,596,2554
168528,1,1794,944,850
168528,2,1752,922,830
168528,4,42,22,20
168546,1,1405,709,696
168546,2,1405,709,696
168555,1,50,0,50
168555,2,50,0,50
168573,1,673,645,28
168573,2,673,645,28
168591,1,1427,610,817
168591,2,1427,610,817
168607,1,1833,850,983
168607,2,1833,850,983
168740,1,4582,2497,2085
168740,2,2233,965,1268
168740,4,2349,1532,817
168786,1,2081,796,1285
168786,2,1905,755,1150
168786,4,176,41,135
168847,1,32756,10694,22062
168847,2,32007,10445,21562
168847,4,749,249,500
168883,1,2322,897,1425
168883,2,2322,897,1425
168892,1,148,4,144
168892,2,148,4,144
169071,1,34,0,34
169071,2,34,0,34
169080,1,4431,1916,2515
169080,2,4200,1853,2347
169080,4,231,63,168
169099,1,336,259,77
169099,4,336,259,77
169187,1,255,42,213
169187,2,255,42,213
169220,1,140,32,108
169220,4,140,32,108
169248,1,29926,12836,17090
169248,2,21479,9371,12108
169248,4,8447,3465,4982
169275,1,11571,4799,6772
169275,2,11571,4799,6772
169284,1,421,20,401
169284,2,421,20,401
169327,1,668,315,353
169327,2,542,253,289
169327,4,126,62,64
169363,1,1108,491,617
169363,2,790,394,396
169363,4,318,97,221
169424,1,153,47,106
169424,4,153,47,106
169442,1,1536,771,765
169442,2,1467,730,737
169442,4,69,41,28
169479,1,10374,4142,6232
169479,2,7883,3140,4743
169479,4,2491,1002,1489
169503,1,330,11,319
169503,2,330,11,319
169521,1,12934,5820,7114
169521,2,12934,5820,7114
169576,1,108,4,104
169576,2,108,4,104
169628,1,901,459,442
169628,4,901,459,442
169655,1,1017,944,73
169655,2,1017,944,73
169716,1,5516,2258,3258
169716,2,3004,1061,1943
169716,4,2512,1197,1315
169734,1,733,67,666
169734,2,733,67,666
169761,1,293,29,264
169761,2,293,29,264
169798,1,25400,10138,15262
169798,2,20388,8362,12026
169798,4,5012,1776,3236
169813,1,21,1,20
169813,2,21,1,20
169910,1,17314,8062,9252
169910,2,15785,7407,8378
169910,4,1529,655,874
169947,1,81,74,7
169947,2,81,74,7
169974,1,1497,582,915
169974,2,1497,582,915
169983,1,2714,2168,546
169983,2,2092,1699,393
169983,4,622,469,153
169992,1,1310,568,742
169992,2,1310,568,742
170000,1,1241,574,667
170000,2,1230,567,663
170000,4,11,7,4
170037,1,3260,1334,1926
170037,2,2423,944,1479
170037,4,837,390,447
170055,1,21520,10321,11199
170055,2,21520,10321,11199
170082,1,28682,11549,17133
170082,2,23943,9999,13944
170082,4,4739,1550,3189
170091,1,181,97,84
170091,2,181,97,84
170240,1,19042,8627,10415
170240,2,19042,8627,10415
170286,1,1568,780,788
170286,2,1529,750,779
170286,4,39,30,9
170301,1,3601,1433,2168
170301,2,3601,1433,2168
170444,1,7546,3244,4302
170444,2,7546,3244,4302
170532,1,1467,640,827
170532,2,1467,640,827
170541,1,12807,6130,6677
170541,2,12807,6130,6677
170550,1,6278,2325,3953
170550,2,6278,2325,3953
170587,1,2110,836,1274
170587,2,2110,836,1274
170611,1,198,3,195
170611,2,198,3,195
170620,1,5377,2113,3264
170620,2,5377,2113,3264
170639,1,2565,1250,1315
170639,2,2559,1249,1310
170639,4,6,1,5
170657,1,21387,9796,11591
170657,2,21387,9796,11591
170675,1,4872,3712,1160
170675,2,3066,2381,685
170675,4,1806,1331,475
170736,1,71,2,69
170736,2,71,2,69
170790,1,31464,14903,16561
170790,2,31464,14903,16561
170806,1,4661,1356,3305
170806,2,3280,1067,2213
170806,4,1381,289,1092
170842,1,2173,595,1578
170842,2,804,256,548
170842,4,1369,339,1030
170967,1,1322,501,821
170967,2,1295,479,816
170967,4,27,22,5
170976,1,45170,23501,21669
170976,2,29124,14748,14376
170976,4,16046,8753,7293
171012,1,169,137,32
171012,2,169,137,32
171100,1,55896,26975,28921
171100,2,42452,21053,21399
171100,4,13444,5922,7522
171128,1,7774,5633,2141
171128,2,6035,4406,1629
171128,4,1739,1227,512
171137,1,10515,5662,4853
171137,2,8088,4152,3936
171137,4,2427,1510,917
171146,1,9914,3941,5973
171146,2,7948,3141,4807
171146,4,1966,800,1166
171155,1,5796,3146,2650
171155,2,5796,3146,2650
171225,1,4260,1854,2406
171225,2,4260,1854,2406
171234,1,2211,793,1418
171234,2,2211,793,1418
171261,1,97,7,90
171261,2,97,7,90
171304,1,6386,2812,3574
171304,2,6386,2812,3574
171322,1,1086,237,849
171322,2,1086,237,849
171395,1,3583,1369,2214
171395,2,3583,1369,2214
171456,1,9809,4477,5332
171456,2,8660,4091,4569
171456,4,1149,386,763
171465,1,65,5,60
171465,2,65,5,60
171483,1,4713,2297,2416
171483,2,4713,2297,2416
171492,1,4669,2577,2092
171492,2,4018,2248,1770
171492,4,651,329,322
171535,1,32936,14149,18787
171535,2,32936,14149,18787
171571,1,23856,10128,13728
171571,2,19641,8354,11287
171571,4,4215,1774,2441
171599,1,1104,660,444
171599,2,1061,633,428
171599,4,43,27,16
171775,1,85,3,82
171775,2,85,3,82
171881,1,271,117,154
171881,2,271,117,154
171988,1,255,14,241
171988,2,255,14,241
171997,1,351,11,340
171997,2,351,11,340
172015,1,435,25,410
172015,2,435,25,410
172033,1,548,341,207
172033,2,336,184,152
172033,4,212,157,55
172051,1,10956,4497,6459
172051,2,9781,4179,5602
172051,4,1175,318,857
172200,1,18847,8372,10475
172200,2,18847,8372,10475
172264,1,3370,1361,2009
172264,2,3105,1288,1817
172264,4,265,73,192
172291,1,4856,1951,2905
172291,2,4856,1951,2905
172307,1,3064,1257,1807
172307,2,3064,1257,1807
172325,1,1036,636,400
172325,2,1036,636,400
172334,1,4901,1381,3520
172334,2,2885,939,1946
172334,4,2016,442,1574
172422,1,524,367,157
172422,2,524,367,157
172440,1,622,299,323
172440,2,622,299,323
172477,1,1889,858,1031
172477,4,1889,858,1031
172495,1,318,10,308
172495,2,318,10,308
172608,1,3550,1776,1774
172608,2,1317,680,637
172608,4,2233,1096,1137
172617,1,20696,10731,9965
172617,2,20696,10731,9965
172635,1,25478,8928,16550
172635,2,25478,8928,16550
172644,1,32519,14498,18021
172644,2,20795,9263,11532
172644,4,11724,5235,6489
172671,1,1546,659,887
172671,2,1546,659,887
172680,1,80,1,79
172680,2,80,1,79
172699,1,26525,12882,13643
172699,2,20265,10288,9977
172699,4,6260,2594,3666
172705,1,305,193,112
172705,4,305,193,112
172802,1,101,1,100
172802,2,101,1,100
172866,1,177,132,45
172866,2,177,132,45
172918,1,3958,2008,1950
172918,2,3958,2008,1950
172927,1,89,26,63
172927,2,89,26,63
172954,1,2781,1099,1682
172954,2,2781,1099,1682
172963,1,12211,4837,7374
172963,2,12211,4837,7374
173045,1,4141,1694,2447
173045,2,2837,1307,1530
173045,4,1304,387,917
173063,1,4138,1773,2365
173063,2,4138,1773,2365
173115,1,2011,516,1495
173115,2,2011,516,1495
173124,1,6396,2667,3729
173124,2,5905,2515,3390
173124,4,491,152,339
173142,1,607,270,337
173142,2,607,270,337
173160,1,4591,1643,2948
173160,2,3141,1189,1952
173160,4,1450,454,996
173179,1,453,295,158
173179,4,453,295,158
173203,1,5499,2329,3170
173203,2,5499,2329,3170
173258,1,2093,1014,1079
173258,2,2093,1014,1079
173300,1,2234,896,1338
173300,2,2202,893,1309
173300,4,32,3,29
173328,1,5787,2090,3697
173328,2,3218,1323,1895
173328,4,2569,767,1802
173416,1,4172,2438,1734
173416,2,4172,2438,1734
173452,1,1346,607,739
173452,2,1225,524,701
173452,4,121,83,38
173461,1,8118,3807,4311
173461,2,8118,3807,4311
173470,1,23,0,23
173470,2,23,0,23
173489,1,197,24,173
173489,2,197,24,173
173559,1,8422,3354,5068
173559,2,8422,3354,5068
173629,1,900,307,593
173629,2,888,301,587
173629,4,12,6,6
173638,1,4707,2090,2617
173638,2,4707,2090,2617
173647,1,2386,1111,1275
173647,2,2386,1111,1275
173665,1,6392,2158,4234
173665,2,2413,1032,1381
173665,4,3979,1126,2853
173683,1,201,78,123
173683,4,201,78,123
173708,1,7813,4694,3119
173708,2,7813,4694,3119
173726,1,28,0,28
173726,2,28,0,28
173735,1,1733,779,954
173735,2,1733,779,954
173744,1,750,44,706
173744,2,750,44,706
173799,1,8093,3327,4766
173799,2,8093,3327,4766
173805,1,1630,810,820
173805,2,1630,810,820
173887,1,994,445,549
173887,2,994,445,549
173896,1,697,335,362
173896,4,697,335,362
173902,1,2238,893,1345
173902,2,2238,893,1345
173911,1,4792,2479,2313
173911,2,4792,2479,2313
173920,1,18090,8258,9832
173920,2,15299,7263,8036
173920,4,2791,995,1796
173957,1,266,128,138
173957,4,266,128,138
173966,1,565,173,392
173966,2,281,77,204
173966,4,284,96,188
173984,1,1804,349,1455
173984,2,1373,225,1148
173984,4,431,124,307
173993,1,1882,971,911
173993,2,1882,971,911
174020,1,11494,4948,6546
174020,2,10305,4463,5842
174020,4,1189,485,704
174066,1,63664,29746,33918
174066,2,44505,20861,23644
174066,4,19159,8885,10274
174075,1,3410,1603,1807
174075,2,3410,1603,1807
174118,1,218,65,153
174118,2,218,65,153
174127,1,857,283,574
174127,2,724,241,483
174127,4,133,42,91
174136,1,12255,5364,6891
174136,2,12255,5364,6891
174154,1,411,48,363
174154,2,411,48,363
174190,1,193,2,191
174190,2,193,2,191
174233,1,11497,5961,5536
174233,2,10374,5476,4898
174233,4,1123,485,638
174251,1,2020,921,1099
174251,2,2020,921,1099
174279,1,827,282,545
174279,2,817,277,540
174279,4,10,5,5
174321,1,133,4,129
174321,2,133,4,129
174358,1,6972,2634,4338
174358,2,6088,2414,3674
174358,4,884,220,664
174376,1,10424,4380,6044
174376,2,10424,4380,6044
174385,1,332,127,205
174385,2,332,127,205
174394,1,101,60,41
174394,2,101,60,41
174428,1,14632,6474,8158
174428,2,14632,6474,8158
174437,1,1294,567,727
174437,2,1251,541,710
174437,4,43,26,17
174473,1,4936,2036,2900
174473,2,4936,2036,2900
174491,1,4038,1626,2412
174491,2,3722,1453,2269
174491,4,316,173,143
174507,1,1093,507,586
174507,2,286,91,195
174507,4,807,416,391
174525,1,122,53,69
174525,2,122,53,69
174570,1,2547,1043,1504
174570,2,2547,1043,1504
174604,1,441,186,255
174604,2,441,186,255
174738,1,7515,2930,4585
174738,2,7515,2930,4585
174747,1,1989,0,1989
174747,2,1989,0,1989
174756,1,6336,3000,3336
174756,2,6336,3000,3336
174783,1,18857,8700,10157
174783,2,16344,7614,8730
174783,4,2513,1086,1427
174792,1,1941,1858,83
174792,2,1781,1781,0
174792,4,160,77,83
174817,1,8010,2712,5298
174817,2,1919,892,1027
174817,4,6091,1820,4271
174844,1,3122,1335,1787
174844,2,3122,1335,1787
174862,1,1259,619,640
174862,2,1051,488,563
174862,4,208,131,77
174899,1,5287,1467,3820
174899,2,3233,902,2331
174899,4,2054,565,1489
174914,1,11451,5716,5735
174914,2,6494,3532,2962
174914,4,4957,2184,2773
174978,1,208,6,202
174978,2,208,6,202
175005,1,6033,388,5645
175005,2,3810,146,3664
175005,4,2223,242,1981
175014,1,6511,1581,4930
175014,2,6511,1581,4930
175041,1,9452,4334,5118
175041,2,9452,4334,5118
175078,1,8780,3576,5204
175078,2,8200,3369,4831
175078,4,580,207,373
175120,1,634,407,227
175120,2,634,407,227
175139,1,131,53,78
175139,4,131,53,78
175157,1,802,478,324
175157,2,802,478,324
175227,1,1402,1202,200
175227,2,1402,1202,200
175236,1,4979,2275,2704
175236,2,4979,2275,2704
175263,1,2779,1082,1697
175263,2,2779,1082,1697
175272,1,9483,3599,5884
175272,2,8818,3419,5399
175272,4,665,180,485
175281,1,1050,498,552
175281,4,1050,498,552
175315,1,12395,5460,6935
175315,2,12395,5460,6935
175342,1,4059,1422,2637
175342,2,3304,1180,2124
175342,4,755,242,513
175421,1,6074,1844,4230
175421,2,3514,1206,2308
175421,4,2560,638,1922
175430,1,569,226,343
175430,2,529,226,303
175430,4,40,0,40
175494,1,122,14,108
175494,2,122,14,108
175519,1,2952,1218,1734
175519,2,2952,1218,1734
175528,1,803,59,744
175528,2,803,59,744
175573,1,4030,1558,2472
175573,2,4030,1558,2472
175607,1,46,2,44
175607,2,46,2,44
175616,1,5492,1895,3597
175616,2,3044,1232,1812
175616,4,2448,663,1785
175643,1,3114,1252,1862
175643,2,3114,1252,1862
175652,1,7050,2975,4075
175652,2,7050,2975,4075
175698,1,51,31,20
175698,2,51,31,20
175722,1,41,0,41
175722,2,41,0,41
175786,1,16013,6449,9564
175786,2,16013,6449,9564
175810,1,8401,2891,5510
175810,2,8401,2891,5510
175829,1,7559,3006,4553
175829,2,7559,3006,4553
175856,1,11462,4020,7442
175856,2,8693,3239,5454
175856,4,2769,781,1988
175883,1,6320,2611,3709
175883,2,6320,2611,3709
175935,1,4616,1423,3193
175935,2,4616,1423,3193
175980,1,887,454,433
175980,2,783,394,389
175980,4,104,60,44
176008,1,3621,1373,2248
176008,2,3621,1373,2248
176017,1,25966,11302,14664
176017,2,20903,9138,11765
176017,4,5063,2164,2899
176035,1,3256,633,2623
176035,2,2981,588,2393
176035,4,275,45,230
176044,1,2754,1095,1659
176044,2,2355,981,1374
176044,4,399,114,285
176053,1,5947,2368,3579
176053,2,3323,1356,1967
176053,4,2624,1012,1612
176062,1,76,2,74
176062,2,76,2,74
176071,1,12539,5041,7498
176071,2,12539,5041,7498
176080,1,23317,11784,11533
176080,2,19030,9591,9439
176080,4,4287,2193,2094
176169,1,4357,1861,2496
176169,2,4357,1861,2496
176178,1,10733,4082,6651
176178,2,10733,4082,6651
176239,1,6011,2387,3624
176239,2,6011,2387,3624
176318,1,1005,414,591
176318,2,1005,414,591
176336,1,57,42,15
176336,2,57,42,15
176354,1,2439,974,1465
176354,2,2439,974,1465
176372,1,17078,6328,10750
176372,2,13747,5053,8694
176372,4,3331,1275,2056
176390,1,244,15,229
176390,2,244,15,229
176406,1,943,345,598
176406,2,934,344,590
176406,4,9,1,8
176451,1,134,98,36
176451,4,134,98,36
176479,1,6303,2063,4240
176479,2,3464,1275,2189
176479,4,2839,788,2051
176600,1,156,79,77
176600,4,156,79,77
176619,1,353,249,104
176619,4,353,249,104
176628,1,2368,842,1526
176628,2,1668,641,1027
176628,4,700,201,499
176664,1,426,243,183
176664,2,370,197,173
176664,4,56,46,10
176716,1,214,9,205
176716,2,214,9,205
176770,1,1097,158,939
176770,2,999,139,860
176770,4,98,19,79
176789,1,356,177,179
176789,2,293,140,153
176789,4,63,37,26
176798,1,328,94,234
176798,2,328,94,234
176910,1,283,152,131
176910,2,283,152,131
176947,1,1133,553,580
176947,2,1133,553,580
176965,1,19511,9313,10198
176965,2,12928,5709,7219
176965,4,6583,3604,2979
176983,1,98,79,19
176983,2,98,79,19
176992,1,19,0,19
176992,2,19,0,19
177038,1,598,357,241
177038,2,88,47,41
177038,4,510,310,200
177056,1,139,40,99
177056,2,139,40,99
177065,1,25108,10995,14113
177065,2,23686,10431,13255
177065,4,1422,564,858
177083,1,98,97,1
177083,2,98,97,1
177092,1,686,655,31
177092,4,686,655,31
177117,1,328,0,328
177117,2,328,0,328
177126,1,643,451,192
177126,4,643,451,192
177135,1,7109,2695,4414
177135,2,7109,2695,4414
177144,1,1194,592,602
177144,2,1153,575,578
177144,4,41,17,24
177214,1,5107,1982,3125
177214,2,4633,1847,2786
177214,4,474,135,339
177250,1,4265,1628,2637
177250,2,4265,1628,2637
177278,1,162,73,89
177278,4,162,73,89
177287,1,253,5,248
177287,2,253,5,248
177302,1,1332,515,817
177302,2,1332,515,817
177339,1,2102,902,1200
177339,2,1818,822,996
177339,4,284,80,204
177418,1,2035,626,1409
177418,2,1268,403,865
177418,4,767,223,544
177436,1,36,1,35
177436,2,36,1,35
177472,1,18658,7817,10841
177472,2,18658,7817,10841
177542,1,1391,513,878
177542,2,1291,483,808
177542,4,100,30,70
177551,1,1805,617,1188
177551,2,1805,617,1188
177579,1,613,158,455
177579,2,613,158,455
177588,1,51,1,50
177588,2,51,1,50
177603,1,75,5,70
177603,2,75,5,70
177676,1,6258,2523,3735
177676,2,6258,2523,3735
177685,1,102,4,98
177685,2,102,4,98
177719,1,1076,133,943
177719,2,939,122,817
177719,4,137,11,126
177746,1,657,219,438
177746,2,657,219,438
177816,1,115,115,0
177816,2,51,51,0
177816,4,64,64,0
177834,1,4123,1708,2415
177834,4,4123,1708,2415
177870,1,13,13,0
177870,2,13,13,0
